deal_id,file,published,date_source,topics,crosswalk_conf,enrich,warnings
wb-caf-002,_leads/wb-caf-002-car-public-sector-digital-governance.md,,,,,skipped,NO EVENT YEAR -> filed as LEAD
eximbank-cn-civ-001,_leads/eximbank-cn-civ-001-china-eximbank-provides-571-million-preferential.md,,,,,skipped,PROVENANCE: dropbox.com not primary -> filed as LEAD
boc-civ-009,_leads/boc-civ-009-bank-of-china-provides-cfa-739.md,,,,,skipped,PROVENANCE: dropbox.com not primary -> filed as LEAD
boc-civ-004,_leads/boc-civ-004-bank-of-china-provides-cfa-701.md,,,,,skipped,PROVENANCE: dropbox.com not primary -> filed as LEAD
boc-civ-003,_leads/boc-civ-003-bank-of-china-provides-cfa-87.md,,,,,skipped,PROVENANCE: dropbox.com not primary -> filed as LEAD
boc-civ-010,_leads/boc-civ-010-bank-of-china-provides-cfa-726.md,,,,,skipped,PROVENANCE: dropbox.com not primary -> filed as LEAD
boc-civ-006,_leads/boc-civ-006-bank-of-china-provides-cfa-483.md,,,,,skipped,PROVENANCE: dropbox.com not primary -> filed as LEAD
boc-civ-007,_leads/boc-civ-007-bank-of-china-provides-cfa-79.md,,,,,skipped,PROVENANCE: dropbox.com not primary -> filed as LEAD
wb-civ-002,_leads/wb-civ-002-cote-divoire-digital-acceleration-project.md,,,,,skipped,NO EVENT YEAR -> filed as LEAD
boc-cmr-001,_leads/boc-cmr-001-bank-of-china-provides-4178-million.md,,,,,skipped,PROVENANCE: dropbox.com not primary -> filed as LEAD
zte-cmr-001,_leads/zte-cmr-001-zte-grants-12-million-usd-for.md,,,,,skipped,PROVENANCE: dropbox.com not primary -> filed as LEAD
eximbank-cn-cod-002,_leads/eximbank-cn-cod-002-china-eximbank-provides-rmb-105-billion.md,,,,,skipped,PROVENANCE: dropbox.com not primary -> filed as LEAD
eximbank-cn-cog-001,_leads/eximbank-cn-cog-001-china-eximbank-provides-1608-million-preferential.md,,,,,skipped,PROVENANCE: dropbox.com not primary -> filed as LEAD
eximbank-cn-cog-003,_leads/eximbank-cn-cog-003-china-eximbank-provides-rmb-460-million.md,,,,,skipped,PROVENANCE: dropbox.com not primary -> filed as LEAD
eximbank-cn-gha-005,_leads/eximbank-cn-gha-005-china-eximbank-provides-2184-million-concessional.md,,,,,skipped,PROVENANCE: dropbox.com not primary -> filed as LEAD
eximbank-cn-gha-006,_leads/eximbank-cn-gha-006-china-eximbank-provides-39-million-concessional.md,,,,,skipped,PROVENANCE: dropbox.com not primary -> filed as LEAD
eximbank-cn-gmb-001,_leads/eximbank-cn-gmb-001-china-eximbank-provides-259-million-concessional.md,,,,,skipped,PROVENANCE: dropbox.com not primary -> filed as LEAD
eximbank-cn-ken-002,_leads/eximbank-cn-ken-002-china-eximbank-provides-rmb-438-million.md,,,,,skipped,PROVENANCE: dropbox.com not primary -> filed as LEAD
eximbank-cn-mli-001,_leads/eximbank-cn-mli-001-china-eximbank-provides-rmb-1134-billion.md,,,,,skipped,PROVENANCE: dropbox.com not primary -> filed as LEAD
