programme_code,line,baseline_fy2025_26_supp_i,original_2026_06,proj_2027_28,proj_2028_29,notes
0605010,Population Registration Services,30853178,51586098,52268622,52971624,
0605020,Immigration Services,9599836116,9320058745,9548615280,9768316477,
0605030,Refugee Affairs,192734179,284699574,292539060,300227620,
0605050,e-Citizen Services,5585867517,3612630188,3649965296,3659707441,first decline in the line's history
0605000,Migration & Citizen Services,15409290990,13268974605,13543388258,13781223162,
0626010,National Registration Bureau,8668760147,8184394009,6592462476,6886311142,
0626020,Civil Registration Services,1941516757,2353572206,2226551445,2290375263,
0626030,Integrated Personal Registration Services,463715357,455004483,464824589,493348427,
0626000,Population Management Services,11073992261,10992970698,9283838510,9670034832,baseline recovers the FY2025/26 Supp I programme total missed by row wrap
0631000,General Administration and Planning,2778931928,1623909159,1725683232,1780742006,baseline recovers FY2025/26 Supp I GenAdmin
TOTAL,Vote 1024,29262215179,25885854462,24552910000,25232000000,baseline recovers the FY2025/26 Supp I vote total (29.26bn)
