url,title,published,reason,kept_twin,half
https://www.linfodrome.com/sante/123297-pnd-2026-2030-le-ministere-de-la-sante-presente-les-priorites-du-secteur-aux-investisseurs,PND 2026-2030 : Le ministère de la Santé présente les priorités du secteur aux investisseurs,2026-07-10,off-topic,,papers
https://www.fratmat.info/article/2643156/economie/revue-de-direction-du-tresor-public-416-98-milliards-payes-a-2870-fournisseurs-au-1er-semestre,"Revue de direction du trésor public : 416, 98 milliards payés à 2870 fournisseurs au 1er semestre|FratMat",2026-07-10,off-topic,,papers
https://www.linfodrome.com/societe/123097-cote-d-ivoire-l-institut-pasteur-ouvre-le-debat-sur-les-enjeux-ethiques-de-l-intelligence-artificielle,Côte d’Ivoire : l’Institut Pasteur ouvre le débat sur les enjeux éthiques de l’intelligence artificielle,2026-07-04,off-topic,,papers
https://www.linfodrome.com/societe/123074-abidjan-mise-sur-l-innovation-et-les-partenariats-pour-accelerer-la-transformation-de-son-systeme-sanitaire,Abidjan mise sur l’innovation et les partenariats pour accélérer la transformation de son système sanitaire,2026-07-03,off-topic,,papers
https://www.fratmat.info/article/2643025/regions/bouake-une-campagne-de-sante-oculaire-et-auditive-lancee-pour-rapprocher-les-soins-des-populations,Bouaké : Une campagne de santé oculaire et auditive lancée pour rapprocher les soins des populations|FratMat,2026-07-03,off-topic,,papers
https://www.fratmat.info/article/2642932/economie/publi-info/inclusion-numerique-mtn-cote-divoire-lance-smartphone-pour-tous-pour-connecter-les-communautes-la-jeunesse-des-aujourdhui,"Inclusion numérique: MTN Côte d’Ivoire lance « Smartphone pour Tous » pour connecter les communautés, la jeunesse, dès aujourd’hui|FratMat",2026-07-01,off-topic,,papers
https://www.fratmat.info/article/2642914/societe/gouvernance-des-epn-mariatou-kone-devoile-la-feuille-de-route-pour-des-societes-detat-plus-performantes,Gouvernance des EPN: Mariatou Koné dévoile la feuille de route pour des sociétés d’État plus performantes|FratMat,2026-06-30,off-topic,,papers
https://www.linfodrome.com/politique/122830-cote-d-ivoire-cei-triphasee-le-parti-de-tiemoko-assale-pose-ses-conditions-pour-une-reforme-electorale-credible,Côte d'Ivoire / CEI triphasée : Le parti de Tiémoko Assalé pose ses conditions pour une réforme électorale crédible,2026-06-25,off-topic,,papers
https://www.linfodrome.com/politique/122718-le-gouvernement-ivoirien-veut-remplacer-la-cei-par-un-systeme-a-trois-organes,Le gouvernement ivoirien veut remplacer la CEI par un système à trois organes,2026-06-22,off-topic,,papers
https://www.linfodrome.com/politique/122664-pnd-dissolution-cei-deguerpissements-les-temps-forts-de-la-1re-session-ordinaire-du-senat,"PND, dissolution CEI, déguerpissements : Les temps forts de la 1re session ordinaire du Sénat",2026-06-20,off-topic,,papers
https://www.fratmat.info/article/2642493/economie/financement-de-leconomie-la-cote-divoire-et-la-brvm-signent-un-protocole-dentente,Financement de l’économie : La Côte d'Ivoire et la Brvm signent un protocole d'entente|FratMat,2026-06-10,off-topic,,papers
https://www.linfodrome.com/economie/122111-songon-energie-comment-cette-banque-panafricaine-a-contribue-au-financement-du-projet,Songon Énergie : Comment cette banque panafricaine a contribué au financement du projet,2026-06-03,off-topic,,papers
https://www.linfodrome.com/economie/121978-infrastructure-and-energie-comment-pekin-a-sauve-le-dossier-de-la-centrale-de-songon,Infrastructure & Énergie : Comment Pékin a sauvé le dossier de la centrale de Songon,2026-06-02,off-topic,,papers
https://www.fratmat.info/article/2642314/economie/financement-du-pnd-2026-2030-souleymane-diarrassouba-mobilise-les-representations-diplomatiques,Financement du Pnd 2026-2030 : Souleymane Diarrassouba mobilise les représentations diplomatiques|FratMat,2026-06-02,off-topic,,papers
https://www.linfodrome.com/economie/121945-centrale-thermique-de-songon-plus-de-423-milliards-pour-renforcer-l-offre-energetique-ivoirienne,Centrale thermique de Songon : Plus de 423 milliards pour renforcer l’offre énergétique ivoirienne,2026-06-01,off-topic,,papers
https://www.linfodrome.com/economie/121836-face-a-la-flambee-des-prix-les-geants-du-vtc-bientot-convoques,"Face à la flambée des prix, les géants du VTC bientôt convoqués",2026-06-01,off-topic,,papers
https://www.linfodrome.com/economie/121859-ethique-publique-a-l-entree-un-module-anti-corruption-pour-les-nouveaux-fonctionnaires,Éthique publique à l’entrée : Un module anti-corruption pour les nouveaux fonctionnaires,2026-05-30,off-topic,,papers
