url,title,published,reason,kept_twin,half
https://alwatwan.net/economie/economie-num%C3%A9rique-/-des-belles-opportunit%C3%A9s-%C3%A0-tirer-et-des-grands-d%C3%A9fis-%C3%A0-relever.html,Economie numerique - premier salon de l'economie numerique,2024-10-17,out-of-window,,papers
https://alwatwan.net/economie/mobile-banking-mctv-lance-son-produit-wari.html,Mobile Banking - Mctv lance son produit Wari,,out-of-window,,papers
https://alwatwan.net/societe/cybercriminalit%C3%A9-i-les-comores-sous-les-attaques-des-pirates-malveillants.html,Cybercriminalite - Les Comores sous les attaques des pirates malveillants,,off-topic,,papers
https://lagazettedescomores.com/soci%C3%A9t%C3%A9/acc%C3%A9l%C3%A9ration-des-odd-pr%C3%A9sentation-du-portail-des-donn%C3%A9es-.html,Acceleration des ODD - Presentation du portail des donnees (Open Data Comores),2024-09-02,out-of-window,,papers
https://lagazettedescomores.com/economie/cinq-ans-pour-moderniser-le-syst%C3%A8me-financier-comorien-.html,Cinq ans pour moderniser le systeme financier comorien (PADSF launch),2021-02-26,out-of-window,,papers
https://lagazettedescomores.com/soci%C3%A9t%C3%A9/transformation-num%C3%A9rique-l%C3%A9tat-dot%C3%A9-dun-boucler-contre-les-cyberattaques-.html,Transformation numerique - Portail National de Cybersecurite,2024-05-19,out-of-window,,papers
https://lagazettedescomores.com/soci%C3%A9t%C3%A9/m%C3%A9tiers-du-num%C3%A9rique-en-alternance-le-projet-cible-60-jeunes-.html,Metiers du numerique en alternance - Le projet cible 60 jeunes (ACTIC/AFD),2024-08-09,out-of-window,,papers
https://www.wearetech.africa/fr/fils/actualites/tech/les-comores-lancent-la-numerisation-de-leur-etat-civil,Les Comores lancent la numérisation de leur état civil,2026-03-27,same-outlet-recrawl,https://www.wearetech.africa/en/fils-uk/news/tech/comoros-advances-digital-identity-reform-with-nationwide-registry-overhaul,journals
https://www.wearetech.africa/fr/fils/actualites/tech/comores-le-numerique-s-invite-a-l-ecole-avec-les-plateformes-e-shiyo-et-e-msomo,Comores : le numérique s'invite à l'école avec les plateformes E-Shiyo et E-Msomo,2025-06-20,same-outlet-recrawl,https://www.wearetech.africa/en/fils-uk/news/comoros-launches-e-learning-and-edtech-platforms-to-modernize-schools,journals
https://www.wearetech.africa/fr/fils/actualites/tech/les-comores-misent-sur-le-numerique-pour-optimiser-les-campagnes-de-vaccination,Les Comores misent sur le numérique pour optimiser les campagnes de vaccination,2025-10-06,same-outlet-recrawl,https://www.wearetech.africa/en/fils-uk/news/tech/comoros-goes-digital-in-measles-rubella-drive-to-vaccinate-101-000-children,journals
https://www.biometricupdate.com/202410/comoros-to-implement-digital-govt-program-with-10m-afdb-grant,Comoros to implement digital govt program with $10M AfDB grant,2024-10-06,already-held,raw/2024-10-06 Comoros to implement digital govt program with AfDB grant (Digitization of the Comorian Economy).md — exact URL match verified against raw/ frontmatter; NOTE this URL is absent from sweep/held-urls.txt (also out-of-window),journals
https://www.wearetech.africa/en/fils-uk/tech-stars/comoros-moves-closer-to-afdb-funding-for-digital-economy-project,Comoros Moves Closer to AfDB Funding for Digital Economy Project,2024-09-06,out-of-window,,journals
https://www.wearetech.africa/fr/fils/tech-stars/numerique-les-comores-font-un-pas-de-plus-vers-un-financement-de-la-bad,Numérique : les Comores font un pas de plus vers un financement de la BAD,2024-09-06,out-of-window,,journals
https://itweb.africa/article/comoros-builds-new-data-centre-thanks-to-afdb-funds/mYZRXv9gEayMOgA8,Comoros builds new data centre thanks to AfDB funds,2024-10-02,out-of-window,,journals
https://techafricanews.com/2024/10/02/afdb-approves-e9-51-million-for-comoros-digital-economy-transformation/,AfDB Approves €9.51 Million for Comoros' Digital Economy Transformation,2024-10-02,out-of-window,,journals
