url,title,published,reason,kept_twin,half
https://expressodasilhas.cv/eitec/2025/01/30/praia-acolhe-gala-de-premiacao-da-primeira-edicao-do-digital-awards-cabo-verde/95429,Praia acolhe gala de premiação da primeira edição do Digital Awards Cabo Verde,2025-01-30,same-outlet-recrawl,https://expressodasilhas.cv/eitec/2025/01/15/digital-awards-cabo-verde-anuncia-finalistas-da-sua-primeira-edicao/95141,papers
https://expressodasilhas.cv/pais/2026/02/14/conferencia-no-techpark-da-praia-rumo-a-uma-nacao-digital-experiencias-internacionais-e-desafios-de-cabo-verde/101409,Conferência no TechPark da Praia: rumo a uma nação digital,2026-02-14,fetch-failed,,papers
https://www.biometricupdate.com/202603/cabo-verde-central-african-republic-launch-digital-govt-platforms-to-streamline-service-access,"Cabo Verde, Central African Republic launch digital govt platforms to streamline service access",2026-03-03,already-held,raw/2026-03-03 Cabo Verde and CAR launch digital government platforms (Gov.CV).md,journals
https://www.wearetech.africa/actualites/fils/actualites/gestion-publique/start-up-le-cap-vert-accelere-le-developpement-de-son-ecosysteme-numerique,Start-up : le Cap-Vert accelere le developpement de son ecosysteme numerique,2025-07-30,same-outlet-recrawl,https://www.wearetech.africa/en/fils-uk/news/public-management/cape-verde-ramps-up-digital-start-up-ecosystem-to-boost-economy,journals
https://techcabal.com/2025/05/30/techcabal-daily-cape-verde-dreams-in-code/,TechCabal Daily - Cape Verde dreams in code,2025-05-30,same-outlet-recrawl,https://techcabal.com/2025/05/29/cape-verde-nigeria-ghana-tech-powerhouse/,journals
https://techcabal.beehiiv.com/p/cape-verde-dreams-in-code-f177,Cape Verde dreams in code (beehiiv newsletter mirror),2025-05-30,same-outlet-recrawl,https://techcabal.com/2025/05/29/cape-verde-nigeria-ghana-tech-powerhouse/,journals
https://techreviewafrica.com/public/news/4532/cabo-verde-unveils-rabida-initiative-to-strengthen-diaspora-engagement-in-digital-economy,Cabo Verde unveils RABIDA initiative to strengthen diaspora engagement in digital economy,,same-outlet-recrawl,https://techreviewafrica.com/news/4532/cabo-verde-unveils-rabida-initiative-to-strengthen-diaspora-engagement-in-digital-economy,journals
https://mail.techreviewafrica.com/news/4532/cabo-verde-unveils-rabida-initiative-to-strengthen-diaspora-engagement-in-digital-economy,Cabo Verde unveils RABIDA initiative to strengthen diaspora engagement in digital economy (mail. subdomain mirror),,same-outlet-recrawl,https://techreviewafrica.com/news/4532/cabo-verde-unveils-rabida-initiative-to-strengthen-diaspora-engagement-in-digital-economy,journals
https://itweb.africa/article/afdb-approves-23m-for-cape-verdes-energy-project/kLgB17ezANbM59N4,AfDB approves $23m for Cape Verde's energy project,2025-06-17,off-topic,,journals
https://www.wearetech.africa/en/fils-uk/news/tech/ecowas-moves-toward-first-regional-e-government-strategy,ECOWAS Moves Toward First Regional E-Government Strategy,2025-12-04,off-topic,,journals
https://www.biometricupdate.com/202012/zetes-launches-panasonic-facial-recognition-at-cape-verde-airport,Zetes launches Panasonic facial recognition at Cape Verde Airport,2020-12-22,out-of-window,,journals
https://www.wearetech.africa/fr/fils/actualites/gestion-publique/le-cap-vert-sollicite-lappui-de-lunion-europeenne-pour-la-creation-dun-centre-national-de-cybersecurite,Le Cap-Vert sollicite l'appui de l'Union europeenne pour la creation d'un centre national de cybersecurite,2023-02-03,out-of-window,,journals
https://www.wearetech.africa/en/fils-uk/news/public-management/cabo-verde-submits-draft-digital-banking-regulation-for-review,Cabo Verde submits draft digital banking regulation for review,2023-03-08,out-of-window,,journals
