url,title,published,reason,kept_twin
http://graphic.com.gh/news/general-news/ghana-news-ghana-card-at-birth-begins,Ghana Card at birth begins,2024-03-15,out-of-window,
https://www.graphic.com.gh/news/general-news/ghana-to-become-eighth-african-country-to-approve-elon-musks-starlink.html,Ghana to become eighth African country to approve Starlink,2024-04-26,out-of-window,
http://www.graphic.com.gh/tech-news/ghana-approves-elon-musks-starlink-internet-service-operations-to-start-end-of-august.html,Ghana approves Starlink internet service,2024-08-22,out-of-window,
https://www.myjoyonline.com/bawumia-launches-ghana-card-number-at-birth/,Bawumia launches Ghana Card number at birth,2024-03-14,out-of-window,
https://www.myjoyonline.com/telecoms-chamber-attributes-internet-connectivity-challenges-to-outages-on-multiple-submarine-optic-fibre-cables/,Telecoms Chamber attributes connectivity challenges to submarine cable outages,2024-03-14,out-of-window,
https://www.myjoyonline.com/nca-approves-starlinks-satellite-broadband-application/,NCA approves Starlink satellite broadband application,2024-04-25,out-of-window,
https://itweb.africa/article/the-future-of-digital-identity-in-2025/KA3Wwqdz8A57rydZ,The future of digital identity in 2025 (South Africa focus),2024-12-02,off-topic,
https://techcabal.com/2025/05/29/cape-verde-nigeria-ghana-tech-powerhouse/,Can Cape Verde rival Nigeria and Ghana in tech,2025-05-29,off-topic,
https://techcabal.com/2025/07/01/papss-launches-african-fiat-exchange-platform/,Stablecoins could be key in PAPSS new blockchain platform,2025-07-01,off-topic,belongs-to-XAF-regional-pass
https://techcabal.com/2026/03/31/how-papss-is-meeting-cross-border-promise-four-years-on/,How PAPSS is meeting cross-border promise four years on,2026-03-31,off-topic,belongs-to-XAF-regional-pass
https://techafricanews.com/2026/07/09/beac-joins-papss-to-strengthen-cross-border-payments-in-central-africa/,BEAC Joins PAPSS Central Africa,2026-07-09,off-topic,belongs-to-XAF-regional-pass
https://techcabal.com/2026/07/10/techcabal-daily-a-central-bank-joins-papss/,TechCabal Daily aggregator,2026-07-10,off-topic,aggregator-roundup
https://www.graphic.com.gh/business/business-news/mtn-business-partners-graphic-communications-group-to-deliver-trusted-business-intelligence-through-fibre-broadband.html,MTN Business partners Graphic Communications Group,2026-07-06,off-topic,advertorial
https://techafricanews.com/2026/02/23/mtn-to-invest-us1-1-billion-over-three-years-to-strengthen-ghanas-network-and-service-quality/,MTN to Invest US$1.1 Billion (techafricanews),2026-02-23,already-held,raw/2026-02-23 MTN Ghana secures $1.1bn boost as AI push deepens
https://techafricanews.com/2026/04/28/mtn-ghana-commits-1-1-billion-investment-to-enhance-telecom-infrastructure-and-nationwide-coverage/,MTN Ghana Commits $1.1 Billion (techafricanews recrawl),2026-04-28,already-held,raw/2026-02-23 MTN Ghana secures $1.1bn boost as AI push deepens
https://techreviewafrica.com/news/4098/mtn-group-to-reinvest-1-billion-in-ghana-over-three-years,MTN Group to reinvest $1 billion in Ghana (techreview pr-wire),2026-02-21,pr-wire-better-twin,raw/2026-02-23 MTN Ghana secures $1.1bn boost as AI push deepens
https://techafricanews.com/2025/11/04/digital-realty-launches-first-data-center-in-ghana-to-power-africas-digital-growth/,Digital Realty Launches First Data Center (techafricanews),2025-11-04,already-held,raw/2025-11-04 Digital Realty Expands African Footprint With New Data Center in Ghana (ACR2)
https://techafricanews.com/2026/04/01/ghana-approves-250m-ai-centre-to-power-digital-transformation/,Ghana Approves $250M AI Centre (techafricanews),2026-04-01,already-held,raw/2026-04-03 Ghana approves $250M AI Hub & National AI Strategy
