url,title,published,reason,kept_twin
https://thepoint.gm/africa/gambia/headlines/gambia-launches-bantaba-2-0-first-real-time-interoperable-payment-system,Gambia launches BANTABA 2.0 first real-time interoperable payment system,2025-12-15,already-held,raw/2025-12-15 Gambia launches BANTABA 2.0
https://www.biometricupdate.com/202601/the-gambia-picks-margins-id-group-for-national-id-infrastructure-upgrade,The Gambia picks Margins ID Group for national ID infrastructure upgrade,2026-01-22,already-held,raw/2026-01-22 The Gambia picks Margins ID Group
https://www.biometricupdate.com/202510/the-gambia-strengthens-digital-trust-with-personal-data-protection-privacy-bill,The Gambia strengthens digital trust with personal data protection & privacy bill,2025-10-29,already-held,raw/2025-10-29 The Gambia strengthens digital trust
https://thepoint.gm/africa/gambia/national-news/moh-plans-to-digitalize-birth-death-registration,MOH plans to digitalize birth death registration,2021-03-17,out-of-window,
https://thepoint.gm/africa/gambia/national-news/govt-to-implement-technology-hub,Gov't to implement technology hub,2024-01-11,out-of-window,
https://thepoint.gm/africa/gambia/national-news/gambia-gains-remarkable-achievements-in-communication-and-digital-economy-sector,Gambia gains remarkable achievements in communication & digital economy sector,2024-01-23,out-of-window,
https://thepoint.gm/africa/gambia/headlines/health-ministry-signs-mou-with-interior-to-harmonize-nis,Health Ministry signs MOU with Interior to harmonize NIS,2024-03-26,out-of-window,
https://thepoint.gm/africa/gambia/headlines/gambia-launches-us50m-digital-transformation-for-africa,Gambia launches US$50M Digital Transformation for Africa,2024-04-25,out-of-window,
https://thepoint.gm/africa/gambia/headlines/casai-arms-schools-with-cybersecurity-essentials,CASAI arms schools with cybersecurity essentials,2024-03-07,out-of-window,
https://thepoint.gm/africa/gambia/headlines/gambia-among-lowest-internet-ranking-globally-survey,Gambia among lowest internet ranking globally - Survey,2024-06-05,out-of-window,
https://thepoint.gm/africa/gambia/national-news/special-report-gicta-edifies-stakeholders-on-mandate-and-goals,SPECIAL REPORT: GICTA edifies stakeholders on mandate and goals,2024-07-11,out-of-window,
https://standard.gm/national-id-cards-ready-for-issue-on-october-1/,National ID Cards Ready For Issue On October 1,2018-09-24,out-of-window,
https://standard.gm/on-the-road-to-a-digital-nation-what-are-the-challenges-the-gambia-faces/,On The Road To A Digital Nation: What Are The Challenges The Gambia Faces?,2022-03-09,out-of-window,
https://www.biometricupdate.com/202404/the-gambia-reaches-1-17m-birth-registration-milestone-with-world-bank-support,The Gambia reaches 1.17M birth registration milestone with World Bank support,2024-04-03,out-of-window,
https://thepoint.gm/africa/gambia/editorial/read-between-the-lines-integrity-of-national-documents-and-u-s-travel-restrictions,Good Morning Mr President: Integrity of National Documents and US Travel Restrictions,2025-06-30,off-topic,
https://thepoint.gm/africa/gambia/editorial/reimagining-africas-digital-future,Reimagining Africa's Digital Future!,2025-05-06,off-topic,
https://thepoint.gm/africa/gambia/feature/why-digital-transformation-matters-for-gambia,Why digital transformation matters for Gambia!,2025-12-15,off-topic,
https://standard.gm/built-with-gambians-by-gambians/,Built With Gambians By Gambians,2026-02-26,off-topic,
https://thepoint.gm/africa/gambia/national-news/govt-unveils-10-year-made-in-the-gambia-strategy-to-boost-local-industry,Gov't unveils 10-year 'made in The Gambia' strategy to boost local industry,2026-07-17,off-topic,
https://techreviewafrica.com/news/6003/the-telecom-infrastructure-race-reshaping-west-africas-digital-future,The telecom infrastructure race reshaping West Africa's digital future,,off-topic,
