url,title,published,reason,kept_twin
https://www.maliweb.net/technologie/mali-inauguration-dun-data-center-tier-iii-un-tournant-majeur-pour-la-souverainete-numerique-de-laes-3113579.html,Mali inauguration Data Center Tier III (AES),2026-02-01,already-held,wiki holds Tier III data centre event with 4 sources
https://techafricanews.com/2026/02/02/mali-inaugurates-tier-iii-data-center-to-strengthen-digital-sovereignty-in-the-sahel/,Mali Inaugurates Tier III Data Center,2026-02-02,already-held,wiki 2026-02-02 Mali unveils modern Tier III data centre
https://www.connectingafrica.com/data-centers/mali-inaugurates-a-tier-iii-data-center,Mali inaugurates a Tier III data center,2026-02-03,already-held,wiki Tier III data centre cluster
https://www.digitalbusiness.africa/mali-un-datacenter-tier-iii-inaugure-pour-heberger-les-donnees-de-laes/,Mali datacenter Tier III heberger donnees AES,2026-02-02,already-held,wiki Tier III data centre cluster
https://afriqueitnews.com/tech-media/mali-datacenter-tier-iii-inaugure-pour-renforcer-souverainete-numerique/,Mali datacenter Tier III souverainete,2026-02-04,already-held,wiki Tier III data centre cluster
https://malikonews.com/mali-inauguration-du-data-center-tier-iii-un-pas-decisif-vers-la-souverainete-numerique-de-lespace-aes/,Mali inauguration data center Tier III,2026-02-01,already-held,wiki Tier III data centre cluster
https://www.datacenterdynamics.com/en/news/government-of-mali-launches-data-center-in-bamako/,Government of Mali launches data center in Bamako,2026-07-14,same-outlet-recrawl,wiki 2026-02-05 DCD government-of-mali-launches-data-center
https://en.sputniknews.africa/20260201/1083033968.html,Mali Strengthens Digital Sovereignty Data Center,2026-02-01,already-held,wiki Tier III data centre cluster
https://villpress.com/mali-tier-iii-data-center-digital-sovereignty/,Why Mali's New Tier III Data Center Signals New Era,2026-02-03,already-held,wiki Tier III data centre cluster
https://www.biometricupdate.com/202502/mali-to-launch-worldwide-digital-platform-for-diaspora,Mali to launch worldwide digital platform for diaspora,2025-02-27,already-held,wiki 2025-02-21 Mali Launches Digital Platform for Diaspora
https://www.biometricupdate.com/202510/mali-unveils-new-biometric-passport-with-emptech-as-supplier,Mali unveils new biometric passport with Emptech,2025-10-29,already-held,wiki 2025-10-28 idtechwire Mali Launches E-AES Biometric Passport
https://www.financialafrik.com/en/2026/06/24/telecoms-mali-regains-majority-stake-in-sotelma-maroc-telecom-confirms-new-balance/,Mali regains majority stake in SOTELMA (Financial Afrik),2026-06-24,pr-wire-better-twin,2026-06-25-businessinsider-mali-regains-sotelma-majority-stake (financialafrik paywalled)
https://businessday.ng/technology/article/mali-regains-control-of-strategic-telecom-asset-17-yrs-after-privatisation/,Mali regains control of strategic telecom asset,2026-06-26,pr-wire-better-twin,2026-06-25-businessinsider-mali-regains-sotelma-majority-stake
https://africaglobalnews.com/mali-sotelma-277-million-telecom-deal/,Mali Regains Control of SOTELMA in $277M Deal,2026-06-28,pr-wire-better-twin,2026-06-25-businessinsider-mali-regains-sotelma-majority-stake
https://www.wearetech.africa/en/fils-uk/news/telecom/orange-mali-to-roll-out-300-new-4g-sites-under-80m-ifc-loan,Orange Mali to Roll Out 300 New 4G Sites Under 80M IFC Loan,2025-11-19,pr-wire-better-twin,2025-11-17-ifc-orange-mali-80m-loan (kept IFC primary)
https://www.connectingafrica.com/partnerships/orange-mali-ifc-to-expand-broadband-coverage,Orange Mali IFC to expand broadband coverage,2025-11-19,pr-wire-better-twin,2025-11-17-ifc-orange-mali-80m-loan
https://shore.africa/2025/11/24/orange-mali-ifc-funding-digital-growth/,Orange Mali secures $92.2 million IFC funding,2025-11-24,pr-wire-better-twin,2025-11-17-ifc-orange-mali-80m-loan
https://afric.info/2026/05/18/ifc-invests-in-orange-mali-to-expand-digital-connectivity-and-support-womens-digital-inclusion-international-finance-corporation-ifc/,IFC Invests in Orange Mali (SEO synthesis),2026-05-18,off-topic,AI-synthesis SEO reblog of IFC release
https://www.ecofinagency.com/news-digital/1112-51302-mali-targets-stronger-infrastructure-protection-with-2026-2030-cyber-plan,Mali Targets Stronger Infrastructure Protection 2026-2030 Cyber Plan,2025-12-11,pr-wire-better-twin,2025-12-09-wearetech-mali-strategie-cybersecurite-2026-2030
https://www.techinafrica.com/mali-tech-security-shift-new-policies-impact-internet-access-telecoms-startups/,Mali's Tech & Security Shift roundup,2026-01-27,off-topic,secondary multi-topic synthesis roundup
https://fr.editorialge.com/fintech-mali-2026/,14 Meilleures Fintech et Paiements au Mali en 2026,2026-02-05,off-topic,commercial listicle
https://thefintechtimes.com/the-fintech-ecosystem-of-mali-in-2026/,The Fintech Ecosystem of Mali in 2026,2026-05-03,off-topic,reference-synthesis overview no dated development
https://lessor.ml/posts/developpement-socio-economique-le-mali-peut-compter-sur-lia-69a7f42123d97,Developpement socio-economique : le Mali peut compter sur l'IA,2026-03-04,off-topic,paywalled teaser (abonnes) negligible payload
https://itweb.africa/locations/okYbe97X6RqAWpGV,Mobilis secures operating license / Telecel Mali (ITWeb Mali list),2019-12-16,out-of-window,4th mobile licence (Mobilis 2019) and Telecel (2018) pre-window
https://bamada.net/donnees-administratives-le-mali-recupere-ses-fichiers-ravec,Mali Kura Biometrie sovereign RAVEC launch,2024-02-14,out-of-window,pre-2025 (Feb 2024); background already reflected via Emptech/Idemia narrative
