url,title,published,reason,kept_twin
https://clubofmozambique.com/news/mozambique-parliament-unanimously-approves-cyber-security-law/,Mozambique parliament unanimously approves Cyber Security Law,2026-04-17,already-held,self
https://clubofmozambique.com/news/zambia-and-mozambique-launch-fibre-optic-interconnector-at-chanida-cassacatiza-border/,Zambia and Mozambique launch fibre-optic interconnector at Chanida-Cassacatiza border,2026-02-23,already-held,self
https://clubofmozambique.com/news/vodacom-mozambique-and-bayobab-zambia-launch-strategic-cross-border-fibre-link/,Vodacom Mozambique and Bayobab Zambia launch strategic cross-border fibre link,2026-02-23,same-outlet-recrawl,clubofmozambique zambia-and-mozambique-launch-fibre-optic-interconnector (held)
https://clubofmozambique.com/news/mozambique-full-digitalization-crucial-for-efficiency-of-state-services-chapo/,Mozambique: Full digitalization crucial for efficiency of state services - Chapo,2026-02-12,already-held,Feb-2026 National Conference on Digital Transformation (held 2026-02-16/02-21)
https://clubofmozambique.com/news/mozambique-digitisation-will-eliminate-excessive-bureaucracy-businesses/,Mozambique: Digitisation will eliminate excessive bureaucracy - businesses,2026-02-12,already-held,Feb-2026 National Conference on Digital Transformation (held)
https://clubofmozambique.com/news/mozambique-digital-data-oil-of-21st-century-for-economy-social-growth-govt/,Mozambique: Digital data oil of 21st century for economy - govt,2025-08-04,off-topic,subsumed by staged National Data Governance Policy items
https://clubofmozambique.com/news/mozambique-artificial-intelligence-is-crucial-for-modernizing-governance/,Mozambique: Artificial Intelligence is crucial for modernizing governance,2026-02-04,off-topic,subsumed by staged CNIA / draft AI strategy items
https://clubofmozambique.com/news/mozambique-intic-calls-for-urgent-creation-of-cyber-incident-response-teams/,Mozambique: INTIC calls for urgent creation of Cyber Incident Response Teams,2025-11-18,off-topic,thin; cyber cluster covered by staged items
https://clubofmozambique.com/news/mozambique-modernising-infrastructure-crucial-to-combating-cybercrime/,Mozambique: Modernising infrastructure crucial to combating cybercrime,2026-06-30,off-topic,thin; subsumed by staged cyber items
https://clubofmozambique.com/news/mozambique-floods-etc-situation-report-4-reporting-period-07-16-february-2026/,Mozambique - Floods ETC Situation Report #4,2026-02-16,off-topic,humanitarian sitrep; connectivity angle staged via Starlink-Vodacom flood piece
