url,title,published,reason,kept_twin
https://techafricanews.com/2026/01/20/south-sudans-nca-establishes-gateway-services-and-data-center-oversight-committee/,"South Sudan's NCA Establishes Gateway Services and Data Center Oversight Committee",2026-01-20,same event already held in raw/ (NCA gateway/data-centre committee),https://www.eyeradio.org/nca-establishes-gateway-and-data-center-oversight-committee
https://www.wearetech.africa/en/fils-uk/news/public-management/south-sudan-tightens-control-over-digital-gateways-and-data-centers,"South Sudan Tightens Control Over Digital Gateways and Data Centers",2026-01-21,same event already held (NCA gateway/data-centre committee),https://www.eyeradio.org/nca-establishes-gateway-and-data-center-oversight-committee
https://africaarbitration.org/2026/01/26/south-sudan-tightens-control-over-digital-gateways-and-data-centres/,"South Sudan tightens control over digital gateways and data centres",2026-01-26,same event already held (NCA gateway/data-centre committee); non-designated blog,https://www.eyeradio.org/nca-establishes-gateway-and-data-center-oversight-committee
https://www.ecofinagency.com/news-digital/2201-52190-south-sudan-approves-9-billion-fiber-network-to-accelerate-digital-push,"South Sudan Approves $9 Billion Fiber Network to Accelerate Digital Push",2026-01-22,same events already covered (gateway committee held; $9bn/2400km fibre staged via papers/journals); aggregator,
https://techafricanews.com/2025/02/07/bank-of-south-sudan-to-launch-first-national-instant-payment-system/,"Bank of South Sudan to Launch First National Instant Payment System",2025-02-07,same event as held (NIPS launch) and staged onecitizendaily NIPS,https://techcabal.com/2025/02/07/south-sudan-launches-instant-payments
https://www.semafor.com/article/02/19/2025/south-sudans-instant-payments-push,"South Sudan's instant payments push",2025-02-19,same event NIPS (already held/staged); non-designated aggregator,https://techcabal.com/2025/02/07/south-sudan-launches-instant-payments
https://africanenda.org/bank-of-south-sudan-launches-the-countrys-first-national-instant-payment-system/,"Bank of South Sudan Launches the Country's First National Instant Payment System",2025-02-05,same event NIPS; entity self-PR,https://techcabal.com/2025/02/07/south-sudan-launches-instant-payments
https://techpression.com/south-sudan-launches-national-instant-payment-system/,"South Sudan launches National Instant Payment System to boost financial inclusion",2025-02-08,same event NIPS; non-designated aggregator,https://techcabal.com/2025/02/07/south-sudan-launches-instant-payments
https://africaspoint.com/south-sudan-first-instant-payments-system-2026/,"South Sudan launches first instant payments system",2026-04-16,same event NIPS (later analysis); non-designated aggregator,https://techcabal.com/2025/02/07/south-sudan-launches-instant-payments
https://techafricanews.com/2026/02/10/south-sudan-ict-minister-holds-talks-with-new-huawei-ceo-on-tech-partnerships/,"South Sudan ICT Minister Holds Talks with New Huawei CEO on Tech Partnerships",2026-02-10,same event already held (Huawei-South Sudan Feb 2026 reconnection),https://itweb.africa/article/huawei-reconnects-with-south-sudan/
https://www.theafricanwallstreet.com/technology/south-sudan-and-huawei-partner-for-ict-growth-in-2026/2026/02/10/,"South Sudan and Huawei partner for ICT growth in 2026",2026-02-10,same event already held (Huawei Feb 2026 meeting); non-designated,https://itweb.africa/article/huawei-reconnects-with-south-sudan/
https://techafricanews.com/2025/08/08/south-sudan-to-begin-fiber-optic-cable-project-with-kenya-in-early-2026-to-boost-connectivity/,"South Sudan to Begin Fiber Optic Cable Project with Kenya in Early 2026",2025-08-08,same event as staged ITWeb fibre-from-Kenya (Aug 2025),https://itweb.africa/article/south-sudan-to-lay-fibre-from-kenya/lwrKx73Y94lqmg1o
