url,title,published,reason,kept_twin
https://www.biometricupdate.com/202506/sao-tome-and-principe-pilots-mosip-based-national-digital-id-system,São Tomé and Principe pilots MOSIP-based national digital ID system,2025-06-05,exact-url-already-held,raw/2025-06-05 São Tomé and Principe pilots MOSIP-based national digital ID system.md
https://afric.news/2025/06/30/sao-tome-and-principe-pilots-mosip-based-national-digital-id-system-biometric-update/,São Tomé and Príncipe Implements MOSIP-Based National Digital ID System,2025-06-30,inadmissible-AI-synthesis-aggregator,biometricupdate (held)
https://ts2.tech/en/connecting-sao-tome-and-principe-internet-access-in-2025-infrastructure-challenges-and-opportunities/,Connecting São Tomé and Príncipe: Internet Access in 2025,2025-07-29,inadmissible-AI-content-farm-explainer,
https://www.menosfios.com/starlink-chega-a-sao-tome-e-principe-e-amplia-a-conectividade-digital-no-arquipelago/,Starlink chega a São Tomé e Príncipe,2025-12-15,relevant-duplicate-same-event-secondary-tech-blog,https://spaceinafrica.com/2025/12/11/starlink-begins-service-in-sao-tome-and-principe/
https://portuguese.hcntimes.com/acordos-com-cabo-verde-e-sao-tome-e-principe-reforcam-economia-digital-macau/,Acordos com Cabo Verde e São Tomé e Príncipe reforçam economia digital,2026-06-11,Lusa-syndication-of-official-primary,https://www.gov.mo/pt/noticias/831008/
https://portuguese.hcntimes.com/a-dspdp-de-macau-formaliza-cooperacao-com-as-autoridades-de-proteccao-de-dados-pessoais-de-sao-tome-e-principe-e-de-cabo-verde/,A DSPDP de Macau formaliza cooperação (HCN),2026-06-10,syndication-of-official-primary,https://www.gov.mo/pt/noticias/831008/
https://jornaltransparencia.st/ppp12.htm,Campanha atribuição gratuita BI Ilhéu das Rolas (archive htm),2026-01-23,same-event-archive-homepage-page,https://www.telanon.info/sociedade/2026/01/22/51507/
https://www.telanon.info/destaques/2026/06/26/53405/afap-prorrogacao-da-data-para-fornecimento-de-servidores-para-o-data-center-e-recuperacao-de-desastre-para-o-sistema-de-identidade-digital/,AFAP prorrogação servidores Data Center DR identidade digital,2026-06-26,same-tender-deadline-extension-same-outlet,https://www.telanon.info/anuncios/2026/05/14/52921/
https://rdpafrica.rtp.pt/noticias-africa/cidadaos-sao-tomenses-vao-passar-a-ter-um-cartao-de-identidade-unica/,Cidadãos são-tomenses vão passar a ter um cartão de identidade única,2024-09-30,out-of-window-pre-2025,
https://www.telanon.info/sociedade/2022/09/23/38608/documentos-de-salvaguardas-ambientais-e-sociais-respeitantes-ao-novo-projeto-stp-digital-fibra-otica-para-rap/,Salvaguardas STP Digital Fibra Ótica RAP,2022-09-23,out-of-window-pre-2025,
https://www.stp-press.st/2023/03/29/sao-tome-e-principe-lanca-projecto-stp-digital-avaliado-em-23-9-milhoes-de-dolares-para-o-desenvolvimento-da-economia-digital/,STP lança projecto STP Digital 23.9 milhões,2023-03-29,out-of-window-pre-2025,
https://www.telanon.info/suplemento/opiniao/2024/11/04/46365/implementacao-de-um-sistema-de-e-gov-para-sao-tome-e-principe-estrategia-infraestrutura-e-caminhos-a-seguir/,Implementação de um Sistema de e-Gov para STP (opinião),2024-11-04,out-of-window-and-opinion-piece,
https://documents1.worldbank.org/curated/en/099101024045584122/pdf/P177158-da7209a1-8857-4df7-bc1f-56b2a0693a01.pdf,World Bank aide-mémoire STP Digital (Oct 2024 mission),2024-10-01,out-of-window-pre-2025,
https://afap.st/projectos/sao-tome-e-principe-digital/,São Tomé e Príncipe Digital - AFAP (project page),2024-12-08,out-of-window-and-entity-profile-not-dated-development,
https://www.ager.st/index.php/en/news/19-annonces/106-estrategia-nacional-de-ciberseguranca-de-sao-tome-e-principe,Estratégia Nacional de Cibersegurança de STP (consulta pública),,undated-likely-2024-reference-instrument-2024-2028-strategy,
https://inic.gov.st/docs/EstrGovDigital-STP-Jan2020.pdf,Uma Estratégia Nacional para a Governação Digital em STP,2020-01-01,out-of-window-baseline-held-variant,raw/2024-01-01 National Strategy for Digital Governance in São Tomé and Príncipe.md
https://www2.camara.leg.br/saotomeeprincipe/diarios-da-an/xii-legislatura-8-11-22-a-8-11-26/ii-serie/3.a-sessao-legislativa/DAN32-IIS.pdf/at_download/file,Diário AN - Acordo BAD Sistema Pagamento e Inclusão Financeira,2024-01-31,out-of-window-2023-loan-resolution,
https://www.rtp.pt/noticias/mundo/ligacao-a-internet-por-cabo-submarino-chega-ao-principe-ate-2025_n1418887,Ligação à Internet por cabo submarino chega ao Príncipe até 2025,2022-07-11,out-of-window-pre-2025,
