url,title,published,reason,kept_twin
https://www.biometricupdate.com/202508/robust-dpi-inevitable-for-eswatinis-economic-jobs-boom-world-bank,"Robust DPI inevitable for Eswatini's economic, jobs boom: World Bank",2025-08-05,exact-url-already-held,raw/2025-08-05 Robust DPI inevitable for Eswatini's economic jobs boom - World Bank.md
https://techreviewafrica.com/news/5487/eswatini-promotes-digital-transformation-project-through-world-bank-engagements,Eswatini promotes digital transformation project through World Bank engagements,2026-05-18,exact-url-already-held,raw/2026-05-18 Eswatini promotes digital transformation project through World Bank engagements.md
https://www.biometricupdate.com/202411/eswatini-unveils-readiness-report-for-digital-id-transformation-push,"Eswatini unveils readiness report for digital ID, transformation push",2024-11-22,held-and-out-of-window,raw/2024-11-22 Eswatini unveils readiness report for digital ID transformation push.md
https://www.biometricupdate.com/202407/eswatini-urged-to-digitize-national-id-system-with-regard-for-privacy-security-risks,"Eswatini urged to digitize national ID system with regard for privacy, security risks",2024-07-25,out-of-window,
https://independentnews.co.sz/10611/business/eswatini-payment-switch-eswatinibank-sbs-e-mali-instant-pay/,"Eswatini Payment Switch: EswatiniBank, SBS, e-Mali instant pay",2024-12-12,out-of-window,
https://independentnews.co.sz/5574/news/from-e50-to-e300-to-replace-lost-destroyed-i-d-card/,From E50 to E300 to replace lost or destroyed I.D card,2020-12-28,out-of-window,
https://itweb.africa/article/eswatini-explores-cbdc-possibilities-through-gieseckedevrient/GxwQD71DDdPvlPVo,Eswatini explores CBDC possibilities through Giesecke+Devrient,2022-10-18,out-of-window,
https://www.times.co.sz/technology-today/readmore.php?yiphi=519,THOR powers Eswatini's digital future with Starlink,2025-11-04,advertorial-PR-by-THOR-reseller,
https://www.times.co.sz/business/readmore.php?yiphi=3662,E6bn Taiwan industrial park gains momentum,2026-04-23,out-of-scope-industrial-manufacturing,
https://techreviewafrica.com/news/3973/eswatini-minister-of-ict-calls-for-accelerated-digital-transformation-to-boost-private-sector,Eswatini Minister of ICT calls for accelerated digital transformation to boost private sector,2026-02-12,lead-net-duplicate-of-times-optical-fibre-same-Business-Eswatini-indaba,new-queue/SWZ/2026-02-13-optical-fibre-rollout-strengthens-business-ecosystem.md
https://techreviewafrica.com/news/2579/eswatini-accelerates-digital-transformation-as-economic-growth-catalyst,Eswatini accelerates digital transformation as economic growth catalyst,2025-08-01,lead-net-duplicate-of-economic-update-2025-covered-by-newspaper-and-techafricanews,
https://techreviewafrica.com/news/6068/eswatini-strengthens-public-sector-digital-transformation-through-change-agent-training-programme,Eswatini strengthens public sector digital transformation through Change Agent Training programme,2026-06-20,lead-net-duplicate-of-independent-change-agents-piece,new-queue/SWZ/2026-06-24-ict-trains-change-agents-e1-2bn-digitization.md
https://techafricanews.com/2026/06/24/seychelles-launches-revamped-egov-portal-to-expand-digital-public-services/,Seychelles Launches Revamped eGov Portal,2026-06-24,wrong-country-seychelles,
https://techafricanews.com/2025/11/21/seychelles-embraces-digital-revolution-as-fusepay-ushers-out-paper-cheques/,Seychelles Embraces Digital Revolution as Fusepay Ushers Out Paper Cheques,2025-11-21,wrong-country-seychelles,
