url,title,published,reason,kept_twin
https://www.togofirst.com/fr/tic/1911-17602-e-id-togo-lancement-de-l-enrolement-biometrique-dans-la-region-maritime,e-ID Togo lancement enrolement maritime (FR),2025-11-19,same-outlet FR twin of held EN,raw/2025-11-19 Togo Advances Digital ID Program With New Enrollment Phase in Maritime Region.md
https://www.togofirst.com/en/public-management/0707-19481-togo-promotes-better-archives-to-strengthen-public-governance,Togo Promotes Better Archives (EN),2026-07-07,same-outlet EN twin of kept FR 0707-19475,new-queue/TGO/2026-07-07-togo-archives-gestion-publique.md
https://www.togofirst.com/en/itc/2805-19082-togo-s-sin-st-digital-to-launch-private-cloud-services-at-lome-data-centre,SIN ST DIGITAL private cloud LDC (EN),2026-05-28,same-outlet EN twin of kept FR 2805-19078,new-queue/TGO/2026-05-28-sin-st-digital-cloud-prive-lome.md
https://www.togofirst.com/en/finance/1404-18715-mixx-togo-joins-bceao-payment-platform-enabling-cross-border-transfers-across-uemoa,Mixx Togo joins BCEAO platform (EN),2026-04-14,same-outlet EN twin of kept FR 1404-18708,new-queue/TGO/2026-04-14-mixx-togo-pi-spi-uemoa.md
https://www.togofirst.com/fr/banque/0110-17191-la-bceao-lance-sa-plateforme-de-paiements-instantanes-avec-trois-banques-impliquees-au-togo,BCEAO plateforme paiements instantanes trois banques (FR),2025-10-01,same-outlet FR twin of held EN 0110-17197,raw/2025-10-01 BCEAO Launches Instant Payments Platform in Togo with Three Banks.md
https://www.togofirst.com/en/services/2404-18804-togo-tops-6-mln-users-under-biometric-id-program,Togo tops 6 mln users biometric ID (EN),2026-04-24,same-outlet EN twin of kept FR 2304-18802,new-queue/TGO/2026-04-23-togo-6-millions-niu-fin-2025.md
https://www.togofirst.com/en/itc/1501-17990-togo-continues-biometric-id-rollout-in-maritime-region-adds-zio,Togo continues biometric ID rollout Maritime adds Zio (EN),2026-01-15,same-outlet EN twin of kept FR 1501-17988,new-queue/TGO/2026-01-15-enrolement-biometrique-zio-19-janvier.md
https://www.togofirst.com/en/social/1105-18937-togo-expands-biometric-identification-drive-to-plateaux-region,Togo expands biometric drive Plateaux (EN),2026-05-11,same-outlet EN twin of kept FR 1105-18935,new-queue/TGO/2026-05-11-anid-plateaux-ouest-enregistrement.md
https://www.togofirst.com/en/telecom/0807-19503-moov-africa-togo-expands-mobile-money-offering-with-insurance-gift-card-services,Moov Africa Togo expands mobile money (EN),2026-07-08,same-outlet EN twin of kept FR 0807-19499,new-queue/TGO/2026-07-08-moov-africa-togo-mobile-money-services.md
https://www.connectingafrica.com/data-centers/togo-s-sin-st-digital-to-deploy-cloud-services-at-lom-data-center,SIN ST Digital cloud LDC (connectingafrica),2026-06-02,exact-URL already held,raw/2026-06-02 SIN, ST Digital to deploy cloud services at Lome data center.md
https://www.togofirst.com/fr/social/2101-4777-togo-pour-doter-chaque-individu-d-un-numero-d-identification-biometrique-unique-l-etat-implique-la-societe-civile,Togo doter individu NIU societe civile,2020-01-21,out-of-window (2020),
https://www.togofirst.com/fr/telecoms/1602-11409-apres-l-atterrissage-d-equiano-le-togo-recadre-la-pose-de-cables-sous-marins-de-fibre-optique,Togo recadre cables sous-marins Equiano,2023-02-16,out-of-window (2023),
https://www.togofirst.com/fr/telecoms/0911-12867-togo-le-cable-sous-marin-equiano-de-google-est-operationnel-eudes-gbessi-directeur-pays-de-csquared,Equiano operationnel Csquared,2023-11-09,out-of-window (2023),
https://www.togofirst.com/fr/telecoms/1101-13217-togocom-va-obtenir-36-milliards-fcfa-de-lifc-pour-renforcer-la-connexion-haut-debit,Togocom 36 Md IFC haut debit,2024-01-11,out-of-window (2024),
https://www.togofirst.com/fr/tic/2210-15036-togo-l-instance-de-protection-des-donnees-a-caractere-personnel-desormais-operationnelle,IPDCP desormais operationnelle,2024-10-22,out-of-window (2024),
https://www.togofirst.com/fr/telecoms/2310-15046-togocom-desormais-une-filiale-tmoney-sa-pour-gerer-le-mobile-money,Togocom filiale Tmoney SA,2024-10-23,out-of-window (2024),
https://www.togofirst.com/fr/tic/0410-14920-le-togo-recherche-des-experts-pour-plancher-sur-une-strategie-nationale-en-intelligence-artificielle,Togo recherche experts strategie IA,2024-10-04,out-of-window (2024),
https://www.togofirst.com/fr/tic/0710-14935-togo-cybersecurite-et-ia-au-c-ur-de-l-ecole-nationale-sur-la-gouvernance-de-l-internet,Cybersecurite IA ecole gouvernance internet,2024-10-07,out-of-window (2024),
https://techcabal.com/2024/05/17/st-digital-to-build-additional-data-centres-in-3-francophone-countries/,ST Digital build data centres 3 francophone,2024-05-17,out-of-window (2024),
https://togopresse.tg/le-chef-de-letat-faure-essozimna-gnassingbe-inaugure-la-premiere-station-africaine-du-nouveau-cable-sous-marin-equiano-de-google/,Faure inaugure station Equiano,2022-03-01,out-of-window (2022),
