url,title,published,reason,kept_twin
https://www.connectingafrica.com/data-centers/telecom-egypt-cancels-helios-data-center-stake-sale,Telecom Egypt cancels Helios data center stake sale,2026-07-17,already-seen,
https://subtelforum.com/subtel-forum-magazine-149-regional-systems/,SubTel Forum Issue 149 - Regional Systems OUT NOW!,2026-07-20,house-promo-no-development,
https://subtelforum.com/ellalink-begins-lumlink-marine-installation/,EllaLink Begins Lum@link Marine Installation,2026-07-17,off-topic-non-african,
https://subtelforum.com/mcmc-opens-registration-for-malaysias-salam-cable/,MCMC Opens Registration for Malaysia's SALAM Cable,2026-07-17,off-topic-non-african,
https://subtelforum.com/china-commissions-tianyi-linghangzhe-cable-ship/,China Commissions Tianyi Linghangzhe Cable Ship,2026-07-17,off-topic-non-african,
https://subtelforum.com/taiwan-declines-prosecution-in-dongyin-subsea-cable-case/,Taiwan Declines Prosecution in Dongyin Subsea Cable Case,2026-07-17,off-topic-non-african,
https://subtelforum.com/watra-urges-regional-subsea-resilience-plan/,WATRA Urges Regional Subsea Resilience Plan,2026-07-17,already-seen,
https://subtelforum.com/fcc-adopts-new-submarine-cable-licensing-regime/,FCC Adopts New Submarine Cable Licensing Regime,2026-07-17,off-topic-non-african,
https://subtelforum.com/eu-opens-e3-94m-subsea-cable-security-pilot/,EU Opens EUR3.94M Subsea Cable Security Pilot,2026-07-17,off-topic-non-african,
https://subtelforum.com/itu-icpc-advisory-body-approves-cable-resilience-report/,"ITU, ICPC Advisory Body Approves Cable Resilience Report",2026-07-17,already-seen,
https://datacentresafrica.com/ai-is-advancing-faster-than-governments-can-protect-people-new-global-index-finds/,AI is advancing faster than governments can protect people - new Global Index finds,2026-07-09,out-of-window,
https://datacentresafrica.com/cloud-costs-keep-rising-optimisation-needs-an-owner/,Cloud costs keep rising - Optimisation needs an owner,2026-07-09,out-of-window,
https://datacentresafrica.com/afrobarometer-launches-round-11-data-collection/,Afrobarometer launches Round 11 data collection,2026-07-09,out-of-window,
https://datacentresafrica.com/viatunisia-subsea-segment-reaches-ready-for-service-2/,ViaTunisia subsea segment reaches Ready for Service,2026-07-06,out-of-window,
https://datacentresafrica.com/liquid-c2-secures-gold-level-in-googles-verified-peering-provider-programme-providing-improved-cloud-connectivity-in-africa/,Liquid C2 secures gold-level in Google's Verified Peering Provider programme,2026-07-06,out-of-window,
https://datacentresafrica.com/cassava-technologies-r1-75-billion-investment-commitment-in-gauteng-supports-expansion-in-region/,Cassava Technologies' R1.75-billion investment commitment in Gauteng,2026-07-06,out-of-window,
https://datacentresafrica.com/digital-realty-announces-transactions-to-drive-continued-platform-growth/,Digital Realty announces transactions to drive continued platform growth,2026-07-06,out-of-window,
https://datacentresafrica.com/africa-tech-festival-2026-returns-as-africas-defining-platform-for-digital-transformation-investment-and-innovation/,Africa Tech Festival 2026 returns as Africa's defining platform,2026-07-06,out-of-window,
https://datacentresafrica.com/middle-east-africa-data-centre-construction-market-poised-for-usd-15-97-billion-by-2031-arizton/,Middle East & Africa data centre construction market poised for USD 15.97 billion by 2031 - Arizton,2026-07-06,out-of-window,
https://www.connectingafrica.com/connectivity/amazon-leo-prepares-to-launch-satellite-internet-services-in-sa-via-herotel,Amazon Leo prepares to launch satellite Internet services in SA via Herotel,2026-07-16,out-of-window,
https://www.connectingafrica.com/regulation/kenya-licenses-25-more-digital-lenders,Kenya licenses 25 more digital lenders,2026-07-16,out-of-window,
https://itweb.africa/article/stablecoins-test-africas-monetary-future/KBpdg7pmGKnMLEew,Stablecoins test Africa's monetary future,2026-07-21,already-seen,
https://itweb.africa/article/egypt-eswatini-deepen-banking-cooperation/KWEBb7yL4wbvmRjO,"Egypt, Eswatini deepen banking cooperation",2026-07-21,already-seen,
https://itweb.africa/article/safaricom-financial-services-chief-resigns/JN1gP7OAEoOqjL6m,Safaricom financial services chief resigns,2026-07-21,already-seen,
https://itweb.africa/article/infraco-expands-ai-powered-towers/RgeVDvPRmeoMKJN3,InfraCo expands AI-powered towers,2026-07-21,already-seen,
https://itweb.africa/article/africas-cloud-infrastructure-gets-resilience-boost/P3gQ2MGAoJ4vnRD1,Africa's cloud infrastructure gets resilience boost,2026-07-20,already-seen,
https://itweb.africa/article/africa-may-be-blockchains-most-mispriced-market/lwrKxv3YPLbMmg1o,Africa may be Blockchain's most mispriced market,2026-07-20,vendor-thought-leadership,
https://itweb.africa/article/when-the-cyber-lock-fails-what-happens-next/RgeVDqPRmgj7KJN3,"When the cyber lock fails, what happens next?",2026-07-20,vendor-thought-leadership,
