url,title,published,reason,kept_twin
https://www.biometricupdate.com/202607/nigerias-id-authority-takes-on-new-duties-to-secure-growing-digital-ecosystem,Nigeria's ID authority takes on new duties,2026-07-21,seen-dup,raw/2026-07-21-nigeria-nimc-new-duties-digital-ecosystem.md
https://www.biometricupdate.com/202607/south-africa-overhauls-sim-registration-to-combat-identity-fraud,South Africa overhauls SIM registration,2026-07-21,seen-dup,raw/2026-07-21-south-africa-sim-registration-identity-fraud.md
https://www.connectingafrica.com/regulation/airtel-tnm-ordered-to-refund-malawi-customers,"Airtel, TNM ordered to refund Malawi customers",2026-07-21,seen-dup,raw/2026-07-21-airtel-tnm-ordered-refund-malawi-customers.md
https://www.biometricupdate.com/202607/mandatory-biometric-verification-for-ghana-card-holders-takes-effect,Ghana Card mandatory biometric verification,2026-07-20,out-of-window,
https://www.biometricupdate.com/202607/niger-joins-regional-biometric-passport-initiative,Niger joins AES biometric passport initiative,2026-07-20,out-of-window,
https://www.biometricupdate.com/202607/vove-id-launches-compliance-program-for-african-startups,Vove ID compliance program,2026-07-20,out-of-window,
https://www.biometricupdate.com/202607/near-universal-digital-adoption-pushes-uae,UAE trust frameworks,2026-07-22,off-topic,
https://www.biometricupdate.com/202607/aadhaar-app-tops-40m-downloads,Aadhaar app 40M downloads,2026-07-22,off-topic,
https://www.biometricupdate.com/202607/modern-idv-and-fraud-prevention-is-a-fortress-of-orchestrated-layers,Modern IDV fortress of orchestrated layers,2026-07-21,off-topic,
https://subtelforum.com/mauritius-joins-america-india-connect-cable/,Mauritius Joins America-India Connect Cable,2026-07-21,seen-dup,prior sweep capture (origin 2026-07-16)
https://subtelforum.com/google-lands-nuvem-cable-in-portugal/,Google Lands Nuvem Cable in Portugal,2026-07-22,off-topic,
https://subtelforum.com/ncc-cable-lands-at-nongsa-digital-park/,NCC Cable Lands at Nongsa Digital Park,2026-07-22,off-topic,
https://subtelforum.com/qatar-regulates-subsea-cable-landing-access/,Qatar Regulates Subsea Cable Landing Access,2026-07-22,off-topic,
https://subtelforum.com/cirion-begins-venezuela-subsea-cable-repair/,Cirion Begins Venezuela Subsea Cable Repair,2026-07-22,off-topic,
https://subtelforum.com/telxius-subsea-cable-business-1-2b-sale/,Telxius Subsea Cable Business Set for €1.2B Sale,2026-07-21,off-topic,
https://subtelforum.com/subtel-forum-magazine-149-regional-systems/,SubTel Forum Issue 149 OUT NOW,2026-07-20,out-of-window + own-magazine digest,
https://www.telecomreviewafrica.com/articles/general-news/29003-secure-your-place-trs-2026/,Secure Your Place at TRS 2026,2026-07-20,out-of-window + events PR,
https://itweb.africa/article/egypt-eswatini-deepen-banking-cooperation,"Egypt, Eswatini deepen banking cooperation",2026-07-21,seen-dup,
https://itweb.africa/article/helios-towers-commits-150m-to-senegal-expansion,Helios Towers commits $150m to Senegal,2026-07-21,seen-dup,
https://itweb.africa/article/kenya-introduces-telecom-equipment-licence,Kenya introduces telecom equipment licence,2026-07-21,seen-dup,
https://itweb.africa/article/safaricom-financial-services-chief-resigns,Safaricom financial services chief resigns,2026-07-21,seen-dup,
https://itweb.africa/article/stablecoins-test-africas-monetary-future,Stablecoins test Africa's monetary future,2026-07-21,seen-dup,
https://itweb.africa/article/infraco-expands-ai-powered-towers,InfraCo expands AI-powered towers,2026-07-21,seen-dup,
https://www.itweb.co.za/article/cassava-technologies-expressroute-metro,Cassava/Azure ExpressRoute Metro,2026-07-21,seen-dup,
https://www.itweb.co.za/article/coj-squabbles-with-action-sa-over-call-centre-outage,COJ call centre outage,2026-07-21,seen-dup,
https://www.itweb.co.za/article/home-affairs-expands-digital-visa-scheme-for-employers,Home Affairs digital visa scheme,2026-07-21,seen-dup,
https://www.itweb.co.za/article/sita-plugs-gaps-in-govts-disaster-response,SITA disaster response,2026-07-21,seen-dup,
https://itweb.africa/article/gotyme-bank-recognised-for-digital-banking-growth,GoTyme Bank recognised,2026-07-22,awards PR — no development,
https://itweb.africa/article/zambia-commissions-100mw-solar-power-plant,Zambia commissions 100MW solar plant,2026-07-22,out-of-scope (no ICT/data nexus),
https://itweb.africa/article/final-call-for-africas-data-trust-benchmark,Final call for data trust benchmark,2026-07-22,publisher survey promo,
https://www.itweb.co.za/article/final-days-to-contribute-to-africas-data-trust-benchmark,Final days data trust benchmark,2026-07-22,publisher survey promo (same-group re-run),
https://www.itweb.co.za/article/fragmented-payments-cost-more-than-money,Fragmented payments cost more than money,2026-07-21,vendor thought-leadership,
https://www.itweb.co.za/article/ict-distributor-rectron-suffers-cyber-attack,Rectron suffers cyber attack,2026-07-22,off data-governance core (private IT incident),
https://www.itweb.co.za/article/kzn-growth-fund-pairs-funding-with-digital-support,KZN Growth Fund digital support,2026-07-22,event PR — no development,
https://www.itweb.co.za/article/yes-but-are-we-selling-more-chicken,"Yes, but are we selling more chicken?",2026-07-23,off-topic (advertising feature),
itweb.co.za/what-keeps-cisos-awake-at-night,What keeps CISOs awake at night,2026-07-21/22,vendor thought-leadership,
itweb.co.za/agentic-ai-saps,Agentic AI SAPS,2026-07-21/22,vendor thought-leadership,
itweb.co.za/ai-can-create-the-software,AI can create the software,2026-07-21/22,vendor thought-leadership,
itweb.co.za/watch-taking-on-the-complex-ever-present-cyber-skills-challenge,Taking on the cyber skills challenge (video),2026-07-21/22,vendor video promo,
itweb.co.za/your-cyber-security-fundamentals,Your cyber security fundamentals,2026-07-21/22,vendor thought-leadership,
itweb.co.za/white-paper-ovations,White paper (Ovations),2026-07-21/22,vendor white-paper promo,
itweb.co.za/mci-expands-its-professional-services-portfolio,MCI expands professional services portfolio,2026-07-21/22,vendor PR,
itweb.co.za/why-the-modern-cloud-journey,Why the modern cloud journey,2026-07-21/22,vendor thought-leadership,
itweb.co.za/identity-and-access-management,Identity and access management,2026-07-21/22,vendor thought-leadership,
itweb.co.za/why-misconfigured-clouds,Why misconfigured clouds,2026-07-21/22,vendor thought-leadership,
itweb.co.za/communication-is-not-a-support-function,Communication is not a support function,2026-07-21/22,vendor thought-leadership,
itweb.co.za/build-your-future-with-icl-training-academy,Build your future with ICL Training Academy,2026-07-21/22,vendor promo,
https://www.itweb.co.za/article/aviation-sector-urges-youth-to-pursue-stem-careers,Aviation STEM careers,2026-07-22,off-topic,
itweb.co.za/structurecraft-netapp,StructureCraft NetApp,2026-07-21/23,paid placement (Business Wire),
itweb.co.za/accertify-liminal,Accertify Liminal,2026-07-21/23,paid placement (Business Wire),
itweb.co.za/wafuu-mascot,Wafuu mascot,2026-07-21/23,paid placement (Business Wire),
itweb.co.za/fpt-nuummite-e-cens,FPT Nuummite e-CENS,2026-07-21/23,paid placement (Business Wire),
itweb.co.za/native-acquires-frontline-research-group,Native acquires Frontline Research Group,2026-07-21/23,paid placement (Business Wire),
itweb.co.za/e-mail-remains-the-key,E-mail remains the key,2026-07-21/23,paid placement (Business Wire),
itweb.co.za/21st-century-label-printers,21st century label printers,2026-07-21/23,paid placement (Business Wire),
itweb.co.za/nutanix-amd,Nutanix AMD,2026-07-21/23,paid placement (Business Wire),
itweb.co.za/strategix-nutanix,Strategix Nutanix,2026-07-21/23,paid placement (Business Wire),
itweb.co.za/iia-south-africa-ethics,IIA South Africa ethics,2026-07-21/23,paid placement (Business Wire),
https://www.wearetech.africa/fr/fils/actualites/tech/au-burkina-faso-les-deputes-se-forment-a-l-ia,Burkina: députés se forment à l'IA,2026-07-21,seen-dup,
https://www.wearetech.africa/fr/fils/actualites/tech/togo-le-luxembourg-renforce-son-appui,"Togo–Luxembourg 78,55 M€",2026-07-21,seen-dup,
https://www.wearetech.africa/fr/fils/actualites/tech/la-guinee-et-le-rwanda-explorent,Guinée–Rwanda e-santé/IA,2026-07-21,seen-dup,
https://www.wearetech.africa/fr/fils/breves/breves-simple/transferts-dargent-lemfi-sassocie-a-bvnk,LemFi–BVNK,2026-07-22,seen-dup,
https://www.wearetech.africa/fr/fils/breves/breves-simple/afrique-du-sud-la-start-up-zazu,Zazu lève des fonds,2026-07-22,seen-dup,
https://www.wearetech.africa/fr/fils/breves/breves-simple/nigeria-rank-lance-trois-produits,Rank tontines,2026-07-22,seen-dup,
https://www.wearetech.africa/fr/fils/breves/breves-simple/nigeria-credicorp-lance-un-credit,CREDICORP CLICKD,2026-07-22,seen-dup,
https://www.wearetech.africa/fr/fils/breves/breves-simple/maroc-vove-id-lance-un-programme,VOVE ID,2026-07-21,seen-dup,
https://www.wearetech.africa/fr/fils/breves/breves-simple/busha-sassocie-a-tether,Busha–Tether,2026-07-21,seen-dup,
https://www.wearetech.africa/fr/fils/tech-stars/chepkemoi-chepkwony-concoit-des-solutions,Chepkwony / Vumah Labs,2026-07-21,seen-dup,
wearetech.africa/fr/fils/breves/breves-simple/amazon-de-nouvelles-suppressions-demplois,Amazon AI layoffs,2026-07-23,out-of-scope (no Africa nexus),
wearetech.africa/fr/fils/breves/breves-simple/whatsapp-de-nouvelles-fonctionnalites,WhatsApp CarPlay/iPad,2026-07-23,out-of-scope (no Africa nexus),
wearetech.africa/fr/fils/breves/breves-simple/instagram-lance-une-fonction,Instagram Replace Audio,2026-07-22,out-of-scope (no Africa nexus),
wearetech.africa/fr/fils/breves/breves-simple/reseau-social-x-deploie-une-toute-nouvelle-application,X Android app,2026-07-21,out-of-scope (no Africa nexus),
https://www.wearetech.africa/en/fils-uk/news/tech/togo-luxembourg-deepen-digital-partnership,Togo–Luxembourg (EN twin),2026-07-22,in-run-dup (same-outlet EN twin),FR held in raw (21 Jul sweep)
https://www.wearetech.africa/en/fils-uk/news/tech/djibouti-upgrades-ai-weather-forecasting-platform,Djibouti MAZU 2.0 (EN twin),2026-07-22,in-run-dup (same-outlet EN twin),new/2026-07-22-djibouti-mazu-2-0-alerte-meteo-ia.md
