url,title,published,reason,kept_twin
https://www.biometricupdate.com/202505/india-helps-angola-with-dpi-digital-id-as-part-of-200m-credit-line,India helps Angola with DPI digital ID as part of $200M credit line,2025-05-07,already-held,2025-05-07 India helps Angola with DPI digital ID as part of 200M credit line
https://www.biometricupdate.com/202511/angola-begins-issuance-of-id-cards-to-newborns,Angola begins issuance of ID cards to newborns,2025-11-17,already-held,2025-11-17 Angola begins issuance of ID cards to newborns
https://itweb.africa/article/namibia-encouraged-by-angola-on-datacentre-establishment/JN1gPvOA8oPMjL6m,Namibia encouraged by Angola on datacentre establishment,2026-06-15,already-held,2026-06-15 Namibia encouraged by Angola on datacentre establishment
https://techafricanews.com/2025/10/02/raxio-angola-brings-world-class-digital-infrastructure-to-unlock-faster-more-reliable-internet/,Raxio Angola Brings World-Class Digital Infrastructure to Unlock Faster More Reliable Internet,2025-10-02,already-held,raxiogroup.com/raxio-opens-angolas-largest-data-centre-in-landmark-30-million-expansion (verbatim syndication of the held Raxio press release; canonical preferred)
https://www.wearetech.africa/en/fils-uk/news/public-management/angola-partners-with-us-firm-cybastion-to-boost-cybersecurity,Angola Partners with US Firm Cybastion to Boost Cybersecurity,2025-07-01,same-outlet-recrawl,new-queue/AGO/2025-06-30-angola-taps-us-firm-cybastion-to-boost-cybersecurity.md (We Are Tech re-publication of its own 2025-06-30 piece; identical payload)
https://techreviewafrica.com/news/5932/namibia-studies-angolas-national-data-centre-model-during-luanda-visit,Namibia studies Angola's National Data Centre model during Luanda visit,2026-06-15,pr-wire-better-twin,new-queue/AGO/2026-06-16-namibia-ict-minister-visits-angolas-national-data-centre.md (TechAfrica News; ITWeb twin already held)
https://techreviewafrica.com/news/3481/angola-inaugurates-angosat-2-commercial-access-hub-to-expand-connectivity-for-startups-and-isps,Angola inaugurates ANGOSAT-2 commercial access hub to expand connectivity for startups and ISPs,2025-12-17,pr-wire-better-twin,new-queue/AGO/2025-12-23-angola-launches-commercial-access-to-angosat-2.md (Telecom Review Africa)
https://techreviewafrica.com/news/5909/unitel-signs-strategic-agreements-to-strengthen-angolas-digital-and-space-technology-ecosystem,UNITEL signs strategic agreements to strengthen Angola's digital and space technology ecosystem,2026-06-11,pr-wire-better-twin,new-queue/AGO/2026-06-12-unitel-agreements-expand-broadband-angotic.md (TechAfrica News)
https://techreviewafrica.com/news/5906/namibia-and-angola-sign-ict-cooperation-agreement,Namibia and Angola sign ICT cooperation agreement,2026-06-11,pr-wire-better-twin,new-queue/AGO/2026-06-11-namibia-and-angola-join-forces-angotic-mou.md (TechAfrica News)
https://techreviewafrica.com/news/5899/namibia-and-angola-sign-ict-cooperation-agreement,Namibia and Angola sign ICT cooperation agreement (duplicate node),2026-06-11,same-outlet-recrawl,https://techreviewafrica.com/news/5906/namibia-and-angola-sign-ict-cooperation-agreement
https://techreviewafrica.com/news/5894/telecom-namibia-and-ggpen-sign-pilot-agreement-to-promote-angosat-2-commercial-use,Telecom Namibia and GGPEN sign pilot agreement to promote Angosat-2 commercial use,2026-06-11,pr-wire-better-twin,new-queue/AGO/2026-06-12-namibia-angola-ink-satellite-deal-itweb.md (ITWeb Africa)
https://techreviewafrica.com/news/5115/namibia-and-angola-sign-mou-to-deepen-digital-ties,Namibia and Angola sign MoU to deepen digital ties,2026-04-24,pr-wire-better-twin,new-queue/AGO/2026-04-24-angola-namibias-dynamic-connectivity-partnership-itweb.md (ITWeb Africa)
https://techreviewafrica.com/news/5110/namibia-and-angola-ict-ministers-inspect-progress-of-regional-subsea-cable-project,Namibia and Angola ICT Ministers inspect progress of regional subsea cable project,2026-04-24,pr-wire-better-twin,new-queue/AGO/2026-04-24-angola-namibias-dynamic-connectivity-partnership-itweb.md (same Swakopmund visit; ITWeb Africa)
https://techreviewafrica.com/news/4798/over-35-companies-join-angolas-conecta-comercial-satellite-initiative,Over 35 Companies join Angola's Conecta Comercial Satellite initiative,2026-04-10,pr-wire-better-twin,new-queue/AGO/2026-04-10-angola-expands-satellite-internet-push-conecta-project.md (TechAfrica News)
https://techreviewafrica.com/public/news/1237/digital-nation-signs-mou-with-the-institute-of-administrative-modernization-ima-of-angola,Digital Nation signs MoU with the Institute of Administrative Modernization (IMA) of Angola,2024-03-13,out-of-window,
https://www.wearetech.africa/en/fils-uk/news/public-management/angola-to-invest-us-89-million-to-build-a-national-cloud,Angola to invest US$89 million to build a national cloud,2023-02-20,out-of-window,
https://www.wearetech.africa/en/fils-uk/news/tech/angola-low-internet-access-hampers-digitization-of-public-services,Angola: Low Internet Access Hampers Digitization of Public Services,2024-02-13,out-of-window,
https://www.wearetech.africa/en/fils-uk/news/public-management/angola-partners-with-dell-to-accelerate-its-digital-administration-reforms,Angola Partners with Dell to Accelerate its Digital Administration Reforms,2023-07-18,out-of-window,
https://www.wearetech.africa/en/fils-uk/news/telecom/liralink-tecnologia-and-zte-to-build-a-4g-5g-handset-assembly-plant-in-angola,LiraLink Tecnologia and ZTE to build a 4G/5G handset assembly plant in Angola,2023-06-15,out-of-window,
https://www.wearetech.africa/en/fils-uk/news/tech/onix-data-centres-leverages-angola-cables-network-to-deliver-secure-digital-solutions,Onix Data Centres Leverages Angola Cables Network to Deliver Secure Digital Solutions,2023-11-27,out-of-window,
https://www.biometricupdate.com/202306/angola-seals-financing-agreement-for-139m-biometric-passport-contract,Angola seals financing agreement for $139M biometric passport contract,2023-06-01,out-of-window,
https://www.biometricupdate.com/201902/angola-introducing-biometric-passports,Angola introducing biometric passports,2019-02-24,out-of-window,
https://www.telecomreviewafrica.com/articles/general-news/1267-angola-announces-plans-to-establish-a-national-data-protection-agency/,Angola announces plans to establish a national data protection agency,2018-11-01,out-of-window,
https://www.telecomreviewafrica.com/articles/features/3631-angola-aims-to-enhance-its-ict-infrastructure-and-cybersecurity/,Angola Aims to Enhance Its ICT Infrastructure and Cybersecurity,2023-07-31,out-of-window,
https://www.telecomreviewafrica.com/articles/general-news/3733-angolan-government-expanding-free-internet-access-nationwide/,Angolan Government Expanding Free Internet Access Nationwide,2023-09-04,out-of-window,
https://www.telecomreviewafrica.com/articles/general-news/3638-botswana-strives-for-ict-partnership-with-angola/,Botswana Strives for ICT Partnership with Angola,2023-08-01,out-of-window,
https://www.telecomreviewafrica.com/articles/general-news/3156-gemcorp-wins-deal-to-expand-and-organize-angola-telecom/,Gemcorp Wins Deal to Expand and Organize Angola Telecom,2022-12-30,out-of-window,
https://www.telecomreviewafrica.com/articles/reports-and-coverage/1917-angola-cables-network-shows-robust-growth-and-stability-as-demand-surges/,Angola Cables network shows robust growth and stability as demand surges,2020-06-12,out-of-window,
https://www.telecomreviewafrica.com/articles/general-news/1624-angola-cables-and-tm-global-set-to-transform-data-transfer-in-the-southern-hemisphere/,Angola Cables and TM Global set to transform data transfer in the southern hemisphere,2019-09-19,out-of-window,
https://www.connectingafrica.com/fiber-networking/angola-gets-connected-through-multiple-deals,Angola gets connected through multiple deals,2023-07-12,out-of-window,
https://www.connectingafrica.com/connectivity/angola-cables-camtel-partner-for-cross-border-connectivity,Angola Cables Camtel partner for cross-border connectivity,2024-05-10,out-of-window,
https://www.connectingafrica.com/connectivity/angola-cables-orange-ink-infrastructure-network-deal,Angola Cables Orange ink infrastructure network deal,2023-05-22,out-of-window,
https://www.connectingafrica.com/enterprise-technology/ita-rebrands-as-paratus-angola,ITA rebrands as Paratus Angola,2022-07-14,out-of-window,
https://www.connectingafrica.com/5g-networks/africell-launches-new-network-in-angola,Africell launches new network in Angola,2022-04-08,out-of-window,
