url,title,published,reason,kept_twin,half
https://www.burunditimes.com/new-rwanda-tanzania-payment-pilot-could-transform-trade-across-east-africa/,New Rwanda-Tanzania Payment Pilot could transform trade across East Africa,2026-07-10,already-held,raw/2026-07-10 New Rwanda-Tanzania Payment Pilot could transform trade across East Africa,papers
https://www.burunditimes.com/burundi-travel-document-applications-goes-digital/,Burundi travel document applications goes digital,2022-10-04,out-of-window,,papers
https://www.burunditimes.com/a-new-era-of-connectivity-starlink-launches-in-burundi/,A New Era of Connectivity: Starlink Launches in Burundi,2024-09-24,out-of-window,,papers
https://www.burunditimes.com/how-uhurus-deal-with-us-has-ignited-battle-with-china/,How Uhuru's Deal With US Has Ignited Battle With China,2022-07-20,out-of-window,,papers
https://www.burunditimes.com/ghana-rejects-109m-u-s-health-deal-over-data-concerns-halts-talks/,"Ghana rejects $109M U.S. health deal over data concerns, halts talks",2026-04-30,off-topic,"On-domain and in-window but places=[GHA] not BDI; belongs to the GHA sweep, no Burundi angle",papers
https://www.burunditimes.com/burundis-new-governors-sworn-in-following-major-provincial-reforms/,Burundi's new Governors sworn in following major provincial reforms,2025-07-06,off-topic,Provincial administrative reform; no data/digital angle,papers
https://www.burunditimes.com/comesa-moves-closer-to-single-investment-market-with-new-framework/,COMESA moves closer to single investment market with new framework,2026-04-08,off-topic,Investment treaty framework; no data/digital content,papers
https://www.burunditimes.com/eac-says-wheat-and-cooking-oil-deficits-persist-despite-record-growth-in-food-production/,EAC says wheat and cooking oil deficits persist despite record growth in food production,2026-07-07,off-topic,Agriculture/food security; data systems mentioned only in passing,papers
https://www.burunditimes.com/burundi-launches-one-health-initiative-for-pandemic-preparedness/,Burundi Launches One Health Initiative for Pandemic Preparedness,2025-01-16,off-topic,Health programme; no data-governance or digital payload,papers
https://www.burunditimes.com/delays-policy-gaps-at-kobero-border-drive-up-cost-of-doing-business-in-burundi/,Delays policy gaps at Kobero Border drive up cost of doing business in Burundi,2026-03-18,off-topic,Trade/border logistics; connectivity mentioned only as a passing complaint,papers
https://www.burunditimes.com/eac-targets-online-recruitment-criminal-networks-in-anti-trafficking-push/,EAC targets online recruitment criminal networks in anti-trafficking push,2026-04-15,off-topic,Anti-trafficking bill; digital angle incidental and not Burundi-specific,papers
https://www.burunditimes.com/burundi-brings-mulembwe-hydropower-plant-online-as-it-seeks-to-ease-chronic-energy-shortages/,Burundi Brings Mulembwe Hydropower Plant Online,2026-06-17,off-topic,Generation capacity story; infra.energy relevance judged too thin - no telecom/digital link. Borderline: reconsider if energy-for-telecom becomes a live thread,papers
https://www.iwacu-burundi.org/tic-les-institutions-etatiques-pas-tres-rassurees-par-le-setic/,TIC : les institutions étatiques pas très rassurées par le Setic,2021-05-04,out-of-window,Page renders date 04/05/2021,papers
https://www.iwacu-burundi.org/la-carte-nationale-didentite-biometrique-tres-attendue/,La carte nationale d'identité biométrique très attendue,2024 (est.),out-of-window,"Undated by Iwacu; content dates it pre-2025 elections (""fraude électorale en 2025"" future, ""recensement électoral de l'année prochaine"")",papers
https://www.iwacu-burundi.org/inquietudes-suscitees-par-nouvelle-carte-identite-biometrique/,La carte d'identité biométrique viole-t-elle notre vie privée ?,2014 (est.),out-of-window,"Undated by Iwacu; content cites ADC-Ikibiri, CNTB and ""à moins d'une année des élections"" - c. 2014. NOTE: strong privacy-critique content; worth re-sourcing a current equivalent",papers
https://www.iwacu-burundi.org/digitalisation-des-services-publics-au-burundi-encore-du-pain-sur-la-planche/,Digitalisation des services publics au Burundi : encore du pain sur la planche,undatable,out-of-window,Undated by Iwacu and undatable from content (UN DESA ranking cited without year). Cannot establish in-window; dropped rather than stage a false date,papers
https://www.iwacu-burundi.org/le-fonds-des-tic-deux-ans-apres-un-bilan-mitige/,Le fonds des TIC : deux ans après « un bilan mitigé »,pre-2021 (est.),out-of-window,Content cites FY2018/2019 ARCT figures,papers
https://www.iwacu-burundi.org/le-transfert-dargent-via-mobile-en-plein-essor/,Le transfert d'argent via mobile en plein essor,pre-2017 (est.),out-of-window,Content describes Ecocash/Lumicash launch era (2010-2016),papers
https://www.iwacu-burundi.org/iwacu-open-data/,Nos jeux de données ouvertes sur le Burundi,n/a,off-topic,"Iwacu's own open-data portal landing page - a standing resource, not a dated source. NOTE: candidate `resource` entity, flagged in manifest rather than staged",papers
https://iwacu-burundi.org/opendata/data/,Jeux de données – Iwacu Open Data,2016-08-12,out-of-window,Portal index page,papers
https://iwacu-burundi.org/opendata/politique-de-confidentialite/,Politique de confidentialité – Iwacu Open Data,2020-09-29,out-of-window,Site privacy policy,papers
https://www.iwacu-burundi.org/titres-fonciers-securises-une-mesure-couteuse-et-precipitee/,Titres fonciers sécurisés (retry on apex domain),n/a,fetch-failed,"CRAWL_LIVECRAWL_TIMEOUT on apex-domain retry only; www URL fetched successfully and item IS staged - logged for completeness, not a real drop",papers
https://techafricanews.com/2026/01/22/burundi-modernizes-tax-and-non-tax-revenue-collection-with-ekori-launch/,Burundi Modernizes Tax and Non-Tax Revenue Collection with eKori Launch,2026-01-22,already-held,2026-01-22 Burundi launches online tax system e-KORI,journals
https://www.wearetech.africa/en/fils-uk/news/tech/burundi-lawmakers-approve-data-protection-framework-as-digitalisation-accelerates,Burundi Lawmakers Approve Data Protection Framework as Digitalisation Accelerates,2026-01-16,already-held,2026-01-16 Burundi adopts data protection law,journals
https://www.wearetech.africa/en/fils-uk/news/tech/burundi-s-land-services-go-digital-with-new-integrated-platform,Burundi's Land Services Go Digital with New Integrated Platform,2025-06-18,already-held,2025-06-18 Burundi's Land Services Go Digital with New Integrated Platform,journals
https://www.biometricupdate.com/202502/burundi-sorts-out-collaboration-terms-with-ifc-for-digital-transformation-project,Burundi sorts out collaboration terms with IFC for digital transformation project,2025-02-18,already-held,2025-02-18 Burundi sorts out collaboration terms with IFC for digital transformation project,journals
https://www.wearetech.africa/fr/fils/actualites/tech/identite-numerique-et-paiements-electroniques-le-burundi-explore-l-expertise-de-l-inde,Identite numerique et paiements electroniques : le Burundi explore l'expertise de l'Inde,2026-06-23,same-outlet-recrawl,2026-06-23-burundi-studies-india-stack-digital-id-payments.md,journals
https://www.wearetech.africa/en/fils-uk/news/burundi-launches-92mln-project-to-accelerate-digital-public-services,Burundi Launches $92Mln Project To Accelerate Digital Public Services,2024-09-17,out-of-window,,journals
https://www.wearetech.africa/en/fils-uk/news/telecom/burundi-and-zambia-to-connect-via-fiber-optic-cable,Burundi and Zambia to Connect via Fiber Optic Cable,2024-10-08,out-of-window,,journals
https://www.connectingafrica.com/digital-inclusion/interview-econet-wireless-burundi-ceo-nepias-njaravaza-on-growing-mobile-penetration,Interview: Econet Wireless Burundi CEO Nepias Njaravaza on growing mobile penetration,2023-10-06,out-of-window,,journals
https://www.telecomreviewafrica.com/fr/topics-fr/divers-fr/3782-starlink-lance-la-5g-au-burundi-en-2024/,Starlink lance la 5G au Burundi en 2024,2023-09-26,out-of-window,,journals
https://techreviewafrica.com/news/4373/burundi-inaugurates-first-solar-powered-electric-vehicle-charging-infrastructure,Burundi inaugurates first solar-powered electric vehicle charging infrastructure,,off-topic,,journals
https://techreviewafrica.com/news/5285/nigeria-hosts-nine-countries-for-cross-regional-data-protection-peer-exchange,Nigeria hosts nine countries for cross-regional data protection peer exchange,,off-topic,,journals
https://www.biometricupdate.com/202607/digital-identity-wallets-present-big-choices-as-eudi-preparations-ramp-up,Digital identity wallets present big choices as EUDI preparations ramp up,2026-07-04,off-topic,,journals
https://www.telecomreviewafrica.com/articles/features/28259-scaling-africas-digital-public-infrastructure-for-inclusive-connectivity/,Scaling Africa's Digital Public Infrastructure for Inclusive Connectivity,2026-02-10,off-topic,,journals
https://www.telecomreviewafrica.com/articles/features/28538-digital-public-infrastructure-set-to-unlock-africas-telecom-growth/,Digital Public Infrastructure Set to Unlock Africa's Telecom Growth,2026-04-08,off-topic,,journals
https://www.telecomreviewafrica.com/articles/general-news/12717-kenya-joins-africa-wide-broadband-mapping-project-to-bridge-connectivity-gaps/,Kenya Joins Africa-Wide Broadband Mapping Project to Bridge Connectivity Gaps,2025-08-29,off-topic,,journals
https://www.connectingafrica.com/partnerships/smart-africa-eaco-to-advance-digital-transformation,"Smart Africa, EACO to advance digital transformation",2026-06-30,off-topic,,journals
https://www.connectingafrica.com/connectivity/starlink-to-go-live-in-c-te-d-ivoire-in-july,Starlink to go live in Cote d'Ivoire in July,2026-06-17,off-topic,,journals
https://www.connectingafrica.com/fiber-networking/seacom-launches-fiber-route-connecting-nairobi-kampala,"Seacom launches fiber route connecting Nairobi, Kampala",2026-06-19,off-topic,,journals
https://www.connectingafrica.com/regulation/niger-s-rollout-of-biometric-ids-gets-a-thumbs-up,Niger's rollout of biometric IDs gets a thumbs up,2026-04-21,off-topic,,journals
https://itweb.africa/article/eac-moves-to-create-unified-ai-sovereignty-bloc/G98Yd7LG2kZvX2PD,"EAC moves to create unified ""AI Sovereignty"" bloc",2026-03-31,off-topic,,journals
https://itweb.africa/article/east-african-banks-reimagine-auditing-in-digital-era/5yONP7ErBwJMXWrb,East African banks reimagine auditing in digital era,2026-01-27,off-topic,,journals
https://techafricanews.com/2025/05/15/east-african-digital-leaders-unite-in-arusha-for-regional-dpi-development/,East African Digital Leaders Unite in Arusha for Regional DPI Development,2025-05-15,off-topic,,journals
https://techafricanews.com/2026/05/26/smart-africa-leads-regional-push-for-stronger-data-governance-in-francophone-africa/,Smart Africa Leads Regional Push for Stronger Data Governance in Francophone Africa,2026-05-26,off-topic,,journals
https://techcabal.com/2026/01/07/how-ethiopia-somalia-and-djibouti-building-africas-digital-powerhouses/,"Why Ethiopia, Somalia and Djibouti are starting to matter in digital Africa",2026-01-07,off-topic,,journals
https://bbs.bi/,Burundi Backbone System (corporate homepage),,off-topic,,journals
https://lumitel.bi/,Viettel Burundi S.A (corporate homepage),,off-topic,,journals
https://econet.bi/,Econet Wireless Burundi SA (corporate homepage),,off-topic,,journals
https://interbankbdi.bi/,Interbank Burundi SA (corporate homepage),,off-topic,,journals
https://linkedin.com/company/afrisol-technologies-burundi,Afrisol Technologies Burundi (LinkedIn company page),,off-topic,,journals
