url,title,published,reason,kept_twin,half
https://lanation.bj/actualites/certificat-du-numero-personnel-didentification-le-npi-socle-pour-lavenement-de-lidentite-electronique-au-benin,Certificat du numéro personnel d'identification: Le Npi socle pour l'avènement de l'identité électronique au Bénin,2024-05-06,out-of-window,,papers
https://lanation.bj/economie/paiement-instantane-interoperable-dans-luemoa-la-phase-pilote-du-systeme-lancee-le-22-juillet-prochain,Paiement instantané interopérable dans l'Uemoa: La phase pilote du système lancée le 22 juillet prochain,2024-06-27,out-of-window,,papers
https://lanation.bj/societe/gim-uemoa-et-mastercard-concretisent-un-partenariat-strategique-historique-afin-de-stimuler-linnovation-et-promouvoir-linclusion-financiere-dans-la-region-uemoa,GIM-UEMOA et Mastercard concrétisent un partenariat stratégique historique,2024-07-11,out-of-window,,papers
https://lanation.bj/economie/nouvelle-monnaie-eco-la-feuille-de-route-revisitee,Nouvelle monnaie Eco: La feuille de route revisitée,2024-08-07,out-of-window,,papers
https://lanation.bj/documents/usage-des-tic-en-milieu-paysan-au-benin-lespoir-de-couverture-des-zones-blanches,Usage des Tic en milieu paysan au Bénin: L'espoir de couverture des zones blanches,2024-08-21,out-of-window,,papers
https://www.lanation.bj/numerique/infrastructures-publiques-numeriques-en-afrique-comment-rendre-les-paiements-plus-inclusifs,Infrastructures publiques numériques en Afrique: Comment rendre les paiements plus inclusifs,2024-11-26,out-of-window,,papers
https://fraternite.bj/vision-benin-2060-des-balises-pour-eviter-le-sort-de-alafia-2025/,Vision Bénin 2060 : Des balises pour éviter le sort de Alafia 2025,2025-03-09,off-topic,,papers
https://fraternite.bj/lancement-du-programme-ben-005-le-benin-sengage-pour-plus-dinclusion-et-deducation-financiere/,Lancement du Programme BEN/005 : Le Bénin s'engage pour plus d'inclusion et d'éducation financière,2025-03-21,off-topic,,papers
https://fraternite.bj/decentralisation-le-choix-des-se-revient-officiellement-aux-maires/,Décentralisation : le choix des SE revient officiellement aux maires,2025-06-18,off-topic,,papers
https://fraternite.bj/guichet-special-turbo-treso-pme-un-dispositif-pour-faciliter-les-paiements-dans-le-secteur/,Guichet spécial Turbo Tréso PME : un dispositif pour faciliter les paiements dans le secteur,2025-12-09,off-topic,,papers
https://fraternite.bj/reparation-symbolique-le-benin-remet-de-nouvelles-attestations-de-nationalite-a-des-afro-descendants/,Réparation symbolique : le Bénin remet de nouvelles attestations de nationalité à des Afro-descendants,2026-01-04,off-topic,,papers
https://fraternite.bj/titre-foncier-landf-alerte-sur-leur-retrait/,Titre foncier : L'ANDF alerte sur leur retrait,2026-03-03,off-topic,,papers
https://fraternite.bj/structuration-des-competences-autour-du-programme-du-duo-wadagni-talata-la-pcc-lance-le-premier-forum-citoyen/,Structuration des compétences autour du programme du duo Wadagni-Talata : La PCC lance le premier forum citoyen,2026-04-07,off-topic,,papers
https://fraternite.bj/modernisation-des-communes-talon-installe-le-conseil-dadministration-du-fic/,Modernisation des communes : Talon installe le conseil d'administration du FIC,2026-05-07,off-topic,,papers
https://fraternite.bj/la-consolidation-des-acquis-de-leconomie-beninoise-quels-sont-les-defis-pour-le-prochain-cycle/,La consolidation des acquis de l'économie béninoise : quels sont les défis pour le prochain cycle ?,2026-05-19,off-topic,,papers
https://fraternite.bj/assemblee-nationale-20-accords-ratifies-par-le-president-de-la-republique-valides/,Assemblée nationale : 20 accords ratifiés par le Président de la République validés,2026-05-21,off-topic,,papers
https://fraternite.bj/benin-une-nation-intelligente-pas-seulement-connectee-sous-la-gouvernance-wadagni/,Bénin : une nation intelligente pas seulement connectée sous la gouvernance Wadagni,2026-05-22,off-topic,,papers
https://fraternite.bj/benin-fin-des-coupures-et-plus-de-zones-sans-lumiere-sous-romuald-wadagni/,Bénin : Fin des coupures et plus de zones sans lumière sous Romuald Wadagni,2026-05-22,off-topic,,papers
https://fraternite.bj/10-ans-a-la-tete-du-benin-merci-a-talon-pour-ses-oeuvres-bienvenue-a-wadagni-pour-la-continuite/,10 ans à la tête du Bénin : Merci à Talon pour ses œuvres bienvenue à Wadagni pour la continuité,2026-05-22,off-topic,,papers
https://fraternite.bj/journee-internationale-des-cellules-de-renseignement-financier-la-centif-mobilise-les-acteurs-autour-de-la-protection-de-leconomie-nationale/,Journée internationale des Cellules de renseignement financier : La CENTIF mobilise les acteurs,2026-06-16,off-topic,,papers
