url,title,published,reason,kept_twin,half
https://www.sidwaya.info/identification-unique-electronique-de-la-personne-physique-les-deputes-adoptent-a-lunanimite-la-loi/,Identification unique electronique de la personne physique : les deputes adoptent a l'unanimite la loi,2024-10-13,out-of-window,,papers
https://www.sidwaya.info/alt-la-loi-portant-identification-unique-et-electronique-de-la-personne-physique-adoptee/,ALT : La loi portant identification unique et electronique de la personne physique adoptee,2024-10-11,out-of-window,,papers
https://www.sidwaya.info/identification-des-personnes-un-registre-electronique-national-en-vue/,Identification des personnes : un registre electronique national en vue,2021-04-19,out-of-window,,papers
https://www.sidwaya.info/securisation-fonciere-sycd-la-nouvelle-solution-numerique/,"Securisation fonciere : SYC@D, la nouvelle solution numerique",2021-12-29,out-of-window,,papers
https://www.sidwaya.info/traitement-des-donnees-a-caractere-personnel-plaidoyer-pour-ladoption-dun-projet-de-loi/,Traitement des donnees a caractere personnel : plaidoyer pour l'adoption d'un projet de loi,2021-01-25,out-of-window,,papers
https://www.sidwaya.info/technologies-de-linformation-et-de-la-communication-huawei-annonce-la-formation-de-5000-jeunes-au-burkina-faso/,Huawei annonce la formation de 5000 jeunes au Burkina Faso,2024-03-25,out-of-window,,papers
https://www.sidwaya.info/souverainete-numerique-et-securite-laes-veut-se-doter-de-deux-satellites/,Souverainete numerique et securite : l'AES veut se doter de deux satellites,2024-09-25,out-of-window,,papers
https://www.sidwaya.info/technologies-financieres-le-mobile-money-au-centre-des-echanges/,Technologies financieres : le mobile money au centre des echanges,2024-11-13,out-of-window,,papers
https://www.sidwaya.info/seeds-for-the-future-2024-semer-les-graines-dun-developpement-numerique-en-afrique-2/,Seeds for the Future 2024 : semer les graines d'un developpement numerique en Afrique,2024-07-10,out-of-window,,papers
https://www.sidwaya.info/couverture-du-burkina-faso-en-reseau-mobile-environ-300-zones-blanches-rayees-de-la-carte/,Couverture du Burkina Faso en reseau mobile : environ 300 zones blanches rayees de la carte,2022-05-23,out-of-window,,papers
https://www.sidwaya.info/connectivite-urbaine-un-projet-pour-booster-lacces-a-internet/,Connectivite urbaine : un projet pour booster l'acces a internet,2021-01-01,out-of-window,,papers
https://www.sidwaya.info/51823/,Sango Coin (Republique centrafricaine),2022-01-01,out-of-window,,papers
https://www.sidwaya.info/crypto-monnaies-appel-a-une-reglementation-urgente/,Crypto-monnaies : appel a une reglementation urgente,2021-01-01,out-of-window,,papers
https://www.sidwaya.info/inclusion-financiere-dans-lespace-uemoa-le-groupement-monetique-interbancaire-au-service-du-developpement/,Inclusion financiere dans l'espace UEMOA : le Groupement monetique interbancaire au service du developpement,2018-01-01,out-of-window,,papers
https://www.sidwaya.info/centre-de-gestion-des-cites-des-residents-de-bassinko-recoivent-leur-titre-foncier-individuel/,Centre de gestion des cites : des residents de Bassinko recoivent leur titre foncier individuel,2026-04-12,off-topic,,papers
https://www.sidwaya.info/sonatur-500-titres-fonciers-remis-aux-acquereurs-de-ziniare-et-silmiougou/,SONATUR : 500 titres fonciers remis aux acquereurs de Ziniare et Silmiougou,2026-03-24,off-topic,,papers
https://www.sidwaya.info/reorganisation-agraire-et-fonciere-des-juridictions-administratives-simpregnent-de-la-loi-2/,Reorganisation agraire et fonciere : des juridictions administratives s'impregnent de la loi,2026-05-10,off-topic,,papers
https://www.sidwaya.info/plan-relance-2026-2030-une-architecture-strategique-pour-sortir-le-burkina-de-la-dependance/,Plan relance 2026-2030 : une architecture strategique pour sortir le Burkina de la dependance,2026-05-11,off-topic,,papers
https://www.sidwaya.info/nouvelle-architecture-financiere-africaine-pour-le-developpement/,Nouvelle architecture financiere africaine pour le developpement,2026-04-13,off-topic,,papers
https://www.sidwaya.info/ministere-en-charge-de-ladministration-territoriale-les-societes-detat-et-epe-enregistrent-dimportants-acquis-en-2025/,Ministere de l'Administration territoriale : les societes d'Etat et EPE enregistrent d'importants acquis en 2025,2026-05-17,off-topic,,papers
https://www.sidwaya.info/developpement-du-numerique-le-niger-entend-se-doter-dune-politique-nationale-2026-2035/,Developpement du numerique : le Niger entend se doter d'une Politique nationale 2026-2035,2026-03-12,off-topic,,papers
https://www.sidwaya.info/medias-africains-l-appel-de-bamako-pour-la-souverainete-informationnelle-et-numerique-du-continent/,Medias africains : l'Appel de Bamako pour la souverainete informationnelle et numerique du continent,2026-06-08,off-topic,,papers
https://www.sidwaya.info/rapport-siips-2025-les-paiements-instantanes-representent-2-000-milliards-de-dollars,Rapport SIIPS 2025 : les paiements instantanes representent 2 000 milliards de dollars,2025-11-13,off-topic,,papers
https://www.sidwaya.info/wp-content/uploads/2026/06/CONSEIL-DES-MINISTRES-N%C2%B019-DU-04-JUIN-2026.pdf,Conseil des ministres n19 du 04 juin 2026 (PDF),2026-06-04,off-topic,,papers
https://lefaso.net/spip.php?article147848,Burkina : La 11e Semaine nationale de l'information et de l'orientation lancee pour guider les nouveaux bacheliers,2026-07-14,off-topic,,papers
https://lefaso.net/spip.php?article144641,Tribune de Narendra Modi : New Delhi AI Impact Summit 2026,2026-02-01,off-topic,,papers
https://lefaso.net/spip.php?article145109,Plans d'action de reinstallation - extension du reseau electrique (lots),2026-03-01,off-topic,,papers
https://emploi.lefaso.net/Responsable-des-donnees.html,ANPTIC - avis de recrutement Responsable des donnees (Burkina Open Data Initiative),,off-topic,,papers
https://lefaso.net/IMG/pdf/conseil_des_ministres_no033_du_30_octobre_2025.pdf,Compte rendu du Conseil des ministres n033 du 30 octobre 2025 (PDF),2025-10-30,off-topic,new-queue/BFA/2026-02-03-contrats-objectifs-transition-digitale-91-pourcent.md,papers
https://lefaso.net/IMG/pdf/programme_upc_2021-2025_avec_zephirin_diabre.pdf,Programme UPC 2021-2025 (PDF),2021-01-01,out-of-window,,papers
https://lefaso.net/spip.php?article66150,CIL / AFAPDP - transferts de donnees,2015-01-01,out-of-window,,papers
https://lefaso.net/spip.php?article117522,Atelier Huawei,2022-01-01,out-of-window,,papers
https://lefaso.net/spip.php?article117875,CONOBAFI,2022-01-01,out-of-window,,papers
https://lefaso.net/spip.php?article82371,Orange Money / ABCE,2018-01-01,out-of-window,,papers
