url,title,published,reason,kept_twin,half
https://www.mmegi.bw/business/botswana-advances-drive-to-digitise-government-payments/news,Botswana advances drive to digitise government payments,2025-07-16,already-held,raw/2025-07-16 Botswana advances drive to digitise government payments,papers
https://beta.mmegi.bw/business/govt-moves-to-in-house-local-data/news,Govt moves to 'in-house' local data (beta mirror),2025-11-25,same-outlet-recrawl,new-queue/BWA/2025-11-25-govt-moves-to-in-house-local-data.md,papers
https://beta.mmegi.bw/business/mou-to-foster-data-driven-culture-in-botswana/news,'MoU to foster data-driven culture in Botswana' (beta mirror),2025-02-05,same-outlet-recrawl,new-queue/BWA/2025-02-05-mou-to-foster-data-driven-culture-in-botswana.md,papers
https://beta.mmegi.bw/business/new-data-commission-tightens-compliance-oversight/news,New Data Commission tightens compliance oversight (beta mirror),2026-02-11,same-outlet-recrawl,new-queue/BWA/2026-02-11-new-data-commission-tightens-compliance-oversight.md,papers
https://www.mmegi.bw/news/govt-working-on-electronic-omang/news,Gov't working on electronic Omang,2023-07-05,out-of-window,,papers
https://www.mmegi.bw/news/a-quarter-of-births-go-unregistered-study-finds/news,A quarter of births go unregistered study finds,2014-06-20,out-of-window,,papers
https://www.mmegi.bw/news/only-02-secure-land-titles-issued/news,Only 0.2% Secure Land Titles issued,2023-03-14,out-of-window,,papers
https://www.mmegi.bw/news/botswana-to-upgrade-automated-fingerprint-identification-system/news,Botswana To Upgrade Automated Fingerprint Identification System,2017-05-08,out-of-window,,papers
https://www.mmegi.bw/news/estonia-rallies-govts-race-to-400-online-services/news,Estonia rallies govt's race to 400 online services,2024-03-11,out-of-window,,papers
https://www.mmegi.bw/business/govt-adopts-portal-to-speed-up-service-delivery/news,Gov't adopts portal to speed up service delivery,2017-02-02,out-of-window,,papers
https://beta.mmegi.bw/business/govt-adopts-portal-to-speed-up-service-delivery/news-90799,Govt adopts portal to speed up service delivery (beta mirror),2017-05-01,out-of-window,,papers
https://www.mmegi.bw/business/ceda-launches-online-platform/news,CEDA Launches Online platform,2023-09-22,out-of-window,,papers
https://www.mmegi.bw/business/data-protection-act-grace-period-extended/news,Data Protection Act grace period extended,2023-09-20,out-of-window,,papers
https://www.mmegi.bw/business/sb-urged-to-modernise-data-dissemination/news,SB urged to modernise data dissemination,2016-06-24,out-of-window,,papers
https://www.mmegi.bw/opinion-amp-analysis/big-data-will-be-instrumental-for-developing-countries/news,Big data will be instrumental for developing countries,2022-08-15,out-of-window,,papers
https://www.mmegi.bw/news/starlink-sets-up-shop-market-trembles/news,Starlink sets up shop market trembles,2024-09-02,out-of-window,,papers
https://www.mmegi.bw/news/elon-musks-starlink-gets-local-licence/news,Elon Musk's Starlink gets local licence,2024-08-28,out-of-window,,papers
