url,title,published,reason,kept_twin,half
https://www.lemonde.fr/afrique/article/2025/02/11/la-centrafrique-lance-une-nouvelle-cryptomonnaie_6541481_3212.html,La Centrafrique lance une nouvelle cryptomonnaie ($CAR meme coin),2025-02-11,fetch-failed,Le Monde served a 'Client Challenge' bot-block page; no body retrievable. HIGH-VALUE — the $CAR meme coin launch is covered analytically by the staged GI-TOC report but has no dated news source. Recommend a manual clip.,targeted
https://corbeaunews-centrafrique.org/dans-le-sillage-du-cyber-cauchemar-geopolitique-de-wagner-en-centrafrique/,Dans le sillage du cyber-cauchemar geopolitique de Wagner en Centrafrique,2025-05-08,inadmissible-synthesis,"CNC commentary that is explicitly a rewrite/exegesis of 'Un article de The Economist date du 11 avril 2025'. No original reporting; heavy editorialising. The PRIMARY to source is The Economist, 2025-04-11 (CAR/Wagner). Flagged as a lead.",targeted
https://rca.news-pravda.com/car/2025/01/22/8734.html,Centrafrique - le gouvernement signe un memorandum d'entente avec la societe AIAL,2025-01-22,inadmissible-synthesis,"2025-01-22-aial-group-data-centre-mou-oubanguimedias.md — rca.news-pravda.com is a node of the 'Pravda' network, an unattributed automated mirror of CAR/Russian-aligned media. Text is a verbatim copy of the Oubangui Medias original. Kept the original.",targeted
https://rca.news-pravda.com/car/2026/02/24/17822.html,LE PRESIDENT DE LA REPUBLIQUE LANCE LA PLATEFORME NUMERIQUE DUNIA,2026-02-24,already-held,raw/2026-02-11 La digitalisation des services publics et la gouvernance numerique du PND 2024-2028 — DUNIA launch already held from the MEPCI primary. Pravda-network mirror in any case.,targeted
https://rca.news-pravda.com/car/2025/04/18/10956.html,RCA - le gouvernement valide le rapport strategique sur l'identite digitale et l'Etat civil,2025-04-18,inadmissible-synthesis,"Pravda-network mirror. NOTE: the underlying event (government validation of a strategic report on digital identity and civil registration, April 2025) is NOT held by the wiki and no non-mirror copy was located. Flagged as a gap/lead.",targeted
https://rca.news-pravda.com/car/2025/10/22/14921.html,Vers une identite pour tous en Centrafrique - l'OIF et le gouvernement lancent un projet pilote d'etat civil,2025-10-22,already-held,"raw/2025-08-12 La Francophonie supports birth registration efforts across Central Africa, Madagascar — same OIF birth-registration programme. Pravda-network mirror in any case.",targeted
https://rca.news-pravda.com/car/2025/07/21/13029.html,Centrafrique - signature du cahier des charges pour la licence des infrastructures passives de SOS Telecoms,2025-07-21,inadmissible-synthesis,"Pravda-network mirror. NOTE: the underlying event (SOS Telecoms passive-infrastructure licence, July 2025) is NOT held and no non-mirror copy was located. Flagged as a gap/lead.",targeted
https://rca.news-pravda.com/car/2025/04/16/10898.html,RCA - L'ARCEP connait une avancee notable avec des initiatives majeures,2025-04-16,inadmissible-synthesis,2025-04-16-arcep-spectrum-qos-monitoring-equipment-agenceecofin.md — Pravda-network mirror of the same ARCEP equipment story; kept the Agence Ecofin account.,targeted
https://rca.news-pravda.com/car/2026/04/19/18761.html,RCA - une formation sur la digitalisation du systeme de paiement Pata Polele dans trois ministeres cles,2026-04-19,inadmissible-synthesis,Pravda-network mirror. NOTE: 'Pata Polele' payment digitalisation across three ministries (April 2026) is NOT held and no non-mirror copy was located. Flagged as a gap/lead.,targeted
https://rca.news-pravda.com/car/2026/07/10/19580.html,La Banque des Etats de l'Afrique centrale rejoint un nouveau systeme de paiement,2026-07-10,inadmissible-synthesis,2026-07-10-beac-joins-papss-cemac-banks-agenceecofin.md — Pravda-network mirror; kept the Agence Ecofin account of the same BEAC/PAPSS announcement.,targeted
https://www.agenceecofin.com/actualites-numerique/1112-134227-la-centrafrique-lance-un-portail-numerique-unique-pour-faciliter-l-acces-aux-services-publics,La Centrafrique lance un portail numerique unique pour faciliter l'acces aux services publics,2025-12-11,same-outlet-recrawl,"raw/2025-12-12 Central African Republic Launches Unified Digital Portal for All Public Services — French-language twin of the held Ecofin English item (ecofinagency.com/news-digital/1212-51337). Same outlet, same story.",targeted
https://www.agenceecofin.com/actualites-numerique/2503-126985-la-centrafrique-lance-officiellement-e-tax-sa-plateforme-de-paiement-d-impots-en-ligne,La Centrafrique lance officiellement e-Tax sa plateforme de paiement d'impots en ligne,2025-03-25,already-held,"raw/2025-03-25 La Centrafrique lance officiellement e-Tax, sa plateforme de paiement d'impots en ligne — exact URL match in sweep/held-urls.txt.",targeted
https://corbeaunews-centrafrique.org/centrafrique-le-prix-des-cartes-didentite-enfin-reduit-apres-cinq-ans-de-violations-criminelle/,Centrafrique - Le prix des cartes d'identite enfin reduit apres cinq ans de violations criminelle,2025-07-27,already-held,raw/2025-07-27 Centrafrique - le prix des cartes d'identite reduit apres cinq ans de violations de la loi — exact URL match in sweep/held-urls.txt.,targeted
https://mepci-rca.org/2026/02/11/la-digitalisation-des-services-publics-et-la-gouvernance-numerique-du-pnd-2024-2028/,LA DIGITALISATION DES SERVICES PUBLICS ET LA GOUVERNANCE NUMERIQUE DU PND 2024-2028,2026-02-11,already-held,raw/2026-02-11 La digitalisation des services publics et la gouvernance numerique du PND 2024-2028.,targeted
https://www.jeuneafrique.com/1374538/economie-entreprises/centrafrique-la-cryptomonnaie-de-touadera-trebuche-devant-la-cour-constitutionnelle/,Centrafrique - la cryptomonnaie de Touadera trebuche devant la Cour constitutionnelle,2022-09-05,out-of-window,Pre-2025. Sango Coin constitutional-court ruling; background only — the staged GI-TOC report covers it.,targeted
https://www.dw.com/fr/centrafrique-sango-coin-cour-constitutionnelle/a-63007614,Le fiasco de la cryptomonnaie Sango Coin en Centrafrique,2022-09-02,out-of-window,Pre-2025.,targeted
https://www.rfi.fr/fr/afrique/20220704-centrafrique-des-questions-autour-de-la-cryptomonnaie-lancee-par-le-president-touadera,Centrafrique - des questions autour de la cryptomonnaie lancee par le president Touadera,2022-07-04,out-of-window,Pre-2025.,targeted
https://www.bfmtv.com/crypto/bitcoin/la-centrafrique-met-un-coup-de-frein-a-son-projet-crypto-le-sango-coin_AV-202212270151.html,La Centrafrique met un coup de frein a son projet crypto le Sango Coin,2022-12-27,out-of-window,Pre-2025.,targeted
