url,title,published,reason,kept_twin
https://www.biometricupdate.com/202603/cabo-verde-central-african-republic-launch-digital-govt-platforms-to-streamline-service-access,"Cabo Verde, Central African Republic launch digital govt platforms to streamline service access",2026-03-03,already-held,raw/2026-03-03 Cabo Verde and CAR launch digital government platforms (Gov.CV).md
https://www.wearetech.africa/actualites/fils/actualites/gestion-publique/start-up-le-cap-vert-accelere-le-developpement-de-son-ecosysteme-numerique,Start-up : le Cap-Vert accelere le developpement de son ecosysteme numerique,2025-07-30,same-outlet-recrawl,https://www.wearetech.africa/en/fils-uk/news/public-management/cape-verde-ramps-up-digital-start-up-ecosystem-to-boost-economy
https://techcabal.com/2025/05/30/techcabal-daily-cape-verde-dreams-in-code/,TechCabal Daily - Cape Verde dreams in code,2025-05-30,same-outlet-recrawl,https://techcabal.com/2025/05/29/cape-verde-nigeria-ghana-tech-powerhouse/
https://techcabal.beehiiv.com/p/cape-verde-dreams-in-code-f177,Cape Verde dreams in code (beehiiv newsletter mirror),2025-05-30,same-outlet-recrawl,https://techcabal.com/2025/05/29/cape-verde-nigeria-ghana-tech-powerhouse/
https://techreviewafrica.com/public/news/4532/cabo-verde-unveils-rabida-initiative-to-strengthen-diaspora-engagement-in-digital-economy,Cabo Verde unveils RABIDA initiative to strengthen diaspora engagement in digital economy,,same-outlet-recrawl,https://techreviewafrica.com/news/4532/cabo-verde-unveils-rabida-initiative-to-strengthen-diaspora-engagement-in-digital-economy
https://mail.techreviewafrica.com/news/4532/cabo-verde-unveils-rabida-initiative-to-strengthen-diaspora-engagement-in-digital-economy,Cabo Verde unveils RABIDA initiative to strengthen diaspora engagement in digital economy (mail. subdomain mirror),,same-outlet-recrawl,https://techreviewafrica.com/news/4532/cabo-verde-unveils-rabida-initiative-to-strengthen-diaspora-engagement-in-digital-economy
https://itweb.africa/article/afdb-approves-23m-for-cape-verdes-energy-project/kLgB17ezANbM59N4,AfDB approves $23m for Cape Verde's energy project,2025-06-17,off-topic,
https://www.wearetech.africa/en/fils-uk/news/tech/ecowas-moves-toward-first-regional-e-government-strategy,ECOWAS Moves Toward First Regional E-Government Strategy,2025-12-04,off-topic,
https://www.biometricupdate.com/202012/zetes-launches-panasonic-facial-recognition-at-cape-verde-airport,Zetes launches Panasonic facial recognition at Cape Verde Airport,2020-12-22,out-of-window,
https://www.wearetech.africa/fr/fils/actualites/gestion-publique/le-cap-vert-sollicite-lappui-de-lunion-europeenne-pour-la-creation-dun-centre-national-de-cybersecurite,Le Cap-Vert sollicite l'appui de l'Union europeenne pour la creation d'un centre national de cybersecurite,2023-02-03,out-of-window,
https://www.wearetech.africa/en/fils-uk/news/public-management/cabo-verde-submits-draft-digital-banking-regulation-for-review,Cabo Verde submits draft digital banking regulation for review,2023-03-08,out-of-window,
https://www.wearetech.africa/actualites/fils/actualites/gestion-publique/le-gouvernement-capverdien-prevoit-de-numeriser-60-des-services-publics-essentiels-dici-2026,Le gouvernement capverdien prevoit de numeriser 60 % des services publics essentiels d'ici 2026,2024-03-26,out-of-window,
https://www.wearetech.africa/en/fils-uk/news/public-management/cape-verde-60-of-key-public-services-to-be-digitized-by-2026,Cape Verde: 60% of Key Public Services to be Digitized by 2026,2024-03-27,out-of-window,
https://itweb.africa/article/angola-cables-partners-cabo-verde-telecom-on-west-african-drive/o1Jr5qx9nK3vKdWL,Angola Cables partners Cabo Verde Telecom on West African drive,2021-12-08,out-of-window,
https://itweb.africa/article/new-cape-verde-tech-park-empowers-african-youth/G98YdMLGken7X2PD,New Cape Verde Tech Park empowers African youth,2024-07-08,out-of-window,
https://techafricanews.com/2024/12/10/cabo-verde-telecom-launches-tender-for-submarine-cable-expansion/,Cabo Verde Telecom Launches Tender for Submarine Cable Expansion,2024-12-10,out-of-window,
https://techafricanews.com/2024/12/10/starlink-expands-to-cape-verde-revolutionizing-internet-access/,"Starlink Expands to Cape Verde, Revolutionizing Internet Access",2024-12-10,out-of-window,
https://www.telecomreviewafrica.com/articles/general-news/1976-new-country-to-connect-to-ellalink-submarine-cable/,New country to connect to EllaLink submarine cable,2020-08-26,out-of-window,
https://www.telecomreviewafrica.com/articles/general-news/2733-tech-company-acquires-fibre-pair-of-google-s-equiano/,Tech company acquires fibre pair of Google's Equiano,2022-03-31,out-of-window,
https://www.telecomreviewafrica.com/articles/telecom-operators/2841-cape-verde-launches-ellalink-services/,Cape Verde Launches EllaLink Services,2022-06-14,out-of-window,
https://www.telecomreviewafrica.com/articles/general-news/3153-cabo-verde-telecom-to-merge-its-subsidiaries-to-offer-fixed-and-mobile-services/,Cabo Verde Telecom to Merge Its Subsidiaries to Offer Fixed and Mobile Services,2022-12-29,out-of-window,
https://www.telecomreviewafrica.com/articles/general-news/3604-cape-verde-gains-partnered-support-to-strengthen-spectrum-monitoring-system/,Cape Verde Gains Partnered Support to Strengthen Spectrum Monitoring System,2023-07-21,out-of-window,
