url,title,published,reason,kept_twin,half
https://www.lanation.dj/arrivee-du-nouveau-cable-sous-marin-india-europe-express-iex-a-djibouti/,Arrivée du câble sous-marin India Europe Express (IEX) à Djibouti,2023-11-30,out-of-window,,papers
https://www.lanation.dj/signature-dun-accord-dinterconnexion-entre-la-plateforme-d-money-et-la-bcimr/,Signature d'un accord d'interconnexion entre D-Money et la BCIMR,2023-10-09,out-of-window,,papers
https://www.lanation.dj/surveillance-et-suivi-numerique-des-maladies-ligad-et-le-ministere-de-la-sante-lancent-un-dispositif-inedit/,IGAD/Santé lancent surveillance numérique des maladies (SORMAS),2023-05-15,out-of-window,,papers
https://www.lanation.dj/le-president-guelleh-procede-a-linauguration-dun-important-parc-technologique/,Guelleh inaugure un parc technologique (TO7/Wingu),2024-11-26,out-of-window,raw/2024-11-25 Djibouti inaugurates Wingu TO7 Tier-3 data centre and cable landing station,papers
https://www.lanation.dj/la-carte-didentite-biometrique-un-saut-dans-la-modernite-et-linnovation/,La carte d'identité biométrique : un saut dans la modernité,2022-04-17,out-of-window,,papers
https://www.lanation.dj/lacces-numerique-universel-au-journal-officiel-de-la-republique-de-djibouti-une-premiere-en-afrique/,Accès numérique universel au Journal Officiel (eJO archives),2024-12-23,out-of-window,,papers
https://www.lanation.dj/bientot-le-3e-recensement-general-de-la-population-et-de-lhabitatlinstad-lance-la-formation-des-superviseurs-pour-le-rgph-3/,INSTAD lance la formation des superviseurs pour le RGPH-3,2024-03-14,out-of-window,,papers
https://www.lanation.dj/il-est-important-de-se-doter-de-systemes-didentification-numeriques-fiables-et-inclusifs/,Entretien min. Intérieur sur NNI/RNPP identification numérique,2022-04-18,out-of-window,,papers
https://www.lanation.dj/plan-national-de-developpement-2025-2030-cap-sur-lemploi-la-peche-et-le-tourisme/,Plan National de Développement 2025-2030 : emploi pêche tourisme,2026-02-25,off-topic,https://www.adi.dj/article/138724,papers
https://www.wearetech.africa/en/fils-uk/news/tech/djibouti-seeks-itu-smart-africa-support-for-telecoms-and-ai-development,"Djibouti Seeks ITU, Smart Africa Support for Telecoms and AI Development",2026-07-13,already-held,raw/2026-07-13 Djibouti Seeks ITU Smart Africa Support for Telecoms and AI Development,journals
https://techafricanews.com/2025/12/09/djibouti-launches-national-cyber-security-authority-to-strengthen-digital-defenses/,Djibouti Launches National Cyber Security Authority to Strengthen Digital Defenses,2025-12-09,already-held,raw/2025-12-09 Djibouti Launches National Cyber Security Authority (ANC operational DG named),journals
https://techafricanews.com/2026/01/29/djibouti-develops-national-ai-strategy-with-un-support/,Djibouti Develops National AI Strategy with UN Support,2026-01-29,already-held,raw/2026-01-29 Djibouti develops national AI strategy with UN support,journals
https://techcabal.com/2026/01/07/how-ethiopia-somalia-and-djibouti-building-africas-digital-powerhouses/,"Why Ethiopia, Somalia and Djibouti are starting to matter in digital Africa",2026-01-07,already-held,raw/2026-01-07 Why Ethiopia Somalia and Djibouti are starting to matter in digital Africa,journals
https://techreviewafrica.com/news/3953/djibouti-launches-national-digital-identity-project,Djibouti launches national digital identity project,2026-02-09,pr-wire-better-twin,new-queue/DJI/2026-02-10-mobile-id-launch-wearetech.md (+ biometricupdate),journals
https://techreviewafrica.com/news/3872/djibouti-telecom-ethio-telecom-and-sudatel-sign-tripartite-agreement-for-horizon-fiber-initiative,"Djibouti Telecom, Ethio Telecom and Sudatel sign tripartite agreement for Horizon Fiber Initiative",2026-02-04,pr-wire-better-twin,new-queue/DJI/2026-02-04-horizon-fiber-tripartite-deal-techafricanews.md (+ 3 outlets),journals
https://techreviewafrica.com/news/2761/djibouti-advances-digital-transformation-with-visa-partnership-through-national-digital-wallet-initiative,Djibouti advances digital transformation with Visa partnership through national digital wallet initiative,2025-09,pr-wire-better-twin,new-queue/DJI/2025-09-22-visa-tech5-smart-wallet-biometricupdate.md (+ techafricanews),journals
https://www.telecomreviewafrica.com/articles/features/4632-djibouti-s-new-era-of-global-connectivity/,Djibouti's New Era of Global Connectivity,2024-12-18,out-of-window,,journals
https://techreviewafrica.com/news/5842/djiboutis-digital-economy-minister-visits-leadership-and-entrepreneurship-centre-to-strengthen-innovation-ecosystem,Djibouti's Digital Economy Minister visits Leadership and Entrepreneurship Centre to strengthen innovation ecosystem,2026,off-topic,,journals
https://www.telecomreviewafrica.com/articles/features/28259-scaling-africas-digital-public-infrastructure-for-inclusive-connectivity/,Scaling Africa's Digital Public Infrastructure for Inclusive Connectivity,2026-02-10,off-topic,regional-pass (pan-African feature, not DJI-specific),journals
https://www.telecomreviewafrica.com/articles/features/28538-digital-public-infrastructure-set-to-unlock-africas-telecom-growth/,Digital Public Infrastructure Set to Unlock Africa's Telecom Growth,2026-04-08,off-topic,regional-pass (pan-African feature, not DJI-specific),journals
https://www.telecomreviewafrica.com/articles/features/28542-edge-data-revolution-bringing-high-speed-cloud-closer-to-africa/,Edge Data Revolution: Bringing High-Speed Cloud Closer to Africa,2026-04-08,off-topic,regional-pass (pan-African feature, not DJI-specific),journals
https://www.telecomreviewafrica.com/articles/features/28878-beyond-the-signal-why-africas-next-telecom-era-will-be-built-beneath-the-surface/,Beyond the Signal: Why Africa's Next Telecom Era Will Be Built Beneath the Surface,2026-06-22,off-topic,regional-pass (pan-African feature, not DJI-specific),journals
