url,title,published,reason,kept_twin
https://www.biometricupdate.com/202511/egypt-rolls-out-digital-id-platform-to-scale-up-financial-inclusion,Egypt rolls out Haweya digital ID platform,2025-11-13,already-held,
https://www.wearetech.africa/en/fils-uk/news/public-management/egypt-world-bank-discuss-digital-development-collaboration,Egypt World Bank discuss digital development,2024-12-20,out-of-window,
https://www.connectingafrica.com/connectivity/telecom-egypt-zain-to-build-digital-corridor,Telecom Egypt Zain digital corridor,2024-01-16,out-of-window,
https://www.telecomreviewafrica.com/articles/exclusive-interviews/4652-shaping-egypt-s-digital-future-a-conversation-with-mohamed-nasr-ceo-of-telecom-egypt/,Shaping Egypt digital future - Mohamed Nasr interview,2024-12-26,out-of-window,
https://www.telecomreviewafrica.com/articles/exclusive-interviews/3275-telecom-egypt-s-infrastructure-data-empowered-and-innovation-driven/,Telecom Egypt infrastructure interview,2023-03-08,out-of-window,
https://gate.ahram.org.eg/News/5024506.aspx,Kemet Data Center groundbreaking (SCZone),2024-11-05,out-of-window,
https://techafricanews.com/2026/06/16/egypt-approves-400-million-data-center-project-to-boost-cloud-infrastructure/,Egypt approves $400m data center (Hassan Allam),2026-06-16,pr-wire-better-twin,wearetech.africa/en/fils-uk/news/egypt-bets-on-data-centers-and-ai-to-drive-digital-economy-growth
https://iafrica.com/egypts-ntra-licenses-400-million-hassan-allam-data-centre-as-digital-infrastructure-drive-accelerates/,NTRA licenses $400m Hassan Allam DC,2026-06-19,pr-wire-better-twin,wearetech.africa/en/fils-uk/news/egypt-bets-on-data-centers-and-ai-to-drive-digital-economy-growth
https://meobserver.org/science-tech/telecommunications-aviation-space/2026/06/16/mcit-backs-400-million-data-centre-investment-to-boost-digital-hub-ambitions/,MCIT backs $400m data centre,2026-06-15,pr-wire-better-twin,wearetech.africa/en/fils-uk/news/egypt-bets-on-data-centers-and-ai-to-drive-digital-economy-growth
https://pulsealternative.com/equities/egypt-greenlights-licence-for-400m-data-center-expansion/,Egypt greenlights $400m DC licence,2026-07-01,pr-wire-better-twin,wearetech.africa/en/fils-uk/news/egypt-bets-on-data-centers-and-ai-to-drive-digital-economy-growth
https://shore.africa/2026/06/16/hassan-allam-egypt-400m-data-center/,Hassan Allam plans $400m Egypt DC,2026-06-16,pr-wire-better-twin,wearetech.africa/en/fils-uk/news/egypt-bets-on-data-centers-and-ai-to-drive-digital-economy-growth
https://gate.ahram.org.eg/News/5673319.aspx,وزير الاتصالات: استراتيجية وطنية لمراكز البيانات (Hassan Allam licence),2026-06-15,pr-wire-better-twin,wearetech.africa/en/fils-uk/news/egypt-bets-on-data-centers-and-ai-to-drive-digital-economy-growth
https://www.youm7.com/story/2026/6/16/7451371,باستثمارات 400 مليون دولار مركز بيانات (Hassan Allam),2026-06-16,pr-wire-better-twin,wearetech.africa/en/fils-uk/news/egypt-bets-on-data-centers-and-ai-to-drive-digital-economy-growth
https://menastartupdigest.com/egypt-coordinates-national-data-center-strategy-to-lure-hyperscalers-and-fuel-ai-growth/,Egypt coordinates national DC strategy,2026-06-22,pr-wire-better-twin,gate.ahram.org.eg/News/5722522.aspx
https://www.middleeastainews.com/p/egypt-to-draft-national-data-centre,Egypt to draft national data centre strategy,2026-06-22,pr-wire-better-twin,gate.ahram.org.eg/News/5722522.aspx
https://gate.ahram.org.eg/News/5679144.aspx,التخطيط: استراتيجية وطنية لمراكز البيانات والذكاء الاصطناعي,2026-06-24,pr-wire-better-twin,gate.ahram.org.eg/News/5722522.aspx
https://www.youm7.com/story/2026/6/18/7453141,وزير الاتصالات: توطين مراكز البيانات يدعم السيادة الرقمية,2026-06-18,pr-wire-better-twin,gate.ahram.org.eg/News/5722522.aspx
https://www.youm7.com/story/2025/11/18/7201725,البنك المركزي 16 مليون مستخدم لانستاباي (PAFIX),2025-11-18,pr-wire-better-twin,gate.ahram.org.eg/News/5335311.aspx
https://www.cairo24.com/2382413,المركزي 16 مليون عميل انستاباي 4.2 تريليون,2026-03-04,pr-wire-better-twin,gate.ahram.org.eg/News/5541984.aspx
https://gate.ahram.org.eg/News/5660818-huawei-thndr,Huawei Cloud Thndr MoU (folded),2026-06-17,pr-wire-better-twin,techafricanews.com/2026/06/15/huawei-cloud-strengthens-egypts-fintech-ecosystem
https://gate.ahram.org.eg/News/5599757.aspx,إزاي تستخرج بطاقة الرقم القومي إلكترونيا (how-to),2026-04-20,off-topic,
https://gate.ahram.org.eg/News/5542261.aspx,طريقة استخراج بطاقة رقم قومي إلكترونيا (how-to),2026-03-05,off-topic,
https://gate.ahram.org.eg/News/5590089.aspx,قوافل الأحوال المدنية (routine civil-registry convoys),2026-04-04,off-topic,
https://gate.ahram.org.eg/News/5544395.aspx,قوافل الأحوال المدنية بالأرقام (routine),2026-03-08,off-topic,
https://gate.ahram.org.eg/News/5540701.aspx,بورسعيد تستبدل النحاس بالألياف (local fiber routine),2026-03-02,off-topic,
https://gate.ahram.org.eg/News/5591349.aspx,الغردقة ألياف ضوئية (local fiber routine),2026-04-06,off-topic,
https://gate.ahram.org.eg/News/5474432.aspx,مرسى علم ألياف ضوئية (local fiber routine),2026-01-20,off-topic,
https://www.youm7.com/story/2026/7/2/7467432,الرقم القومي في 60 دقيقة أحوال إكسبريس (service explainer),2026-07-02,off-topic,
https://www.youm7.com/story/2026/4/8/7370204,استخراج الرقم القومي من المول (service explainer),2026-04-08,off-topic,
https://gate.ahram.org.eg/News/5674947.aspx,السيسي يشارك في جلسة الذكاء الاصطناعي قمة السبع (thin geopol),2026-06-17,off-topic,
https://business.ahram.org.eg/News/90349.aspx,تأمين الذكاء الاصطناعي CAISEC (vendor/advertorial),2026-06-03,off-topic,
https://gate.ahram.org.eg/News/5666591.aspx,راية سيسكو CAISEC 2026 (vendor advertorial),2026-06-04,off-topic,
https://gate.ahram.org.eg/News/5583080.aspx,برنامج رواد الأمن السيبراني (training notice),2026-03-23,off-topic,
https://peopleofinternet.com/articles/egypt-is-building-a-biometric-identity-spine-while-exempting.html,Egypt biometric spine vs spy-agency data-law exemption (advocacy synthesis - LEAD not source),2026-05-28,off-topic,
https://capacityglobal.com/news/telecom-egypt-the-global-digital-infrastructure-accelerator/,Telecom Egypt global infrastructure accelerator (off-scope domain),2025-01-30,off-topic,
