url,title,published,reason,kept_twin
https://addisstandard.com/state-owned-telecom-giant-to-start-national-digital-id-registration-in-29-cities-2/,State-owned Telecom giant to start national Digital ID registration in 29 cities,2024-04-25,out-of-window,
https://addisstandard.com/news-govt-initiates-standardization-of-national-data-management-through-new-regulation-while-legislators-deliberate-on-the-personal-data-protection-bill/,Gov't initiates standardization of national data management (PDP bill deliberation),2024-01-13,out-of-window,
https://addisstandard.com/news-internet-shutdown-costs-ethiopia-nearly-2-billion-in-economic-upheaval/,Internet shutdown costs Ethiopia nearly $2 billion (Top10VPN 2023 report),2024-01-09,out-of-window,
https://addisstandard.com/news-ethiopia-unveils-first-ever-industrial-strategy-to-boost-domestic-production-reduce-imports/,Ethiopia unveils first-ever industrial strategy (manufacturing/import substitution),2025-11-07,off-topic,
https://www.thereporterethiopia.com/42300/,Authority Backs Telebirr As Ideal Vessel For Ethio Telecom IPO,2024-10-19,out-of-window,
https://www.thereporterethiopia.com/9560/,The New Payment Directive And The Future Of Fintech In Ethiopia,2020-04-11,out-of-window,
https://www.connectingafrica.com/data-centers/raxio-launches-flagship-data-center-in-ethiopia,Raxio launches flagship data center in Ethiopia,2023-11-22,out-of-window,
https://www.connectingafrica.com/ai/ethiopia-launches-ai-unipod-to-drive-innovation,Ethiopia launches AI UniPod to drive innovation,2026-02-19,already-held,raw/2026-02-19 Ethiopia launches AI UniPod to drive innovation
https://techcabal.com/2026/01/07/how-ethiopia-somalia-and-djibouti-building-africas-digital-powerhouses/,Why Ethiopia Somalia and Djibouti are starting to matter in digital Africa,2026-01-07,already-held,raw/2026-01-07 Why Ethiopia Somalia and Djibouti are starting to matter in digital Africa
https://itweb.africa/article/m-pesa-ethiopia-surges-258-as-ethswitch-fuels-growth/Pero3qZ3wXKvQb6m,M-PESA Ethiopia surges 258% as EthSwitch fuels growth,2026-03-30,already-held,raw/2026-03-30 M-PESA Ethiopia surges 258% as EthSwitch fuels growth
https://itweb.africa/article/inside-ethio-telecoms-bold-techco-transformation,Inside Ethio Telecom's bold TechCo transformation,2026-01-30,already-held,raw/2026-01-30 Inside Ethio Telecom's bold TechCo transformation
https://techafricanews.com/2026/07/15/ethio-telecom-and-huawei-expand-strategic-partnership-to-accelerate-ethiopias-digital-transformation/,Ethio Telecom and Huawei Expand Strategic Partnership,2026-07-15,pr-wire-better-twin,raw/2026-07-15 Ethio Telecom Huawei expand digital push (itweb)
https://techafricanews.com/2026/01/30/ethio-telecom-drives-digital-growth-with-record-network-expansion-and-87-million-customers/,Ethio Telecom Drives Digital Growth with Record Network Expansion and 87 Million Customers,2026-01-30,pr-wire-better-twin,raw/2026-01-30 Inside Ethio Telecom's bold TechCo transformation (itweb)
https://techafricanews.com/2026/07/06/safaricom-ethiopia-supports-national-digital-id-registration-across-seven-regions/,Safaricom Ethiopia Supports National Digital ID Registration Across Seven Regions,2026-07-06,pr-wire-better-twin,new-queue/ETH 2026-07-08 biometricupdate 7-regions JV + raw/2026-07-06 techreviewafrica JV
https://www.biometricupdate.com/202410/ethiopia-kicks-off-digital-id-enrolment-drive-in-addis-ababa,Ethiopia kicks off digital ID enrolment drive in Addis Ababa,2024-10-01,out-of-window,
https://www.biometricupdate.com/202401/ethiopia-to-make-digital-id-compulsory-for-access-to-government-services,Ethiopia to make digital ID compulsory for access to government services,2024-01-01,out-of-window,
https://www.biometricupdate.com/202403/ethiopia-begins-issuing-refugees-digital-id-cards-to-facilitate-service-access,Ethiopia begins issuing refugees digital ID cards,2024-03-01,out-of-window,
https://www.biometricupdate.com/202310/ethiopia-to-give-refugees-digital-id-to-improve-living-conditions,Ethiopia to give refugees digital ID to improve living conditions,2023-10-01,out-of-window,
https://www.biometricupdate.com/202210/ethiopias-national-digital-id-prepares-foundation-ahead-of-scale-up,Ethiopia's national digital ID prepares foundation ahead of scale-up,2022-10-01,out-of-window,
