url,title,published,reason,kept_twin
https://www.telecomreviewafrica.com/articles/general-news/28964-gabon-launches-first-tier-iii-data-center-to-strengthen-digital-sovereignty/,Gabon Launches First Tier III Data Center to Strengthen Digital Sovereignty,2026-07-07,same-outlet-recrawl,held techafricanews 2026-07-06 datacenter + staged wearetech/itweb
https://www.connectingafrica.com/data-centers/gabon-opens-it-first-tier-iii-data-center,Gabon opens its first Tier III data center,2026-07-08,pr-wire-better-twin,held techafricanews 2026-07-06 datacenter + staged wearetech/itweb
https://www.wearetech.africa/en/fils-uk/news/tech/gabon-targets-data-sovereignty-with-new-st-digital-public-private-deal,Gabon Targets Data Sovereignty with New ST Digital Public-Private Deal,2026-07-08,pr-wire-better-twin,same inauguration/MoU event; staged wearetech 14M + held techafricanews
https://itweb.africa/article/st-digital-sets-2026-launch-for-gabon-datacentre/WnpNgq21RnYMVrGd,ST DIGITAL sets 2026 launch for Gabon datacentre,2026-06-12,same-outlet-recrawl,staged gabonreview 2026-05-28 launch-date-set
https://techreviewafrica.com/news/3603/gabon-signs-digital-transformation-agreement-with-huawei,Gabon signs digital transformation agreement with Huawei,2025-12-23,already-held,held gabon-huawei-mou (techafricanews 2026-01-05)
https://techreviewafrica.com/news/3868/gabon-digital-economy-minister-inspects-st-digital-data-centre-project,Gabon Digital Economy Minister inspects ST DIGITAL data centre project,2026-01-01,same-outlet-recrawl,datacenter construction cluster; staged gabonreview 02-14/05-28/06-10
https://techafricanews.com/2025/12/09/gabon-launches-strategic-partnership-with-uncdf-to-accelerate-digital-transformation/,Gabon Launches Strategic Partnership with UNCDF,2025-12-09,pr-wire-better-twin,held gabon-uncdf-financial-inclusion-deal (biometricupdate 2025-12-12)
https://www.gabonreview.com/la-fibre-optique-le-super-pouvoir-de-votre-connexion-internet/,La fibre optique: le super-pouvoir de votre connexion internet,2025-12-08,off-topic,consumer explainer no development
https://www.gabonreview.com/intelligence-artificielle-et-securisation-des-donnees-apports-et-perspectives-pour-la-transformation-numerique-au-gabon/,Intelligence Artificielle et Securisation des Donnees,2025-04-21,off-topic,thin explainer/op-ed no development
https://www.gabonreview.com/lia-au-service-des-infrastructures-numeriques-enjeux-innovations-et-perspectives/,L'IA au service des infrastructures numeriques,2025-05-05,off-topic,thin forum/explainer no development
https://www.gabonreview.com/digitalisation-le-gabon-promeut-un-etat-plus-agile-et-productif-au-world-government-summit/,Digitalisation: le Gabon promeut un Etat plus agile au World Government Summit,2026-02-05,off-topic,thin promo
https://www.gabonreview.com/gabon-digital-des-rencontres-strategiques-pour-accelerer-la-transformation-numerique/,Gabon Digital: des rencontres strategiques,2025-06-12,off-topic,thin promo overlaps 5e Copil
https://www.gabonreview.com/digitalisation-au-gabon-le-gouvernement-defend-une-reforme-pour-une-administration-plus-proche-et-efficace/,Digitalisation: le gouvernement defend une reforme,2025-11-06,off-topic,promo overlaps Gabon Connect/5e Copil
https://www.gabonreview.com/setrag-le-wi-fi-satellitaire-fait-son-entree-a-bord-des-trains-voyageurs/,Setrag: le Wi-Fi satellitaire a bord des trains,2025-12-23,off-topic,marginal consumer access item
https://www.gabonreview.com/numerique-et-ia-au-forum-de-geneve-le-gabon-alerte-sur-les-freins-structurels-dans-les-pays-francophones/,Numerique et IA au Forum de Geneve,2025-07-15,off-topic,marginal opinion/forum
https://www.gabonreview.com/forum-de-la-cybersecurite-une-2e-edition-pour-renforcer-la-souverainete-numerique/,Forum de la cybersecurite: une 2e edition,2025-11-17,same-outlet-recrawl,staged gabonreview 2025-11-20 2e forum report
https://techcabal.com/2023/07/20/sing-gabon/,SING is building an ecosystem from scratch in Gabon,2023-07-20,out-of-window,pre-2025 (SING incubator profile)
https://union.sonapresse.com/fr/carte-nationale-didentite-electronique-finalise-les-aspects-techniques,CNIE: on finalise les aspects techniques,2024-03-01,out-of-window,president de la Transition + pre-first-NIP-launch prep = early 2024
https://www.union.sonapresse.com/fr/cnie-lancement-de-la-campagne-de-delivrance-du-nip-mercredi-prochain,CNIE: lancement de la campagne de delivrance du NIP,2024-03-01,out-of-window,3 April Wednesday = 2024; Transition-era first NIP campaign
https://www.union.sonapresse.com/fr/numero-didentification-personnel-loperation-effective-dans-le-grand-libreville,NIP: operation effective dans le grand Libreville,2024-03-04,out-of-window,body states operation started hier 3 mars 2024
