url,title,published,reason,kept_twin
https://techafricanews.com/2025/09/05/guinea-launches-national-domain-gn-and-unveils-first-tier-iii-data-center/,Guinea Launches National Domain .gn and Unveils First Tier III Data Center,2025-09-05,already-held,raw/2025-09-05 Guinea Launches National Domain .gn
https://mediaguinee.com/2025/09/cnrd-le-grand-coup-des-4-ans-la-guinee-reprend-le-controle-de-son-identite-et-inaugure-son-premier-data-center-national/,CNRD : la Guinée reprend le contrôle de son identité et inaugure son premier Data Center national,2025-09-06,already-held,held .gn/Tier-III data-centre event (techafricanews/ecofin)
https://mediaguinee.com/2025/09/djiba-diakite-exulte-pour-le-gn-et-le-data-center-oui-notre-guinee-avance/,Djiba Diakité exulte pour le .gn et le Data Center,2025-09-05,already-held,held .gn/Tier-III data-centre event (techafricanews/ecofin)
https://idtechwire.com/guinea-launches-biometric-birth-certificates-in-sanoyah-in-civil-registry-modernization-push/,Guinea Launches Biometric Birth Certificates in Sanoyah,2026-03-04,already-held,raw/2026-03-04 Guinea Launches Biometric Birth Certificates in Sanoyah
https://www.biometricupdate.com/202512/guinea-launches-biometric-system-to-weed-out-ghost-public-workers,Guinea launches biometric system to weed out ghost public workers (FUGAS),2025-12-03,already-held,raw/2025-12-03 Guinea launches biometric system (FUGAS)
https://www.wearetech.africa/en/fils-uk/news/tech/guinea-reviews-2025-digital-sector-gains-targets-faster-rollout-in-2026,Guinea Reviews 2025 Digital Sector Gains,2026-01-14,already-held,raw/2026-01-14 Guinea Reviews 2025 Digital Sector Gains
https://techreviewafrica.com/news/3523/guinea-launches-instant-payment-system-to-boost-financial-inclusion,Guinea launches Instant Payment System (BCRG IPS/AfricaNenda),2025-12-01,pr-wire-better-twin,held BCRG SPI/Mojaloop (2025-12-18)
https://techreviewafrica.com/news/3192/guinea-signs-new-agreements-to-promote-digital-transformation-at-transform-africa-summit-2025,Guinea signs new agreements at Transform Africa Summit 2025 (SADA/RealTyme),2025-11-13,pr-wire-better-twin,held Transform Africa Summit 2025 coverage
https://techreviewafrica.com/news/3141/senegal-and-guinea-sign-digital-cooperation-agreement-at-transform-africa-summit-2025,Senegal and Guinea sign digital cooperation agreement at TAS 2025,2025-11-13,pr-wire-better-twin,held Transform Africa Summit 2025 coverage
https://techreviewafrica.com/news/5208/guinea-discusses-digital-transformation-agenda-under-simandou-2040-vision,Guinea discusses digital transformation under Simandou 2040 (TACTIS master plan),2026-06-01,off-topic,pr-wire thin; TACTIS plan noted in staged nine-projects
https://mail.techreviewafrica.com/news/3608/guineas-digital-economy-ministry-opens-2026-administrative-year,Guinea's Digital Economy Ministry opens 2026 administrative year,2026-01-01,off-topic,routine cabinet meeting
https://techcabal.com/2025/02/06/startbutton-francophone-launch/,Startbutton enters Francophone Africa (incl Guinea Conakry),2025-02-06,off-topic,Guinea peripheral (7-market regional launch)
https://techcabal.com/2026/05/30/day-1-to-1000-startbutton-africa/,Startbutton is solving Africa's cross-border expansion problem,2026-05-30,off-topic,Guinea peripheral
https://techcabal.com/2026/06/23/spendin-expands-into-francophone-africa/,Spendin expands into francophone Africa,2026-06-23,off-topic,does not cover Guinea (CMR/SEN/BEN/CIV)
https://techcabal.com/2026/05/23/orange-backed-subsea-cable-to-connect-nigeria-19-other-countries/,Orange-backed Via Africa subsea cable (Nigeria + 19),2026-05-23,off-topic,mediaguinee Via Africa (2026-06-17) staged
https://www.connectingafrica.com/connectivity/orange-plans-subsea-cable-linking-europe-to-south-africa,Orange plans Via Africa subsea cable Europe-South Africa,2026-05-13,off-topic,mediaguinee Via Africa (2026-06-17) staged
https://www.telecomreviewafrica.com/articles/wholesale-and-capacity/28705-from-europe-to-south-africa-via-africa-maps-new-subsea-connectivity-future/,From Europe to South Africa: Via Africa Maps New Subsea Connectivity Future,2026-05-13,off-topic,mediaguinee Via Africa (2026-06-17) staged
https://www.telecomreviewafrica.com/articles/reports-and-coverage/12417-liberia-ecowas-world-bank-launch-second-submarine-cable-to-boost-connectivity/,Liberia/ECOWAS/World Bank Second Submarine Cable (incl Guinea),2025-07-21,off-topic,regional/ECOWAS (Guinea one of 5); belongs to XAF pass
