url,title,published,reason,kept_twin
https://ang.gw/guine-bissau-apresenta-projetos-backbone-nacional-e-amarracao-do-segundo-cabo-submarino-nos-emirados-arabes-unidos/,GNB apresenta projetos Backbone Nacional e 2.o Cabo Submarino nos EAU,2023-10-12,out-of-window (Marrakech IMF/WB annual mtgs Oct 2023 + '28 March current year' ACE; backbone 888km superseded),
https://ang.gw/secretario-de-estado-anuncia-para-breve-conexao-efetiva-da-internet-em-fibra-otica-por-cabo-submarino/,Secretario de Estado anuncia conexao efetiva por cabo submarino ACE,2024-01-01,out-of-window (body: 'trabalhos concluidos ha um ano' from Mar-2023 ACE = ~2024),
https://ang.gw/administracao-publica-pm-garante-que-sistema-de-blockchain-reforcara-transparencia-na-gestao-dos-recursos-de-estado/,PM garante que Blockchain reforcara transparencia na gestao dos recursos de Estado,2024-01-01,out-of-window (blockchain payroll launched May 2024; 'ate final de Junho do corrente ano' = 2024),
https://mef.gw/noticias/fmi-sauda-a-implementacao-da-plataforma-para-melhorar-gestao-da-folha-salarial,FMI sauda a implementacao da plataforma blockchain de folha salarial,2024-12-30,out-of-window (2024-12-30; underlying event May 2024),
https://www.odemocratagb.com/?p=51879,Projeto WARDIP lancado em Bissau para apoiar a transformacao digital,2025-04-02,same-event-different-outlet,2025-04-02-wardip-launch-president-embalo-ang.md
https://ang.gw/ministro-dos-transportes-e-economia-digital-considera-digitalizacao-como-um-dos-pilares-fundamentais-para-garantir-servicos-publicos-eficazes/,Ministro considera digitalizacao pilar fundamental (lancamento WARDIP),2025-04-02,same-event-different-outlet (same ANG outlet WARDIP launch),2025-04-02-wardip-launch-president-embalo-ang.md
https://observador.pt/2025/04/10/guine-bissau-concede-licenca-para-operador-de-internet-por-satelite-starlink/,Starlink Bissau concede licenca para internet (Lusa),2025-04-10,same-event-different-outlet (kept ARN regulator primary),2025-04-10-arn-starlink-provisional-authorization-arn.md
https://techafricanews.com/2025/04/16/arn-tic-authorizes-starlink-to-launch-satellite-internet-in-guinea-bissau/,ARN-TIC Authorizes Starlink to Launch Satellite Internet in Guinea-Bissau,2025-04-16,same-event-different-outlet (kept ARN regulator primary),2025-04-10-arn-starlink-provisional-authorization-arn.md
https://digitalmag.ci/telecom-starlink-delon-musk-lance-officiellement-en-guinee-bissau/,Starlink lance officiellement en Guinee-Bissau,2025-06-21,same-event-different-outlet (kept connectingafrica; not a fixed-8 journal),2025-06-19-starlink-launch-guinea-bissau-connectingafrica.md
https://guinea-bissau.news-pravda.com/world/2025/06/19/369.html,Starlink e lancado na Guine-Bissau (Pravda),2025-06-19,off-topic (aggregator/unreliable propaganda outlet - inadmissible),
https://pt.editorialge.com/fintech-guine-bissau-2026/,16 Fintechs Inovadoras na Guine-Bissau 2026,,off-topic (AI-generated SEO listicle - inadmissible synthesis),
https://pt.editorialge.com/startups-de-ia-na-guine-bissau/,12 Startups de IA na Guine-Bissau 2026,,off-topic (AI-generated SEO listicle - inadmissible synthesis),
https://pt.editorialge.com/ciberseguranca-guine-bissau-2026/,Top 18 Ciberseguranca e Privacidade na Guine-Bissau 2026,,off-topic (AI-generated SEO listicle - inadmissible synthesis),
https://thefintechtimes.com/guinea-bissaus-fintech-landscape-in-2026/,Guinea-Bissau's Fintech Landscape in 2026,2026-04-10,off-topic (secondary analytical synthesis; recycles 2024 facts - lead not source),
https://www.nokunsidigital.com/como-a-internet-via-satelite-esta-a-desafiar-os-provedores-em-bissau/,Como a Internet via Satelite esta a desafiar os provedores em Bissau,2025-04-01,off-topic (local reseller blog opinion - not admissible primary),
https://www.bantumen.com/en/artigo/transicao-digital-guine-bissau/,Guine-Bissau aposta na digitalizacao para modernizar o pais,2025-01-30,off-topic (secondary feature; ENTD launch already held via UNU + staged ANG),
https://techreviewafrica.com/news/1271/telecel-group-acquires-mtns-interests-in-guinea-bissau-and-guinea-conakry,Telecel Group acquires MTN's interests in Guinea-Bissau and Guinea-Conakry,2024-01-01,out-of-window (MTN-Telecel agreement Dec 2023 / completion 2024; pr-wire),
https://techreviewafrica.com/news/2162/guinea-bissau-explores-synergies-between-tourism-and-telecommunications-for-sustainable-development,GNB explores synergies between tourism and telecommunications,,off-topic (low-relevance tourism-telecom; pr-wire lead-net),
https://techreviewafrica.com/news/2119/cote-divoire-and-guinea-bissau-strengthen-digital-and-media-cooperation,Cote d'Ivoire and Guinea-Bissau strengthen digital and media cooperation,2025-01-01,off-topic (marginal bilateral DTT/media MoU; pr-wire lead-net),
https://itweb.africa/article/mtn-group-completes-sale-of-mtn-guinea-bissau-to-telecel/Olx4z7kapY6q56km,MTN Group completes sale of MTN Guinea-Bissau to Telecel,2024-08-07,out-of-window,
https://itweb.africa/article/orange-digital-center-opens-in-guinea-bissau/mQwkoM6Y1ok73r9A,Orange Digital Center opens in Guinea-Bissau,2024-07-01,out-of-window,
https://ang.gw/arn-nic-gw-guine-bissau-passa-a-permitir-registo-de-dominios-gw-com-caracteres-acentuados/,ARN/NIC.gw permite registo de dominios .GW com caracteres acentuados (IDN),2026-01-01,off-topic (low-relevance ccTLD/linguistic domains; noted as lead in manifest),
