url,title,published,reason,kept_twin
https://publiceyenews.com/2025/05/20/leswitch-expands-to-pos-transactions/,"LeSwitch Expands to POS transactions",2025-05-20,already-held,raw/2025-05-20 LeSwitch expands to localized POS transactions (Central Bank of Lesotho)
https://publiceyenews.com/2025/08/05/leswitch-expands-to-pos-transactions-2/,"LeSwitch expands to POS transactions (republish)",2025-08-05,same-outlet-recrawl,https://publiceyenews.com/2025/05/20/leswitch-expands-to-pos-transactions/
https://publiceyenews.com/2024/03/27/central-bank-simplifies-banking-for-basotho/,"Central Bank simplifies banking for Basotho (LeSwitch launch)",2024-03-27,out-of-window,
https://publiceyenews.com/2021/03/01/5145-2/,"World Bank applauds Lesotho (national ID)",2021-03-01,out-of-window,
https://publiceyenews.com/2022/08/23/legal-identity-eases-access-to-healthcare/,"Legal identity eases access to healthcare (CRVS)",2022-08-23,out-of-window,
https://publiceyenews.com/2021/06/21/mandatory-mobile-device-registration/,"Mandatory mobile device registration (biometric SIM)",2021-06-21,out-of-window,
https://lestimes.com/?p=4476,"All Basotho set to have IDs (National Identity Cards Bill 2010)",2010-09-15,out-of-window,
https://lestimes.com/?p=85293,"Repressive cybercrime law poses grave threat to Lesotho's fragile democracy",2024-09-21,out-of-window,
https://publiceyenews.com/2025/08/05/t-connect-lesotho-bridging-the-digital-divide-one-connection-at-a-time/,"T-Connect Lesotho: Bridging the digital divide (advertorial)",2025-08-05,off-topic,
https://lestimes.com/?p=87879,"EcoCash agents reap rewards as campaign drives growth",2025-09-12,off-topic,
