url,title,published,reason,kept_twin
https://www.ecofinagency.com/news-digital/2701-52309-madagascar-tests-biometric-id-system,Madagascar Tests Biometric ID System,2026-01-27,already-held,raw/2026-01-27 Madagascar Tests Biometric ID System
https://idtechwire.com/madagascar-begins-pilot-biometric-enrollment-for-national-digital-id-program/,Madagascar Begins Pilot Biometric Enrollment,2026-01-28,already-held,raw/2026-01-28 Madagascar Begins Pilot Biometric Enrollment
https://www.biometricupdate.com/202601/madagascar-digital-id-pilot-kicks-off-testing-infrastructure-ahead-of-nationwide-rollout,Madagascar digital ID pilot kicks off,2026-01-28,already-held,raw/2026-01-28 Madagascar digital ID pilot kicks off
https://www.biometricupdate.com/202507/madagascar-codifies-civil-registry-reform-readies-biometric-id-card-tender,Madagascar codifies civil registry reform,2025-07-07,already-held,raw/2025-07-07 Madagascar codifies civil registry reform
https://www.biometricupdate.com/202508/madagascars-digital-governance-id-project-timeline-extended-to-2026,Madagascar digital governance ID timeline extended,2025-08-19,already-held,raw/2025-08-19 timeline extended
https://www.biometricupdate.com/202508/madagascar-seeks-firm-to-expand-digital-interoperability-platform,Madagascar seeks firm to expand interoperability platform,2025-08-28,already-held,raw/2025-08-28 interoperability platform
https://www.biometricupdate.com/202508/la-francophonie-supports-birth-registration-efforts-across-central-africa-madagascar,La Francophonie supports birth registration,2025-08-12,already-held,raw/2025-08-12 La Francophonie
https://datareportal.com/reports/digital-2026-madagascar,Digital 2026 Madagascar (DataReportal),2025-11-08,already-held,raw/2025-11-08 Digital 2026 Madagascar
https://www.wearetech.africa/en/fils-uk/news/finance/madagascar-tests-e-ariary-its-central-bank-digital-currency-to-modernize-payments,Madagascar Tests e-Ariary CBDC,2025-05-28,already-held,raw/2025-05-28 e-Ariary
https://www.wearetech.africa/en/fils-uk/news/tech/madagascar-launches-digital-readiness-assessment-to-tackle-hurdles,Madagascar Launches Digital Readiness Assessment,2025-03-04,already-held,raw/2025-03-04 Digital Readiness Assessment
https://www.wearetech.africa/en/fils-uk/solutions/madagascar-orange-launches-mobile-app-for-business-transactions,Orange Launches Orange Money Pro,2025-03-19,already-held,raw/2025-03-19 Orange Money Pro
https://www.trade.gov/country-commercial-guides/madagascar-digital-economy,Madagascar Digital Economy CCG,2025-08-04,already-held,raw/2025-08-04 Madagascar Digital Economy
https://www.gsma.com/...mvola-madagascar-a-case-study,MVola GSMA Mobile Money API case study,2025-03-31,already-held,raw/2025-03-31 MVola GSMA case study
https://identityweek.net/madagascar-accelerates-unique-identifier-delivery-for-citizens,Madagascar accelerates unique identifier delivery,2024-07-25,already-held,raw/2024-07-25 unique identifier
https://www.lexpress.mg/2024/07/donnees-numeriques-degrandsenjeuxsurlat.html,Données numériques - De grands enjeux,2024-07-20,out-of-window,n/a
https://www.lexpress.mg/2024/08/transactions-financieres-le-mobile.html,Transactions financières - Le mobile money perce,2024-08-13,out-of-window,n/a
https://www.lexpress.mg/2024/04/internet-par-satellite-starlink-debarque.html,Internet par satellite - Starlink débarque,2024-04-11,out-of-window,n/a
https://midi-madagasikara.mg/internet-par-satellite-starlink-bientot-a-madagascar/,Starlink bientôt à Madagascar,2024-04-11,out-of-window,n/a
https://midi-madagasikara.mg/starlink-bientot-disponible-a-madagascar-des-offres-diversifiees-devoilees/,Starlink bientôt disponible - offres,2024-06-27,out-of-window,n/a
https://2424.mg/starlink-madagascar-obtient-sa-licence-internet-satellite-moyennant-100-000-euros/,Starlink obtient sa licence,2024-05-03,out-of-window,n/a
https://midi-madagasikara.mg/etat-civil-mise-en-place-de-la-carte-didentite-nationale-biometrique/,État-civil CNI biométrique,2024-08-08,out-of-window,n/a
https://www.lexpress.mg/2024/01/transformationdigitale.html,Transformation digitale - identification numérique,2024-01-27,out-of-window,n/a
https://www.wearetech.africa/en/fils-uk/news/public-management/madagascar-launches-140-million-digital-id-project-in-june,Madagascar Launches $140M Digital ID Project,2024-01-24,out-of-window,n/a
https://2424.mg/fibre-optique-orange-madagascar-sapprete-a-deployer-son-backbone-entre-tana-et-toamasina/,Orange backbone Tana-Toamasina,2024-08-07,out-of-window,n/a
https://techafricanews.com/2026/07/14/madagascar-becomes-third-african-country-to-test-direct-to-cell-satellite-technology/,Madagascar third country D2C,2026-07-14,dup-same-event,2026-07-15-direct-to-cell-satellite-trial-telecomreviewafrica.md
https://techafricanews.com/2026/07/14/airtel-madagascar-becomes-first-in-country-to-test-spacex-direct-to-cell-technology/,Airtel first to test D2C,2026-07-14,dup-same-event,2026-07-15-direct-to-cell-satellite-trial-telecomreviewafrica.md
https://www.connectingafrica.com/connectivity/airtel-africa-tests-direct-satellite-to-mobile-connectivity-in-madagascar,Airtel tests satellite-to-mobile,2026-07-14,dup-same-event,2026-07-15-direct-to-cell-satellite-trial-telecomreviewafrica.md
https://www.telecomstechnews.com/news/airtel-spacex-direct-to-cell-ntn-madagascar/,Airtel SpaceX D2C NTN,2026-07-16,dup-same-event,2026-07-15-direct-to-cell-satellite-trial-telecomreviewafrica.md
https://cioafrica.co/airtel-madagascar-completes-first-direct-to-cell-satellite-trial-with-spacex/,Airtel completes D2C trial,2026-07-17,dup-same-event,2026-07-15-direct-to-cell-satellite-trial-telecomreviewafrica.md
https://gasikaranews.com/zones-isolees-airtel-madagascar-et-spacex-experimentent-le-direct-to-cell/,Airtel SpaceX Direct-to-Cell (FR local earliest),2026-07-11,dup-same-event,2026-07-15-direct-to-cell-satellite-trial-telecomreviewafrica.md
https://www.ecofinagency.com/news-digital/1307-57322-after-kenya-and-uganda-airtel-africa-moves-closer-to-satellite-to-phone-rollout-with-madagascar-trial,After Kenya Uganda Airtel Madagascar trial,2026-07-13,dup-same-event,2026-07-15-direct-to-cell-satellite-trial-telecomreviewafrica.md
https://2424.mg/technologie-un-nouveau-cadre-juridique-sur-la-cybersecurite-en-gestation/,Nouveau cadre juridique cybersécurité,2026-06-23,dup-same-event,2026-06-25-madagascar-new-cybersecurity-law-wearetech.md
