url,title,published,reason,kept_twin
https://www.biometricupdate.com/202603/focus-on-sahel-digital-sovereignty,"Focus on Sahel digital sovereignty gets clearer with Niger's new biometric ID card",2026-03-30,already-held,raw/2026-03-30 Focus on Sahel digital sovereignty
https://www.biometricupdate.com/202506/libyan-firm-wins-niger-biometric-passport-national-id-contract,"Libyan firm wins Niger biometric passport national ID contract",2025-06-30,already-held,raw/2025-06-30 Niger moves to modernize ID
https://www.lesahel.org/la-haute-autorite-de-protection-des-donnees-a-caractere-personnel-hapdp/,"La Haute Autorite de Protection des Donnees (HAPDP)",2024-09-20,already-held,raw/2024-09-20 HAPDP
https://www.actuniger.com/technologie/21165-panne-mondiale-de-starlink-une-interruption-inedite.html,"Panne mondiale de Starlink : interruption inedite au Niger",2025-07-24,off-topic,
https://www.lesahel.org/lancement-de-travaux-de-pose-de-la-fibre-optique-par-airtel-niger-a-zinder-32-milliards-dinvestissement...,"Airtel Niger fibre optique Zinder 3,2 milliards (ere Bazoum)",2021-08-21,out-of-window,
https://www.actuniger.com/societe/20498-revolution-numerique-le-niger-signe-un-partenariat-avec-starlink.html,"Le Niger signe un partenariat avec Starlink",2024-10-30,out-of-window,
https://www.connectingafrica.com/connectivity/starlink-to-expand-internet-access-in-niger,"Starlink to expand Internet access in Niger",2024-11-01,out-of-window,
https://www.biometricupdate.com/202210/niger-launches-wuri-project-to-issue-biometric-id,"Niger launches WURI project to issue biometric ID",2022-10-31,out-of-window,
https://www.biometricupdate.com/202001/biometrics-and-digital-id-in-africa-genkey-in-niger,"Biometrics and digital ID in Africa: GenKey in Niger",2020-01-20,out-of-window,
https://www.actuniger.com/technologie/18935-niger-la-fintech-i-futur-uncdf.html,"Fintech i-Futur / UNCDF systeme de paiement electronique",2023-01-11,out-of-window,
https://www.lesahel.org/dossier-de-presse-avril-2025-starlink-annonce-ses-detaillants-agrees-au-niger/,"Starlink annonce ses detaillants agrees au Niger (dossier de presse)",2025-05-27,pr-wire-better-twin,new-queue/NER/2025-05-06-ninetec-nine-starlink-kit-distribution-lesahel.md
https://techcabal.com/2026/03/30/bureaucracy-forces-niger-state-to-replace-tech-ministry-with-agency/,"Bureaucracy forces Niger State to replace tech ministry with agency (Nigeria Niger State)",2026-03-30,off-topic,
https://techcabal.com/2025/08/20/in-niger-state-ai-systems-are-solving-problems/,"In Niger State AI systems are solving problems (Nigeria Niger State)",2025-08-20,off-topic,
https://niger.news-pravda.com/niger/2026/04/26/14379.html,"Le Niger lance l'enrolement general carte AES (Pravda aggregator)",2026-04-26,off-topic,
https://afrique.le360.ma/politique/niger-mali-burkina-faso-la-carte-didentite-aes...,"La carte d'identite AES premier acte concret (Le360)",2026-03-30,off-topic,
https://idtechwire.com/niger-signs-deal-with-libyan-firm-for-national-e-id-and-biometric-passport-system/,"Niger Signs Deal With Libyan Firm (ID Tech)",2025-07-01,off-topic,
https://mazech.com/2025/12/niger-adopts-mandatory-aes-biometric-id/,"Niger adopts mandatory AES biometric ID (Mazech)",2025-12-28,off-topic,
https://africa.businessinsider.com/local/lifestyle/niger-launches-aes-biometric-passport/z612cdt,"Niger launches AES biometric passport (Business Insider Africa)",2026-07-17,off-topic,
https://francais.rt.com/news/136277-niger-president-tiani-premier-citoyen-passeport-biometrique-aes,"Niger: Tiani premier citoyen passeport biometrique AES (RT France - Russia media)",2026-07-17,off-topic,
https://cio-mag.com/le-niger-lance-sa-premiere-carte-virtuelle-pour-accelerer-son-inclusion-financiere/,"Le Niger lance sa premiere carte virtuelle (CIO Mag)",2026-05-13,off-topic,
https://techafricanews.com/2025/06/30/niger-signs-mous-for-national-e-id-and-biometric-passport-infrastructure/,"Niger Signs MoUs for National e-ID and Biometric Passport (TechAfrica News)",2025-06-30,already-held,raw/2025-06-30 Niger moves to modernize ID system
