url,title,published,reason,kept_twin
https://www.biometricupdate.com/202502/digital-id-necessity-increases-in-nigeria-despite-lingering-challenges,Digital ID necessity increases in Nigeria despite lingering challenges,2025-02-13,dedup: exact URL match in holdings,held: 2025-02-13 Digital ID necessity increases in Nigeria despite lingering challenges.md
https://techafricanews.com/2025/03/24/open-access-data-centres-to-expand-lagos-facility-to-24mw-by-2027,Open Access Data Centres to Expand Lagos Facility to 24MW by 2027,2025-03-24,"dedup: same outlet + same story (title match, holdings item lacks URL)",held: 2025-03-24 Open Access Data Centres to expand Lagos facility to 24MW by 2027.md
https://www.thisdaylive.com/index.php/2025/02/12/sgf-akume-nin-key-to-accessing-social-services-palliatives,"SGF Akume: NIN Key to Accessing Social Services, Palliatives",2025-02-12,dedup: url-variant of same ThisDay story (index.php re-crawl),staged: 2025-02-12-sgf-nin-key-social-services.md
https://www.thisdaylive.com/index.php/2025/03/08/nigerias-first-biometric-census,NIGERIA'S FIRST BIOMETRIC CENSUS,2025-03-08,dedup: url-variant of same ThisDay story (index.php re-crawl),staged: 2025-03-08-nigerias-first-biometric-census.md
https://www.thisdaylive.com/2025/03/09/nigerias-first-biometric-census-2,NIGERIA'S FIRST BIOMETRIC CENSUS,2025-03-09,dedup: same-outlet repost of 2025-03-08 editorial (changed URL),staged: 2025-03-08-nigerias-first-biometric-census.md
https://www.thisdaylive.com/index.php/2025/03/10/disbursement-of-student-loan-nimc-nelfund-data-mining-sign-mou-on-biometric-enabled-cards,"Disbursement of Student Loan: NIMC, NELFUND, Data Mining Sign MoU on Biometric-enabled Cards",2025-03-10,dedup: same-outlet re-run of 2025-03-08 story (changed URL),staged: 2025-03-08-nimc-nelfund-biometric-cards-mou.md
https://www.thisdaylive.com/index.php/2025/03/25/nimc-initiates-manhunt-for-printers-of-unauthorised-nin-cards,NIMC Initiates Manhunt for Printers of Unauthorised NIN Cards,2025-03-25,dedup: url-variant of same ThisDay story (index.php re-crawl),staged: 2025-03-25-nimc-manhunt-unauthorised-nin-cards.md
https://itweb.africa/content/mYZRXv9g4nEMOgA8,"ST Digital launches AI hosting solution in Cameroon, Cote d'Ivoire",2025-02-12,dedup: url-variant of itweb /article/ URL (also out of country scope),
https://techcabal.com/2025/01/08/smile-ids-enhanced-smartselfie-technology-leads-the-fight-against-identity-fraud-with-iso-30107-3-certification,Smile ID's Enhanced SmartSelfie Technology Leads the Fight Against Identity Fraud with ISO 30107-3 Certification,2025-01-08,admissibility: pure product advertorial (partner post),
https://techafricanews.com/2025/01/16/mtn-nigeria-secures-historic-compliance-certification-from-ias,MTN Nigeria Secures Historic Compliance Certification from IAS,2025-01-16,"admissibility: corporate certification promo, no policy/infrastructure news",
https://techcabal.com/2025/01/17/techcabal-daily-the-long-road-to-nigerias-fiber-optic-project,TechCabal Daily - The long road to Nigeria's fiber optic dream,2025-01-17,admissibility: second-hand newsletter digest,
https://techcabal.com/2025/01/24/woodcore-emerges-from-stealth-mode,Woodcore emerges from stealth mode with strong footing in emerging markets,2025-01-24,admissibility: promotional company profile (partner post),
https://techafricanews.com/2025/03/06/emosim-and-tata-communications-bring-nigerias-first-travel-esim-to-life,EMOSIM and Tata Communications Bring Nigeria's First Travel eSIM to Life,2025-03-06,admissibility: pure product advertorial,
https://techcabal.com/2025/03/21/systegra-technologies-ltd-a-tier-5-mvne-licensee-collaborates-with-amdocs-to-offer-best-in-class-mobile-services-to-the-nigerian-market,Systegra Technologies collaborates with Amdocs,2025-03-21,admissibility: pure product advertorial (partner post),
https://insights.techcabal.com/understanding-digital-identity-fraud-in-africa,Understanding Digital Identity Fraud in Africa,2025-03-10,"admissibility/scope: regional vendor-linked report, not Nigeria-specific news",
https://download.thisdaylive.com/editions/2025/03/11.pdf,ThisDay full edition PDF 2025-03-11,2025-03-11,"admissibility: full-edition PDF, not an article",
https://download.thisdaylive.com/editions/2025/03/25.pdf,ThisDay full edition PDF 2025-03-25,2025-03-25,"admissibility: full-edition PDF, not an article",
https://download.thisdaylive.com/editions/2025/03/29.pdf,ThisDay full edition PDF 2025-03-29,2025-03-29,"admissibility: full-edition PDF, not an article",
https://techafricanews.com/2025/01/22/mtn-nigeria-shares-surge-after-government-raises-telecom-tariffs-by-50,MTN Nigeria Shares Surge After Government Raises Telecom Tariffs by 50%,2025-01-22,"admissibility: market-reaction piece, tariff decision itself staged from three outlets",
https://www.telecomreviewafrica.com/articles/general-news/11430-mtn-nigeria-strategic-growth-and-financial-recovery-initiatives,MTN Nigeria: Strategic Growth and Financial Recovery Initiatives,2025-03-26,"admissibility: operator financial-results piece, off-theme",
https://techcabal.com/2025/03/28/fintech-cant-scale-alone-adekunle-adebiyi-on-the-infrastructure-powering-africas-digital-economy,Fintech Can't Scale Alone: Adekunle Adebiyi interview,2025-03-28,admissibility: sponsored interview/thought-leadership,
https://www.connectingafrica.com/ai/hot-startup-of-the-month-nigeria-s-smile-id,Hot startup of the month: Nigeria's Smile ID,2025-02-26,admissibility: promotional startup profile,
https://www.wearetech.africa/en/fils-uk/brief/nigeria-nigcomsat-opens-applications-for-its-accelerator-2025,Nigeria: NIGCOMSAT Opens Applications For its Accelerator 2025,2025-02-18,"admissibility: event/applications notice, minor item",
https://itweb.africa/article/official-launch-of-googles-africa-cloud-region-brings-opportunities-in-ai-data-spaces/mQwkoq6Yw2xM3r9A,Official launch of Google's Africa cloud region,2025-02-28,"scope: South Africa cloud region story, not Nigeria",
