url,title,published,reason,kept_twin
https://www.datacenterdynamics.com/en/news/construction-of-africell-data-center-begins-in-freetown-sierra-leone/,Construction of Africell data center begins in Freetown,2022-06-09,out-of-window (Exa returned 2026-07-14 but article byline dated June 09 2022),
https://www.wearetech.africa/en/fils-uk/news/tech/guinea-sierra-leone-aim-to-deepen-digital-ties,Guinea Sierra Leone Aim to Deepen Digital Ties,2024-08-12,out-of-window (pre-2025),
https://www.wearetech.africa/en/fils-uk/news/tech/sierra-leone-invests-150-million-on-tech-city-hub-to-drive-digital-future,Sierra Leone Invests $150 Million on Tech City Hub,2024-06-20,out-of-window (pre-2025),
https://techafricanews.com/2025/12/02/orange-sierra-leone-launches-bo-data-centre-to-boost-connectivity-and-resilience/,Orange Sierra Leone Launches Bo Data Centre,2025-12-02,same-event secondary (Orange Bo data centre) - kept wearetech (figures) + statehouse (primary),https://www.wearetech.africa/en/fils-uk/news/telecom/orange-sierra-leone-opens-new-datacenter-to-expand-telecom-network-availability
https://techafricanews.com/2026/05/05/sierra-leone-targets-universal-connectivity-at-ict-stakeholder-meeting/,Sierra Leone Targets Universal Connectivity at ICT Stakeholder Meeting,2026-05-05,same-event ($400M/60% usage gap stakeholder meeting) - kept connectingafrica,https://www.connectingafrica.com/connectivity/sierra-leone-invests-400m-in-telecoms-60-usage-gap-remains
https://mocti.gov.sl/the-ministry-of-communication-technology-and-innovation-mocti-in-collaboration-with-the-world-bank-group-is-developing-sierra-leones-first-ever-national-ai-strategy/,MoCTI developing Sierra Leones first-ever National AI Strategy,2026-05-20,same-event (National AI Strategy) - kept techafricanews report,https://techafricanews.com/2026/05/28/sierra-leone-advances-artificial-intelligence-agenda-to-expand-digital-opportunities/
https://techafricanews.com/2025/06/18/guinea-and-sierra-leone-strengthen-regional-connectivity-with-landmark-fibre-optic-interconnection-agreement/,Guinea and Sierra Leone Strengthen Regional Connectivity fibre,2025-06-18,same-event (SOGEB-Leonecom interconnection) - kept telecomreviewafrica,https://www.telecomreviewafrica.com/articles/general-news/12188-guinea-and-sierra-leone-link-national-fibre-networks-for-regional-digital-integration/
https://thecalabashnewspaper.com/sierra-leone-and-guinea-strengthen-ict-ties-with-high-speed-fibre-network-agreement/,Sierra Leone and Guinea Strengthen ICT Ties fibre,2025-06-23,same-event (SOGEB-Leonecom interconnection) - kept telecomreviewafrica,https://www.telecomreviewafrica.com/articles/general-news/12188-guinea-and-sierra-leone-link-national-fibre-networks-for-regional-digital-integration/
https://nextbillion.net/news/guinea-and-sierra-leone-to-jointly-develop-fiber-optic-infrastructure/,Guinea and Sierra Leone to Jointly Develop Fiber Optic Infrastructure,2025-06-19,same-event (SOGEB-Leonecom interconnection) - kept telecomreviewafrica,https://www.telecomreviewafrica.com/articles/general-news/12188-guinea-and-sierra-leone-link-national-fibre-networks-for-regional-digital-integration/
https://www.globalsouthworld.com/article/is-guinea-and-sierra-leone-s-connectivity-the-key-to-regional-integration,Is Guinea and Sierra Leones connectivity the key to regional integration,2025-06-24,same-event (SOGEB-Leonecom interconnection) - kept telecomreviewafrica,https://www.telecomreviewafrica.com/articles/general-news/12188-guinea-and-sierra-leone-link-national-fibre-networks-for-regional-digital-integration/
https://developingtelecoms.com/telecom-business/telecom-regulation/17942-liberia-the-gambia-and-sierra-leone-sign-roaming-deal.html,Liberia The Gambia and Sierra Leone sign roaming deal,2025-02-03,same-event (LBR/GMB/SLE roaming MoU) - kept telecomreviewafrica,https://www.telecomreviewafrica.com/articles/general-news/11208-west-african-nations-sign-roaming-agreement-to-cut-telecom-costs/
https://sierraloaded.sl/technology/orange-money-mastercard-digital-payment/,Orange Money Mastercard Launched,2026-04-14,same-event (Orange Money Mastercard) - kept techafricanews,https://techafricanews.com/2026/03/31/orange-money-launches-mastercard-in-sierra-leone-with-zenith-bank-and-mastercard-partnership/
https://techafricanews.com/2026/06/26/sierra-leone-to-train-1000-civil-servants-in-digital-skills-ai-and-cybersecurity/,Sierra Leone to Train 1000 Civil Servants (agreement),2026-06-26,same-initiative (1000 civil servants digital skills) - kept sierraloaded launch,https://sierraloaded.sl/news/sierra-leone-digital-skills-civil-servants/
https://sierraloaded.sl/news/transformed-sierra-leone-digital-connectivity-sengeh/,SLPP Government Has Transformed Sierra Leone in Digital Connectivity - Sengeh AI Forum Dubai,2026-02-06,editorial-skip: promotional WeAreDelivering campaign speech; connectivity stats available in better-sourced items,
