url,title,published,reason,kept_twin
https://www.wearetech.africa/secteurs/fils/actualites/gestion-publique/tchad-le-gouvernement-demande-d-accelerer-les-travaux-de-la-transsaharienne-de-fibre,"Tchad : le gouvernement demande d'accélérer les travaux de la transsaharienne de fibre",2025-03-07,same outlet same story - French language twin of canonical English item,https://www.wearetech.africa/en/fils-uk/news/public-management/chad-urges-speed-on-delayed-trans-saharan-fiber-optic-project
https://techreviewafrica.com/news/3112/chad-elected-to-african-council-on-artificial-intelligence-at-transform-africa-summit-2025,"Chad elected to African Council on Artificial Intelligence at Transform Africa Summit 2025",2025-11-13,out-of-window (Exa metadata had no date; on-page date 2025-11-13),
https://www.lepaystchad.com/40291/,"Région du Lac Tchad : la Banque mondiale soutient la connectivité pour une intégration plus inclusive",2025-02-21,admissibility: off-topic - 'connectivity' is road/transport and logistics (IDA $170m roads project) not digital,
https://techafricanews.com/2026/02/06/adetic-ansice-and-techso-group-join-forces-to-protect-chads-digital-infrastructure/,ADETIC ANSICE TECHSO-GROUP Join Forces to Protect Chad Digital Infrastructure,2026-02-06,exact URL already held in raw/,raw/2026-02-06 ADETIC ANSICE TECHSO
https://www.wearetech.africa/fr/fils/actualites/gestion-publique/le-tchad-travaille-a-securiser-son-data-center-national-avant-son-lancement,Le Tchad travaille a securiser son data center national avant son lancement,2026-02-06,same outlet FR twin of held EN wearetech item,raw/2026-02-06 Chad Moves to Secure National Data Center
https://techafricanews.com/2026/01/05/chad-invests-e175-million-to-expand-national-data-center-fiber-and-wireless-networks/,Chad Invests EUR175 Million to Expand National Data Center Fiber and Wireless Networks,2026-01-05,same event as held (PMICE EUR175M inauguration),raw/2026-01-06 Chad invests 175m in national data center and networks
https://africa.hyperscalers.news/data-center/chad-commits-205-million-to-national-data-center-fiber-networks-in-digital-sovereignty-push/,Chad Commits 205 Million To National Data Center Fiber Networks,2026-01-22,same event as held (PMICE),raw/2026-01-06 Chad invests 175m in national data center and networks
https://africabusinessinsight.com/chad-to-launch-50-new-telecom-sites/,Chad to launch 50 new telecom sites expand fibre network in NDjamena,2026-02-13,same event as held (50 sites / 50km FTTH),raw/2026-02-13 Chad Plans 50 Telecom Sites
https://www.biometricupdate.com/202603/chad-uses-national-biometric-registry-to-boost-govt-systems-interoperability,Chad uses national biometric registry to boost govt systems interoperability,2026-03-16,exact URL already held in raw/,raw/2026-03-16 Chad uses national biometric registry
https://www.biometricupdate.com/202506/chad-mali-senegal-pursue-birth-registration-reforms-to-close-gaps,Chad Mali Senegal pursue birth registration reforms to close gaps,2025-06-03,exact URL already held in raw/,raw/2025-06-03 Chad Mali Senegal pursue birth registration reforms
