url,title,published,reason,kept_twin
https://www.banker.news/123374,190 مليون يورو من البنك الأوروبي لتونس (EBRD Tunisie Telecom €190M),2026-01-16,same-event-already-held,raw/2026-01-19 EBRD and Tunisie Telecom Partner
https://www.computerweekly.com/news/366643922/ViaTunisia-subsea-segment-reaches-Ready-for-Service-status,ViaTunisia subsea segment reaches Ready-for-Service,2026-06-05,same-event-ViaTunisia-RFS-cluster,connectingafrica.com viatunisa-live
https://www.agenzianova.com/en/news/Viatunisia%27s-new-underwater-data-corridor-enters-into-operational-operation./,ViaTunisia new underwater data corridor operational,2026-06-08,same-event-ViaTunisia-RFS-cluster,connectingafrica.com viatunisa-live
https://en.africanmanager.com/viatunisia-submarine-cable-enters-service/,ViaTunisia submarine cable enters service,2026-06-10,same-event-ViaTunisia-RFS-cluster,connectingafrica.com viatunisa-live
https://datacentresafrica.com/viatunisia-subsea-segment-reaches-ready-for-service-2/,ViaTunisia Subsea Segment Reaches Ready For Service,2026-07-06,same-event-ViaTunisia-RFS-cluster,connectingafrica.com viatunisa-live
https://a5r5br.net/tunis/local-news/7806463-,أورنج تونس دخول الكابل البحري MEDUSA حيز الخدمة,2026-06-24,same-event-Orange-MEDUSA-in-service,techafricanews.com orange-tunisia-launches-medusa
https://www.datacenterdynamics.com/en/news/tunisie-telecom-joins-medusa-submarine-cable-system/,Tunisie Telecom joins Medusa submarine cable system,2026-05-21,same-event-Medusa-cluster,zawya tunisie-telecom-medusa-landing
https://meatechwatch.com/2026/03/24/tunisie-telecom-enters-fintech-space-with-launch-of-kashy-mobile-wallet/,Tunisie Telecom launches Kashy mobile wallet,2026-03-24,same-event-Kashy-wallet,assabahnews.tn 142463 كاشي
https://tmo-mag.com.tn/tunisia-launches-major-drive-to-digitise-public-services-by-2030/,Tunisia Launches Major Drive to Digitise Public Services by 2030,2026-02-17,same-event-192-projects,techafricanews.com cabinet-monitors-192
https://noqta.tn/en/news/tunisia-192-digital-transformation-projects-2026,Tunisia Launches 192 Digital Projects,2026-02-18,same-event-192-projects,techafricanews.com cabinet-monitors-192
https://www.lequotidien.com.tn/fr/nationale/10496-digitalisation-des-services-publics-en-tunisie,Digitalisation interoperabilite deploiement grande echelle,2026-05-22,same-event-interoperability-rollout,cyber.ee phase-2-tunisia-interoperability
https://www.tuniscope.com/article/416610/arabe/technologie/tt-203221,كابل ميدوسا في بنزرت مشغلان ورؤيتان,2026-02-17,same-event-Medusa-landing,zawya tunisie-telecom-medusa-landing
https://en.africanmanager.com/tunisia-a-datacenter-in-bizerte-and-a-solar-plant-in-tozeur-to-power-it/,Tunisia a datacenter in Bizerte and a solar plant in Tozeur,2026-02-07,same-event-SoleCrypt-Schneider-MoU,datacenterdynamics.com solecrypt-bizerte
https://www.assabahnews.tn/ar/130472,اتصالات تونس فاعل رئيسي في بناء الاقتصاد الرقمي (TT corporate profile),2025-09-12,low-value-promotional-corporate-profile,
https://www.alchourouk.com/article/maa-alchourouk-ai-economy-editorial,مع الشروق: الذكاء الاصطناعي مستقبل الاقتصاد (opinion column),2026-07-16,opinion-column-no-primary-event,
https://www.assabahnews.tn/ar/139791,تقرير اقتصادي: تونس رائدة عربيا في الذكاء الاصطناعي (secondary report),2026-02-07,secondary-report-low-value,
