url,title,published,reason,kept_twin
https://thenextweb.com/news/raxio-tanzania-380m-africa-data-centre,Raxio raises funding pool to $380m and heads for Tanzania,2026-07-13,same-event-already-held (Raxio $380m/TZ1; wiki holds itweb+tech.africa),https://itweb.africa/article/raxio-raises-data-centre-funding/8OKdWMDX2zVMbznQ
https://datacenters.economictimes.indiatimes.com/news/construction-site-development/raxio-group-to-launch-tanzanias-first-tier-iii-data-center-tz1/132404604,Raxio group to launch Tanzania first tier iii data center tz1,2026-07-15,same-event-already-held (Raxio $380m/TZ1) aggregator,https://itweb.africa/article/raxio-raises-data-centre-funding/8OKdWMDX2zVMbznQ
https://dcpulse.com/news/raxio-tz1-tanzania-data-center-expansion,Raxio TZ1 to Add 6 MW Capacity,2026-07-15,same-event-already-held (Raxio $380m/TZ1) aggregator,https://itweb.africa/article/raxio-raises-data-centre-funding/8OKdWMDX2zVMbznQ
https://datamagz.com/raxio-plans-first-data-center-in-tanzania/,Raxio Plans First Data Center in Tanzania,2026-07-15,same-event-already-held (Raxio $380m/TZ1) aggregator,https://itweb.africa/article/raxio-raises-data-centre-funding/8OKdWMDX2zVMbznQ
https://www.datacenterdynamics.com/en/news/winguafrica-breaks-grounds-on-data-center-expansion-in-dar-es-salaam-tanzania/,Wingu.Africa breaks ground on data center expansion,2025-03-21,same-event-already-held (Wingu $50m Ph2 Mar-2025),raw/2025-03-19 Tanzania digital shift gathers pace with $50 million data centre
https://developingtelecoms.com/telecom-technology/data-centres-networks/18213-wingu-starts-second-phase-of-data-centre-expansion-in-tanzania.html,Wingu starts second phase of data centre expansion,2025-03-21,same-event-already-held (Wingu $50m Ph2 Mar-2025),raw/2025-03-19 Tanzania digital shift gathers pace with $50 million data centre
https://techafricanews.com/2026/06/26/yas-fiber-to-invest-tzs-300-billion-in-zanzibar-fiber-network-expansion/,Yas Fiber to Invest TZS 300 Billion in Zanzibar,2026-06-26,same-event-different-outlet (Yas-ZICTIA Zanzibar fibre),https://www.connectingafrica.com/partnerships/yas-zictia-to-expand-broadband-access-in-zanzibar
https://techafricanews.com/2026/06/24/yas-fiber-commits-tzs-300-billion-to-expand-zanzibars-fiber-network/,Yas Fiber Commits TZS 300 Billion,2026-06-24,same-event-different-outlet (Yas-ZICTIA Zanzibar fibre),https://www.connectingafrica.com/partnerships/yas-zictia-to-expand-broadband-access-in-zanzibar
https://www.developingtelecoms.com/telecom-technology/optical-fixed-networks/20437-yas-and-zictia-aim-to-expand-broadband-access-in-zanzibar.html,Yas and ZICTIA aim to expand broadband access,2026-06-24,same-event-different-outlet (Yas-ZICTIA Zanzibar fibre),https://www.connectingafrica.com/partnerships/yas-zictia-to-expand-broadband-access-in-zanzibar
https://shore.africa/2026/06/27/yas-tanzania-100000-fiber-subscribers/,Yas Tanzania targets 100000 fiber subscribers,2026-06-27,same-event-different-outlet (Yas-ZICTIA Zanzibar fibre),https://www.connectingafrica.com/partnerships/yas-zictia-to-expand-broadband-access-in-zanzibar
https://dailynews.co.tz/pm-issues-five-week-ultimatum-for-entities-to-join-govesb-system/,PM issues five-week ultimatum GovESB,2025-06-24,same-event-different-outlet (GovESB July-30 ultimatum),https://www.mwananchi.co.tz/mw/habari/kitaifa/majaliwa-aagiza-taasisi-za-umma-kujiunga-na-e-ga-atoa-wiki-tano-5092568
