url,title,published,reason,kept_twin
https://www.biometricupdate.com/202605/uganda-launches-prototype-program-for-digital-id-and-public-infrastructure,Uganda launches prototype program for digital ID,2026-05-22,exact-url-held,raw 2026-05-22 prototype program
https://www.biometricupdate.com/202602/uganda-migrates-more-than-28m-records-to-new-national-id-system,Uganda migrates 28M records,2026-02-11,exact-url-held,raw 2026-02-11 migrates 28M
https://www.biometricupdate.com/202603/iritech-provides-iris-biometrics-for-ugandas-upgraded-registration-kits,IriTech iris biometrics kits,2026-03-02,exact-url-held,raw 2026-03-02 IriTech
https://www.biometricupdate.com/202410/uganda-financial-institutions-sign-on-for-digital-kyc-through-national-id,Uganda financial institutions digital KYC,2024-10-14,exact-url-held,raw 2024-10-14 digital KYC
https://techreviewafrica.com/news/4057/nita-uganda-concludes-workshop-on-renewal-of-government-enterprise-architecture-and-interoperability-framework,NITA-Uganda GEA e-GIF workshop,2026-07-17,exact-url-held,raw 2026-07-17 NITA workshop
https://www.biometricupdate.com/202308/uganda-launches-inclusive-digital-govt-roadmap,Uganda inclusive digital govt roadmap,2023-08-17,out-of-window,
https://www.biometricupdate.com/202407/nira-explains-adding-iris-biometrics-to-uganda-id,NIRA explains adding iris biometrics,2024-07-04,out-of-window,
https://www.biometricupdate.com/202407/uganda-to-issue-alien-id-cards-with-new-enrollment-software,Uganda alien ID cards new software,2024-07-29,out-of-window,
https://www.connectingafrica.com/data-centers/raxio-plots-african-growth-with-data-center-in-uganda,Raxio data center Uganda,2021-05-26,out-of-window,
https://www.connectingafrica.com/investment/seacom-is-buying-africell-s-assets-in-uganda,Seacom buying Africell assets,2022-02-10,out-of-window,
https://www.connectingafrica.com/5g-networks/airtel-uganda-upgrades-core-network-to-be-5g-ready,Airtel Uganda 5G ready,2023-02-24,out-of-window,
https://www.connectingafrica.com/fiber-networking/liquid-upgrades-kenya-uganda-fiber-route,Liquid upgrades Kenya-Uganda fibre,2024-09-12,out-of-window,
https://www.connectingafrica.com/investment/uganda-to-sell-60-of-utel-to-rowad-capital-liquid-launches-azure-stack,Uganda sell 60pct Utel,2024-08-12,out-of-window,
https://itweb.africa/article/liquid-unveils-microsoft-azure-stack-in-uganda/KWEBb7yLynwvmRjO,Liquid Azure Stack Uganda,2024-08-08,out-of-window,
https://www.telecomreviewafrica.com/articles/general-news/4116-ugandan-government-aims-to-decrease-internet-bandwidth-costs/,Uganda decrease bandwidth costs,2024-02-23,out-of-window,
https://www.telecomreviewafrica.com/articles/reports-and-coverage/4525-the-ucc-launches-study,UCC telecom competitiveness study,2024-10-29,out-of-window,
https://www.telecomreviewafrica.com/articles/general-news/3892-uganda-teams-up-with-china,Uganda China internet,2023-10-30,out-of-window,
https://www.telecomreviewafrica.com/articles/telecom-operators/3636-mtn-launches-uganda-first-commercial-5g-network/,MTN first 5G network,2023-08-01,out-of-window,
https://www.telecomreviewafrica.com/articles/telecom-operators/3165-5g-network-transformation-adopted-by-mtn-uganda/,MTN 5G transformation Huawei,2023-01-11,out-of-window,
https://www.telecomreviewafrica.com/articles/general-news/2904-uganda-to-improve-its-data-services/,Uganda improve data services,2022-07-15,out-of-window,
https://www.wearetech.africa/en/fils-uk/news/tech/uganda-to-cut-internet-costs-by-over-50,Uganda cut internet costs 50pct,2022-08-29,out-of-window,
https://www.wearetech.africa/en/fils-uk/news/economy/uganda-public-private-actors-launch-fintech-platform-for-smallholder-farmers,AgriConnect fintech smallholder,2023-03-30,out-of-window,
https://techcabal.com/2023/07/17/uganda-introduces-digital-service-tax/,Uganda digital service tax 5pct,2023-07-17,out-of-window,
https://www.newvision.co.ug/category/business/impact-of-colocation-data-centres-on-building-NV_191371_032026,Colocation data centres,2024-07-02,out-of-window,
https://www.newvision.co.ug/category/business/central-bank-reinstates-pivot-payments-licens-NV_201519_062026,Central Bank reinstates Pivot Payments,2024-12-16,out-of-window,
https://www.connectingafrica.com/fiber-networking/seacom-launches-fiber-route-connecting-nairobi-kampala,Seacom Nairobi-Kampala (connectingafrica),2026-06-19,same-event-primary-held,raw 2026-06-17 Seacom
https://www.connectingafrica.com/fiber-networking/bayobab-connects-uganda-kenya-with-new-fiber-route,Bayobab connects Uganda-Kenya,2025-05-08,same-event-diff-outlet,newvision kampala-malaba + wearetech bayobab
https://www.telecomreviewafrica.com/articles/telecom-operators/28430-mtn-uganda-sees-record-service-revenue,MTN Uganda 2025 results,2026-03-13,same-event-diff-outlet,itweb mtn data-fintech
https://www.telecomreviewafrica.com/articles/telecom-operators/12468-mtn-group-momo-separation,MTN MoMo separation EGM,2025-07-28,same-event-diff-outlet,itweb mtn-to-list-momo
https://www.telecomreviewafrica.com/articles/general-news/28727-uganda-signs-deal-with-starlink,Uganda Starlink deal,2026-05-20,same-event-diff-outlet,newvision + itweb starlink
https://techreviewafrica.com/news/6330/uganda-ict-ministry-and-airtel-discuss-collaboration,Uganda ICT Ministry Airtel,2026-07-16,same-event-thin-pr,itweb airtel digital-inclusion-talks
https://techafricanews.com/2026/07/17/airtel-uganda-reaffirms-commitment,Airtel reaffirms commitment,2026-07-17,same-event-thin-pr,itweb airtel digital-inclusion-talks
https://techreviewafrica.com/news/5845/nita-u-strengthens-leadership-capacity,NITA-U change ambassadors workshop,2026-07-01,thin-pr-wire-low-value,
https://techreviewafrica.com/news/5375/uganda-reviews-progress-on-digital-transformation-programme,Uganda reviews progress DT programme,2026-07-01,thin-pr-wire-low-value,
https://www.wearetech.africa/en/fils-uk/solutions/ojjoshop-bets-on-multi-vendor-marketplace,OjjoShop marketplace,2026-07-09,low-value-minor-startup,
https://techafricanews.com/2026/06/04/mtn-mobile-money-uganda-strengthens-leadership-with-phrase-lubega,MTN MoMo Lubega MD,2026-06-04,same-event-diff-outlet,newvision mtn-appoints-lubega
https://itweb.africa/article/mtn-uganda-names-new-momo-md/LPwQ57lb1G8qNgkj,MTN Uganda names MoMo MD,2026-06-04,same-event-diff-outlet,newvision mtn-appoints-lubega
https://www.newvision.co.ug/category/science/ict-ministry-invites-local-tech-talent-to-bui-NV_233918_062026,ICT ministry invites local tech talent,2026-05-19,same-outlet-recrawl,newvision govt-turns-to-local-innovators
https://techafricanews.com/2026/04/22/uganda-launches-postcom-e-commerce-platform,Uganda Postcom launch,2026-04-22,same-event-diff-outlet,wearetech postcom
https://techafricanews.com/2026/04/28/uganda-advances-digital-transformation-with-launch-of-postcom,Uganda Postcom advances,2026-04-28,same-event-diff-outlet,wearetech postcom
https://www.connectingafrica.com/ecommerce/uganda-launches-national-e-commerce-platform,Uganda Postcom connectingafrica,2026-04-24,same-event-diff-outlet,wearetech postcom
https://www.wearetech.africa/en/fils-uk/brief/brief-one/uganda-looks-to-startups-and-universities,Uganda startups modernize services,2026-05-20,same-event-diff-outlet,newvision govt-turns-to-local-innovators
https://techafricanews.com/2026/05/04/uganda-launches-1gbps-broadband-as-savanna-fibre,Savanna Fibre 1Gbps,2026-05-04,same-event-diff-outlet,itweb savanna-fibre-1gbps
https://techafricanews.com/2026/04/15/uganda-launches-national-ip-peering-exchange,NIPX techafricanews,2026-04-15,same-event-diff-outlet,newvision+wearetech+telecomreview NIPX
https://techreviewafrica.com/news/4972/uganda-launches-first-open-internet-exchange-point,NIPX techreviewafrica,2026-04-19,same-event-diff-outlet,newvision+wearetech+telecomreview NIPX
https://nilepost.co.ug/news/335767/uganda-launches-national-internet-exchange,NIPX nilepost,2026-04-19,same-event-diff-outlet,newvision+wearetech+telecomreview NIPX
https://techreviewafrica.com/news/5461/uganda-signs-operational-license-agreement-with-starlink,Uganda Starlink license techreview,2026-05-15,same-event-diff-outlet,newvision + itweb starlink
