url,title,published,reason,kept_twin
https://www.datacenterdynamics.com/en/news/zimbabwe-launches-two-data-centers-in-partnership-with-huawei/,"Zimbabwe launches two data centers in partnership with Huawei (DCD)",2017-03-24,out-of-window (Exa mis-dated as 2026; true byline Mar 2017),
https://www.datacenterdynamics.com/en/news/telone-launches-data-center-in-bulawayo-zimbabwe/,"TelOne launches data center in Bulawayo (DCD)",2022-04-29,out-of-window (Exa mis-dated as 2026; true byline Apr 2022),
https://www.datacenterdynamics.com/en/news/national-data-center-zimbabwe-opens/,"National Data Center in Zimbabwe opens (DCD)",2021-02-26,out-of-window (Exa mis-dated as 2026; true byline Feb 2021),
https://www.connectingafrica.com/cybersecurity/zimbabwe-intensifies-cybersecurity-awareness-measures,"Zimbabwe intensifies cybersecurity awareness measures",2024-10-23,out-of-window (pre-2025),
https://www.biometricupdate.com/202309/zimbabwe-upgrades-to-enable-online-application-for-biometric-passports-id-cards,"Zimbabwe upgrades to enable online application for biometric passports, ID cards",2023-09-28,out-of-window (pre-2025),
https://www.biometricupdate.com/202306/zimbabwe-claims-passport-backlog-is-eliminated-with-600k-issued-since-january-2022,"Zimbabwe claims passport backlog eliminated with 600K issued",2023-06-14,out-of-window (pre-2025),
https://www.biometricupdate.com/202307/biometric-passports-issuance-progresses-in-saudi-arabia-zimbabwe,"Biometric passports issuance progresses in Saudi Arabia, Zimbabwe",2023-07-25,out-of-window (pre-2025),
https://www.biometricupdate.com/202207/zimbabwe-reports-progress-on-biometric-passport-id-card-issuance,"Zimbabwe reports progress on biometric passport, ID card issuance",2022-07-07,out-of-window (pre-2025),
https://mbaretimes.com/2024/06/id-applications/,"Zimbabwe to launch online platform for passport and ID applications",2024-06-17,out-of-window (pre-2025),
https://www.zimbabwesituation.com/news/passport-id-applications-go-online/,"Passport, ID applications go online",2024-06-16,out-of-window (pre-2025),
https://www.techzim.co.zw/2024/09/potraz-starlink-licence-disruption/,"POTRAZ Announces Starlink's $575k Zimbabwe License",2024-09-10,out-of-window (pre-2025),
https://www.techzim.co.zw/2024/06/govt-expedites-starlink-licensing-after-spacex-moves-launch-to-2025/,"Govt to expedite Starlink licensing after SpaceX moves launch date",2024-06-24,out-of-window (pre-2025),
https://www.biometricupdate.com/202507/zimbabwe-looks-forward-to-digital-id-rollout-after-population-registry-reform,"Zimbabwe looks forward to digital ID rollout after population registry reform",2025-07-15,exact URL already held in raw/,raw/2025-07-15 Zimbabwe looks forward to digital ID rollout
https://www.michalsons.com/blog/zimbabwes-cyber-and-data-protection-act-overview/78795,"Zimbabwe's Cyber and Data Protection Act - Overview",2025-06-30,exact URL already held in raw/,raw/2025-06-30 Zimbabwe's Cyber and Data Protection Act
https://www.newzimbabwe.com/legal-discussions-with-vengai-madzima-digitization-of-the-deeds-registry-in-zimbabwe,"Legal Discussions with Vengai Madzima - Digitization of the Deeds Registry",2025-07-28,exact URL already held in raw/ (earlier deeds piece; 2026-04 pilot staged separately),raw/2025-07-28 Legal Discussions with Vengai Madzima
https://itweb.africa/article/powertel-paratus-zimbabwe-switch-on-new-digital-highway/Gb3Bw7WadXZq2k6V,"Powertel, Paratus Zimbabwe switch on new digital highway (ITWeb)",2026-07-06,exact URL already held in raw/ (newsday version staged),raw/2026-07-06 Powertel Paratus Zimbabwe switch on new digital highway
